primitive_axis,negative_pole,positive_pole,n,candidates,minority_value_n,continuous_estimate,continuous_se,continuous_p,continuous_ci_low,continuous_ci_high,contrast_n,positive_vs_negative_estimate,positive_vs_negative_se,positive_vs_negative_p,continuous_bh_q,contrast_bh_q
market_governance,market_autonomy,intervention,220,220,194,-16.35083781031479,2.8973775695812036,1.667988854529506e-08,-22.02969784669395,-10.67197777393563,161,-19.14129206090444,3.734784858766368,2.9731809663565725e-07,3.836374365417864e-07,5.649043836077488e-06
gun_access,restrict,expand,279,279,203,12.78413932193853,2.369585733848755,6.848743901669424e-08,8.139751283594972,17.42852736028209,239,18.707125904210468,4.4596934643511075,2.732195338012158e-05,7.876055486919838e-07,0.00017303903807410335
civil_social_liberty,restrict,expand,110,110,73,-12.551220310639868,2.8730353528675674,1.2503000237153115e-05,-18.1823696022603,-6.920071019019436,103,-21.310254646519144,4.6684181389246175,5.00042473680085e-06,9.585633515150721e-05,4.7504034999608075e-05
abortion_access,restrict,expand,108,108,76,-13.927401374526355,3.8761521115666393,0.00032676736169370114,-21.524659513196966,-6.330143235855742,96,-21.973279236399172,6.270779418225961,0.000458196884255907,0.001583356876793456,0.0017411481601724466
drug_criminalization,decriminalize,criminalize,17,17,7,17.92595984115996,5.007903805773025,0.00034420801669422953,8.11046838184483,27.741451300475084,17,35.85191968231994,10.015807611546023,0.0003442080166942146,0.001583356876793456,0.0016349880792975195
labor_capital_alignment,capital_management,labor,85,85,17,-20.943245083036583,6.8320962964553935,0.002173644709345864,-34.33415382408916,-7.552336341984011,83,-42.1223478080047,13.87091201003357,0.002391519563862832,0.008332304719159146,0.006491267387627686
marriage_equality,restrict,expand,58,58,9,-19.54477437719483,6.722098179758608,0.003642828801247646,-32.7200868095217,-6.369461944867959,56,-40.18977762115237,14.788961815177313,0.006576675476981019,0.011969294632670836,0.01561960425782992
environmental_protection,weaken,strengthen,83,83,58,-17.05550878693302,7.052649544621884,0.015592689970716916,-30.878701894391916,-3.2323156794741283,71,-20.570504586772437,9.785111473923983,0.03553358320189901,0.04482898366581113,0.07501534231512014
welfare_generosity,restrict,expand,64,64,55,14.619568135847103,6.972126659951093,0.036006038575471466,0.9541998823429605,28.284936389351245,56,27.750595767435826,8.151616003018177,0.0006633238470552182,0.09201543191509375,0.0021005255156748576
tax_burden,decrease,increase,135,135,107,8.792652793971786,4.516254956350138,0.05154789239788924,-0.05920692047448384,17.644512508418057,81,11.34847206942283,12.79891023871065,0.37525397191323384,0.11856015251514525,0.5021383206537381
criminal_punishment,rehabilitative,punitive,158,158,109,12.195187106406213,6.454782147134621,0.058848172782105655,-0.4561859019776442,24.84656011479007,150,7.702261854054753,8.712952920155812,0.37669550203727176,0.12304617945349365,0.5021383206537381
welfare_conditionality,relax_conditions,strengthen_conditions,63,63,14,-4.592311336329134,3.3562110851975615,0.17121747217047212,-11.170485063316354,1.9858623906580863,63,-9.184622672658282,6.712422170394979,0.17121747217046224,0.31113272742765624,0.2957392701126166
anti_discrimination,restrict,expand,79,79,45,-5.68705081375653,4.2013642128423285,0.17585762854606657,-13.921724670927494,2.5476230434144345,78,-10.760865907414832,7.0327416233235684,0.12598958708251956,0.31113272742765624,0.23938021545678717
healthcare_access,restrict,expand,170,170,51,8.020979229282505,7.7273366184473025,0.29926982497730814,-7.124600542874209,23.166559001439218,166,9.033057118286271,12.69466454213901,0.4767352533506992,0.49165756960557766,0.5661231133539553
education_public_funding,reduce,expand,142,142,53,8.714214305803424,8.958491237777807,0.3306863387456135,-8.844428520241078,26.272857131847925,132,,,,0.4980137735381849,
government_ethics_transparency,weaken,strengthen,50,50,9,-4.569441922364676,4.853320171921735,0.3464443642004764,-14.081949459331277,4.943065614601925,50,-8.216924315713896,9.689502909759803,0.39642498998979325,0.4980137735381849,0.5021383206537381
public_employee_compensation,reduce,protect,118,118,7,-8.415883222706995,17.81675117630237,0.6366713469481986,-43.33671552825964,26.50494908284565,112,,,,0.8038949862890519,
immigration_access,restrict,expand,29,29,15,-1.7140933185896718,3.8382987140225655,0.6551809955836219,-9.2371587980739,5.808972160894556,26,-4.081701212795301,8.47071434546586,0.6299051683236508,0.8038949862890519,0.7040116587146686
education_access,restrict,expand,26,26,8,5.7202285906513435,13.171837400470803,0.664087162586608,-20.09657271427143,31.537029895574115,19,,,,0.8038949862890519,
religion_state,separation,accommodation_establishment,79,79,6,5.352871680481732,16.886823889512105,0.7512549027426929,-27.745303142961994,38.45104650392546,77,,,,0.8639431381540967,
gun_purchase_regulation,weaken,strengthen,58,58,11,-1.5471975347710964,6.6812530795032545,0.8168697134629347,-14.642453570597475,11.548058501055284,54,-10.923131903650942,12.1898159401568,0.370206461384051,0.8946668290308333,0.5021383206537381
education_market_choice,restrict,expand,73,73,28,0.6822471296715911,3.990435621910941,0.8642468914365273,-7.139006689273853,8.503500948617035,73,1.7237267306497013,8.171304119788237,0.8329272304081496,0.9035308410472787,0.8792009654308246
voting_access,restrict,expand,64,64,26,0.21357603389127977,3.0013874149143334,0.9432711305571776,-5.6691432993408135,6.096295367123373,63,0.14162209358390454,5.990067602728918,0.9811375158042421,0.9432711305571777,0.9811375158042421
