session_year,people_id,name,normalized_name,first_name,middle_name,last_name,suffix,party,party_id,role,role_id,district,source_archive,source_member
2010,12485,Kerry Rich,KERRY RICH,Kerry,,Rich,,R,2,Rep,1,HD-026,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/people/12485.json
2010,12486,Terri Collins,TERRI COLLINS,Terri,,Collins,,R,2,Rep,1,HD-008,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/people/12486.json
2010,12487,William Roberts,WILLIAM ROBERTS,William,,Roberts,,R,2,Rep,1,HD-013,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/people/12487.json
2010,12488,Lynn Greer,LYNN GREER,Lynn,,Greer,,R,2,Rep,1,HD-002,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/people/12488.json
2010,12489,Dan Williams,DAN WILLIAMS,Dan,,Williams,,R,2,Rep,1,HD-005,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/people/12489.json
2010,12490,Paul Lee,PAUL LEE,Paul,,Lee,,R,2,Rep,1,HD-086,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/people/12490.json
2010,12492,Greg Reed,GREG REED,Greg,,Reed,,R,2,Sen,2,SD-005,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/people/12492.json
2010,12493,Shadrack McGill,SHADRACK MCGILL,Shadrack,,McGill,,R,2,Sen,2,SD-008,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/people/12493.json
2010,12495,Dick Brewbaker,DICK BREWBAKER,Dick,L.,Brewbaker,,R,2,Sen,2,SD-025,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/people/12495.json
2010,12496,Paul Bussman,PAUL BUSSMAN,Paul,,Bussman,,R,2,Sen,2,SD-004,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/people/12496.json
2010,12497,Bill Holtzclaw,BILL HOLTZCLAW,Bill,,Holtzclaw,,R,2,Sen,2,SD-002,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/people/12497.json
2010,12498,Phillip Williams,PHILLIP WILLIAMS,Phillip,W.,Williams,,R,2,Sen,2,SD-010,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/people/12498.json
2010,12499,Clay Scofield,CLAY SCOFIELD,Clay,,Scofield,,R,2,Sen,2,SD-009,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/people/12499.json
2010,12500,April Weaver,APRIL WEAVER,April,C.,Weaver,,R,2,Rep,1,HD-049,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/people/12500.json
