doc_id,bill_id,bill_number,session_id,session_year,document_type,local_path,status,source_url,bytes,pages,sha256,error
493878,96241,HB1,29,2010,Introduced,data\raw\alabama_legislature\bill_text\2010\29\96241\493878_introduced.pdf,downloaded,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2010RS/PrintFiles/HB1-Int.pdf,41108,5,2091eae882b0c977bfc6467b542fa914fab738b7f47cfe6379be89131f47e3a6,
493829,96242,HB2,29,2010,Introduced,data\raw\alabama_legislature\bill_text\2010\29\96242\493829_introduced.pdf,downloaded,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2010RS/PrintFiles/HB2-Int.pdf,33792,2,d52bedcbea0413ddb7e9a3693a11d41df08775e9dd7f01060c2dfd8779c60f88,
493830,96242,HB2,29,2010,Engrossed,data\raw\alabama_legislature\bill_text\2010\29\96242\493830_engrossed.pdf,downloaded,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2010RS/PrintFiles/HB2-Eng.pdf,64529,3,0a8a8d88b34c4f892926e62af005799974cc5cee47e3b46429dc675fb13970e4,
493831,96242,HB2,29,2010,Enrolled,data\raw\alabama_legislature\bill_text\2010\29\96242\493831_enrolled.pdf,downloaded,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2010RS/PrintFiles/HB2-Enr.pdf,44751,3,0f2717a48820923f36fbe9141470f6071d43b2eadac800cf6a3370c467f6c388,
493771,96243,HB3,29,2010,Introduced,data\raw\alabama_legislature\bill_text\2010\29\96243\493771_introduced.pdf,downloaded,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2010RS/PrintFiles/HB3-Int.pdf,46230,4,61cdd107f26750496388a0595528f35e6e60da6c480a82e21c0ee42dd97a9b12,
1152265,679020,HR1,1116,2015,Introduced,data\raw\alabama_legislature\bill_text\2015\1116\679020\1152265_introduced.pdf,downloaded,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2015RS/PrintFiles/HR1-Int.pdf,24641,2,1ff1dda04ce841a62292e1bbe1ce27986e46cd3fb0479bd7f7d096b3aed86910,
1152274,679022,HJR3,1116,2015,Introduced,data\raw\alabama_legislature\bill_text\2015\1116\679022\1152274_introduced.pdf,downloaded,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2015RS/PrintFiles/HJR3-Int.pdf,26131,2,619cb3fc8b35f5fc350feb61e2d9ed98f5231434cf879958b6e4408ff18c0a38,
1152262,679023,HR5,1116,2015,Introduced,data\raw\alabama_legislature\bill_text\2015\1116\679023\1152262_introduced.pdf,downloaded,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2015RS/PrintFiles/HR5-Int.pdf,28367,3,dc293d187dd037fd03c7e56e1b5a106e1919be803c84999bda89b48d44660051,
1152269,679025,HR6,1116,2015,Introduced,data\raw\alabama_legislature\bill_text\2015\1116\679025\1152269_introduced.pdf,downloaded,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2015RS/PrintFiles/HR6-Int.pdf,29446,3,621a50d54b3e44aee3e9dea30e59a3c0dd8a771862fef04d26a6756070f31ddb,
1152260,679026,HJR4,1116,2015,Introduced,data\raw\alabama_legislature\bill_text\2015\1116\679026\1152260_introduced.pdf,downloaded,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2015RS/PrintFiles/HJR4-Int.pdf,32292,4,318eb32f8d37a5e45cd159d5388a0b4293d4e9b5a76367a0d452d2d9b498ee25,
