bill_id,bill_number,session_id,session_name,people_id,name,party,role,district,sponsor_type_id,sponsor_order,committee_sponsor,session_year,issue_code,issue_codes,yea_direction,classification_status,classification_reason,action_type,action_weight,sponsor_position
416119,HB1,157,First Special Session 2010,3433,Barry Mask,R,Rep,HD-031,0,0,0,2010,voting_elections,voting_elections,,topic_only,topic detected but direction not safely inferable,primary_sponsor,1.0,
416112,HB2,157,First Special Session 2010,3427,Steve McMillan,R,Rep,HD-095,0,0,0,2010,taxes_budget,taxes_budget|ethics_government,,topic_only,topic detected but direction not safely inferable,primary_sponsor,1.0,
416108,HB3,157,First Special Session 2010,3354,John Knight,D,Rep,HD-077,0,0,0,2010,,,,unclassified,no ideological topic detected,primary_sponsor,1.0,
416108,HB3,157,First Special Session 2010,3391,Merika Coleman-Evans,D,Rep,HD-057,0,0,0,2010,,,,unclassified,no ideological topic detected,primary_sponsor,1.0,
416108,HB3,157,First Special Session 2010,3406,Craig Ford,D,Rep,HD-028,0,0,0,2010,,,,unclassified,no ideological topic detected,primary_sponsor,1.0,
416108,HB3,157,First Special Session 2010,3421,Joseph Hubbard,D,Rep,HD-073,0,0,0,2010,,,,unclassified,no ideological topic detected,primary_sponsor,1.0,
416108,HB3,157,First Special Session 2010,3454,John Rogers,D,Rep,HD-052,0,0,0,2010,,,,unclassified,no ideological topic detected,primary_sponsor,1.0,
416108,HB3,157,First Special Session 2010,3455,Elaine Beech,D,Rep,HD-065,0,0,0,2010,,,,unclassified,no ideological topic detected,primary_sponsor,1.0,
416108,HB3,157,First Special Session 2010,3456,Roderick Scott,D,Rep,HD-055,0,0,0,2010,,,,unclassified,no ideological topic detected,primary_sponsor,1.0,
416108,HB3,157,First Special Session 2010,3457,Lawrence McAdory,D,Rep,HD-056,0,0,0,2010,,,,unclassified,no ideological topic detected,primary_sponsor,1.0,
416108,HB3,157,First Special Session 2010,12549,Dexter Grimsley,D,Rep,HD-085,0,0,0,2010,,,,unclassified,no ideological topic detected,primary_sponsor,1.0,
416108,HB3,157,First Special Session 2010,3389,Mary Moore,D,Rep,HD-059,0,0,0,2010,,,,unclassified,no ideological topic detected,primary_sponsor,1.0,
416108,HB3,157,First Special Session 2010,3382,Thomas Jackson,D,Rep,HD-068,0,0,0,2010,,,,unclassified,no ideological topic detected,primary_sponsor,1.0,
416108,HB3,157,First Special Session 2010,3381,Alan Harper,R,Rep,HD-061,0,0,0,2010,,,,unclassified,no ideological topic detected,primary_sponsor,1.0,
416108,HB3,157,First Special Session 2010,3357,Laura Hall,D,Rep,HD-019,0,0,0,2010,,,,unclassified,no ideological topic detected,primary_sponsor,1.0,
416108,HB3,157,First Special Session 2010,3358,Artis McCampbell,D,Rep,HD-071,0,0,0,2010,,,,unclassified,no ideological topic detected,primary_sponsor,1.0,
416108,HB3,157,First Special Session 2010,3360,Barbara Boyd,D,Rep,HD-032,0,0,0,2010,,,,unclassified,no ideological topic detected,primary_sponsor,1.0,
416108,HB3,157,First Special Session 2010,3368,Demetrius Newton,D,Rep,HD-053,0,0,0,2010,,,,unclassified,no ideological topic detected,primary_sponsor,1.0,
416108,HB3,157,First Special Session 2010,3370,Pebblin Warren,D,Rep,HD-082,0,0,0,2010,,,,unclassified,no ideological topic detected,primary_sponsor,1.0,
416108,HB3,157,First Special Session 2010,3372,Thad McClammy,D,Rep,HD-076,0,0,0,2010,,,,unclassified,no ideological topic detected,primary_sponsor,1.0,
416108,HB3,157,First Special Session 2010,3374,Christopher England,D,Rep,HD-070,0,0,0,2010,,,,unclassified,no ideological topic detected,primary_sponsor,1.0,
416108,HB3,157,First Special Session 2010,3375,Oliver Robinson,D,Rep,HD-058,0,0,0,2010,,,,unclassified,no ideological topic detected,primary_sponsor,1.0,
416108,HB3,157,First Special Session 2010,12550,Juandalynn Givan,D,Rep,HD-060,0,0,0,2010,,,,unclassified,no ideological topic detected,primary_sponsor,1.0,
416099,HB4,157,First Special Session 2010,3354,John Knight,D,Rep,HD-077,0,0,0,2010,,,,unclassified,no ideological topic detected,primary_sponsor,1.0,
416099,HB4,157,First Special Session 2010,3391,Merika Coleman-Evans,D,Rep,HD-057,0,0,0,2010,,,,unclassified,no ideological topic detected,primary_sponsor,1.0,
416099,HB4,157,First Special Session 2010,3406,Craig Ford,D,Rep,HD-028,0,0,0,2010,,,,unclassified,no ideological topic detected,primary_sponsor,1.0,
416099,HB4,157,First Special Session 2010,3421,Joseph Hubbard,D,Rep,HD-073,0,0,0,2010,,,,unclassified,no ideological topic detected,primary_sponsor,1.0,
416099,HB4,157,First Special Session 2010,3454,John Rogers,D,Rep,HD-052,0,0,0,2010,,,,unclassified,no ideological topic detected,primary_sponsor,1.0,
416099,HB4,157,First Special Session 2010,3455,Elaine Beech,D,Rep,HD-065,0,0,0,2010,,,,unclassified,no ideological topic detected,primary_sponsor,1.0,
416099,HB4,157,First Special Session 2010,3456,Roderick Scott,D,Rep,HD-055,0,0,0,2010,,,,unclassified,no ideological topic detected,primary_sponsor,1.0,
