bill_id,session_id,session_year,session_name,bill_number,title,description,status,status_date,url,state_link,source_archive,source_member
415991,157,2010,First Special Session 2010,HJR13,"Driggers, Lewis P., death mourned","Driggers, Lewis P., death mourned",4,2010-12-10,https://legiscan.com/AL/bill/HJR13/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70051&LABEL=HJR13,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/HJR13.json
415984,157,2010,First Special Session 2010,HJR14,"Leroy High School football team, commended","Leroy High School football team, commended",4,2010-12-14,https://legiscan.com/AL/bill/HJR14/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70102&LABEL=HJR14,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/HJR14.json
415980,157,2010,First Special Session 2010,HJR15,"Middleton, Carolyn, commended","Middleton, Carolyn, commended",4,2010-12-14,https://legiscan.com/AL/bill/HJR15/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70103&LABEL=HJR15,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/HJR15.json
415970,157,2010,First Special Session 2010,HJR16,"Davis, Drew, commended","Davis, Drew, commended",4,2010-12-14,https://legiscan.com/AL/bill/HJR16/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70104&LABEL=HJR16,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/HJR16.json
415945,157,2010,First Special Session 2010,HJR36,"Chizik, Gene, commended","Chizik, Gene, commended",4,2010-12-15,https://legiscan.com/AL/bill/HJR36/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70135&LABEL=HJR36,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/HJR36.json
415937,157,2010,First Special Session 2010,HJR38,"Newton, Cameron, commended","Newton, Cameron, commended",4,2010-12-15,https://legiscan.com/AL/bill/HJR38/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70138&LABEL=HJR38,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/HJR38.json
415929,157,2010,First Special Session 2010,HJR40,"McCauley, Bryan, commended","McCauley, Bryan, commended",1,2010-12-14,https://legiscan.com/AL/bill/HJR40/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70147&LABEL=HJR40,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/HJR40.json
416006,157,2010,First Special Session 2010,HJR8,"Norris, Annie Jean Williams, death mourned","Norris, Annie Jean Williams, death mourned",4,2010-12-10,https://legiscan.com/AL/bill/HJR8/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=69966&LABEL=HJR8,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/HJR8.json
415883,157,2010,First Special Session 2010,HR10,"Butler, Mr. and Mrs. James, commended","Butler, Mr. and Mrs. James, commended",4,2010-12-08,https://legiscan.com/AL/bill/HR10/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=69968&LABEL=HR10,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/HR10.json
415878,157,2010,First Special Session 2010,HR11,"Norris, Annie Jean Williams, death mourned","Norris, Annie Jean Williams, death mourned",4,2010-12-08,https://legiscan.com/AL/bill/HR11/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=69969&LABEL=HR11,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/HR11.json
415868,157,2010,First Special Session 2010,HR12,"Young, Allen, commended","Young, Allen, commended",4,2010-12-08,https://legiscan.com/AL/bill/HR12/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=69982&LABEL=HR12,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/HR12.json
415855,157,2010,First Special Session 2010,HR18,"Brouillette, Susan Beard, commended","Brouillette, Susan Beard, commended",4,2010-12-10,https://legiscan.com/AL/bill/HR18/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70106&LABEL=HR18,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/HR18.json
415851,157,2010,First Special Session 2010,HR19,"Jetmundsen, Taylor Norman, commended","Jetmundsen, Taylor Norman, commended",4,2010-12-10,https://legiscan.com/AL/bill/HR19/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70107&LABEL=HR19,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/HR19.json
415902,157,2010,First Special Session 2010,HR2,"House of Representatives, Speaker Emeritus, Representative Demetrius Newton, named","House of Representatives, Speaker Emeritus, Representative Demetrius Newton, named",2,2010-12-08,https://legiscan.com/AL/bill/HR2/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=69930&LABEL=HR2,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/HR2.json
415840,157,2010,First Special Session 2010,HR20,"Limbaugh, Bruce, commended","Limbaugh, Bruce, commended",4,2010-12-10,https://legiscan.com/AL/bill/HR20/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70108&LABEL=HR20,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/HR20.json
415838,157,2010,First Special Session 2010,HR21,"Gray, Fred David, commended","Gray, Fred David, commended",4,2010-12-10,https://legiscan.com/AL/bill/HR21/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70109&LABEL=HR21,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/HR21.json
