rollcall_id,session,session_year,bill_type,bill_number,motion_type,count_valid,act_id,act_citation,act_number,title,act_match_count,act_link_status,analytical_eligibility
JRC-B521F700A97DA958,1998_RegularSession,1998,HB,235.0,amendment_or_concurrence,True,ALACT-EAB327D757E8B384,98-504,504.0,,1,unique_act_match,True
JRC-8E9FC88E2149DEC3,1998_RegularSession,1998,HB,235.0,amendment_or_concurrence,True,ALACT-EAB327D757E8B384,98-504,504.0,,1,unique_act_match,True
JRC-2EECFB627AF4CA07,1998_RegularSession,1998,HB,235.0,amendment_or_concurrence,True,ALACT-EAB327D757E8B384,98-504,504.0,,1,unique_act_match,True
JRC-69D7AB0645B71896,1998_RegularSession,1998,HB,235.0,amendment_or_concurrence,True,ALACT-EAB327D757E8B384,98-504,504.0,,1,unique_act_match,True
JRC-34967E1D5A41EAAA,1998_RegularSession,1998,HB,235.0,amendment_or_concurrence,True,ALACT-EAB327D757E8B384,98-504,504.0,,1,unique_act_match,True
JRC-CE44A144C5CA7EDC,1998_RegularSession,1998,HB,235.0,amendment_or_concurrence,True,ALACT-EAB327D757E8B384,98-504,504.0,,1,unique_act_match,True
JRC-B4568BCAA1ECC526,1998_RegularSession,1998,HB,235.0,amendment_or_concurrence,True,ALACT-EAB327D757E8B384,98-504,504.0,,1,unique_act_match,True
JRC-6C23F8976E5363CE,1998_RegularSession,1998,HB,235.0,amendment_or_concurrence,True,ALACT-EAB327D757E8B384,98-504,504.0,,1,unique_act_match,True
JRC-BDE9CDC1EC0CB0EF,1998_RegularSession,1998,HB,235.0,amendment_or_concurrence,True,ALACT-EAB327D757E8B384,98-504,504.0,,1,unique_act_match,True
JRC-CB13CE082C8E24F6,1998_RegularSession,1998,HB,235.0,amendment_or_concurrence,True,ALACT-EAB327D757E8B384,98-504,504.0,,1,unique_act_match,True
JRC-08A46674BEBC5D2D,1998_RegularSession,1998,HB,235.0,amendment_or_concurrence,True,ALACT-EAB327D757E8B384,98-504,504.0,,1,unique_act_match,True
JRC-FDDA4F04D287317B,1998_RegularSession,1998,HB,235.0,amendment_or_concurrence,False,ALACT-EAB327D757E8B384,98-504,504.0,,1,unique_act_match,False
JRC-AAD419EE5202D3A6,1998_RegularSession,1998,HB,235.0,amendment_or_concurrence,True,ALACT-EAB327D757E8B384,98-504,504.0,,1,unique_act_match,True
JRC-502499837081194C,1998_RegularSession,1998,HB,235.0,amendment_or_concurrence,True,ALACT-EAB327D757E8B384,98-504,504.0,,1,unique_act_match,True
JRC-24FB23757A84126C,1998_RegularSession,1998,HB,235.0,amendment_or_concurrence,True,ALACT-EAB327D757E8B384,98-504,504.0,,1,unique_act_match,True
JRC-477F19DC70C8F3F6,1998_RegularSession,1998,HB,235.0,amendment_or_concurrence,True,ALACT-EAB327D757E8B384,98-504,504.0,,1,unique_act_match,True
JRC-0685EFD1C5AC15DD,1998_RegularSession,1998,HB,235.0,amendment_or_concurrence,True,ALACT-EAB327D757E8B384,98-504,504.0,,1,unique_act_match,True
JRC-094DD512DD61ED51,1998_RegularSession,1998,HB,235.0,amendment_or_concurrence,True,ALACT-EAB327D757E8B384,98-504,504.0,,1,unique_act_match,True
JRC-4AE3F365EAB912DC,1998_RegularSession,1998,HB,235.0,amendment_or_concurrence,True,ALACT-EAB327D757E8B384,98-504,504.0,,1,unique_act_match,True
JRC-47B87C177FDE2529,1998_RegularSession,1998,HB,235.0,amendment_or_concurrence,True,ALACT-EAB327D757E8B384,98-504,504.0,,1,unique_act_match,True
JRC-FDDD16ABFD775B28,1998_RegularSession,1998,HB,235.0,amendment_or_concurrence,True,ALACT-EAB327D757E8B384,98-504,504.0,,1,unique_act_match,True
JRC-ED9E595D00C3A837,1998_RegularSession,1998,HB,235.0,amendment_or_concurrence,True,ALACT-EAB327D757E8B384,98-504,504.0,,1,unique_act_match,True
