bill_id,bill_number,session_id,session_name,amendment_id,date,chamber,title,description,adopted,url,state_link,amendment_hash
889213,HB1,1254,Regular Session 2017,48587,2017-02-16,H,House Public Safety and Homeland Security first Amendment Offered,House Public Safety and Homeland Security first Amendment Offered,0,https://legiscan.com/AL/amendment/HB1/id/48587,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2017RS/PrintFiles/181762-2.pdf,64fa7070dd2ddfe67904dfb82d5a9d77
889233,HB4,1254,Regular Session 2017,48654,2017-04-13,H,House Agriculture and Forestry first Substitute Offered,House Agriculture and Forestry first Substitute Offered,0,https://legiscan.com/AL/amendment/HB4/id/48654,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2017RS/PrintFiles/185129-3.pdf,fa70fb38ced1252d879a761bbec4bda0
889096,HB5,1254,Regular Session 2017,52675,2017-03-02,H,House Hanes Amendment Offered,House Hanes Amendment Offered,0,https://legiscan.com/AL/amendment/HB5/id/52675,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2017RS/PrintFiles/182985-1.pdf,22982bf95c7b120276f1cf7b6f2ebb36
889096,HB5,1254,Regular Session 2017,52676,2017-05-17,S,Senate Governmental Affairs Amendment Offered,Senate Governmental Affairs Amendment Offered,0,https://legiscan.com/AL/amendment/HB5/id/52676,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2017RS/PrintFiles/184008-2.pdf,a34b99ee8a33f3dc01d27e0db60f0a13
889272,HB18,1254,Regular Session 2017,48620,2017-03-02,H,House Public Safety and Homeland Security first Amendment Offered,House Public Safety and Homeland Security first Amendment Offered,0,https://legiscan.com/AL/amendment/HB18/id/48620,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2017RS/PrintFiles/181913-2.pdf,554425808d7dedf2fbe16fc38cd16aff
889135,HB21,1254,Regular Session 2017,48674,2017-03-02,H,House Judiciary first Amendment Offered,House Judiciary first Amendment Offered,0,https://legiscan.com/AL/amendment/HB21/id/48674,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2017RS/PrintFiles/183359-1.pdf,63cf516e032b54b95138a2b42e8992c6
890472,HB24,1254,Regular Session 2017,49015,2017-04-18,S,Senate Health and Human Services Amendment Offered,Senate Health and Human Services Amendment Offered,0,https://legiscan.com/AL/amendment/HB24/id/49015,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2017RS/PrintFiles/185100-2.pdf,9164b77f593a67c569fdda363de4ca7e
890472,HB24,1254,Regular Session 2017,49016,2017-04-18,S,Senate Figures Amendment Offered,Senate Figures Amendment Offered,0,https://legiscan.com/AL/amendment/HB24/id/49016,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2017RS/PrintFiles/185505-1.pdf,7fae0d7dd7498d8ec84e49795a66eeea
890472,HB24,1254,Regular Session 2017,49017,2017-04-18,S,Senate Ross Amendment Offered,Senate Ross Amendment Offered,0,https://legiscan.com/AL/amendment/HB24/id/49017,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2017RS/PrintFiles/185516-1.pdf,1b611bee910a7fdd831b34e60b1070e2
893780,HB29,1254,Regular Session 2017,52637,2017-03-07,H,House Holmes (M) Amendment Offered,House Holmes (M) Amendment Offered,0,https://legiscan.com/AL/amendment/HB29/id/52637,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2017RS/PrintFiles/183612-1.pdf,054d8abde6f089690806ace58ae519b5
