roll_call_id,yea,nay,not_voting,absent,total,Absent,Nay,Not Voting,Yea,parsed_vote_count,reported_total_matches
341057,95,0,1,8,104,8,0,1,95,104,True
341065,42,0,46,16,104,16,0,46,42,104,True
341107,15,15,0,5,35,5,15,0,15,35,True
341108,20,10,0,5,35,5,10,0,20,35,True
341131,26,6,1,2,35,2,6,1,26,35,True
341134,98,0,0,6,104,6,0,0,98,104,True
341135,93,0,0,11,104,11,0,0,93,104,True
341136,95,0,0,9,104,9,0,0,95,104,True
341137,33,0,49,22,104,22,0,49,33,104,True
341138,35,0,48,21,104,21,0,48,35,104,True
341149,99,0,0,5,104,5,0,0,99,104,True
341150,98,0,0,6,104,6,0,0,98,104,True
341151,98,0,0,6,104,6,0,0,98,104,True
341152,97,0,0,7,104,7,0,0,97,104,True
341175,95,1,1,7,104,7,1,1,95,104,True
341273,85,4,3,12,104,12,4,3,85,104,True
341283,31,0,0,4,35,4,0,0,31,35,True
341348,22,10,0,3,35,3,10,0,22,35,True
341349,2,29,0,4,35,4,29,0,2,35,True
341350,29,0,0,6,35,6,0,0,29,35,True
341354,37,0,54,13,104,13,0,54,37,104,True
341383,95,0,1,8,104,8,0,1,95,104,True
341384,90,2,1,11,104,11,2,1,90,104,True
341395,65,23,4,12,104,12,23,4,65,104,True
341419,99,0,0,5,104,5,0,0,99,104,True
341420,95,0,0,9,104,9,0,0,95,104,True
341471,48,0,39,17,104,17,0,39,48,104,True
341472,45,0,42,17,104,17,0,42,45,104,True
341498,24,8,0,3,35,3,8,0,24,35,True
341499,18,10,0,7,35,7,10,0,18,35,True
341897,95,0,0,9,104,9,0,0,95,104,True
344077,87,0,0,17,104,17,0,0,87,104,True
344099,33,0,60,11,104,11,0,60,33,104,True
344109,90,0,3,11,104,11,0,3,90,104,True
344123,25,0,1,9,35,9,0,1,25,35,True
344131,32,0,46,26,104,26,0,46,32,104,True
344132,34,0,52,18,104,18,0,52,34,104,True
344140,97,0,2,5,104,5,0,2,97,104,True
344155,26,0,0,9,35,9,0,0,26,35,True
344158,29,0,0,6,35,6,0,0,29,35,True
344159,31,0,0,4,35,4,0,0,31,35,True
344172,23,0,2,10,35,10,0,2,23,35,True
344173,64,35,1,4,104,4,35,1,64,104,True
344174,65,34,2,3,104,3,34,2,65,104,True
344175,63,40,0,1,104,1,40,0,63,104,True
344177,24,0,0,11,35,11,0,0,24,35,True
344179,21,0,4,10,35,10,0,4,21,35,True
344183,25,0,1,9,35,9,0,1,25,35,True
344187,21,0,3,11,35,11,0,3,21,35,True
344188,31,0,0,4,35,4,0,0,31,35,True
344192,30,0,0,5,35,5,0,0,30,35,True
344198,25,0,1,9,35,9,0,1,25,35,True
344216,96,2,1,5,104,5,2,1,96,104,True
344231,31,0,0,4,35,4,0,0,31,35,True
344232,31,0,0,4,35,4,0,0,31,35,True
344233,85,0,6,13,104,13,0,6,85,104,True
344236,21,0,3,11,35,11,0,3,21,35,True
344239,23,0,3,9,35,9,0,3,23,35,True
344244,102,0,1,1,104,1,0,1,102,104,True
344250,22,0,4,9,35,9,0,4,22,35,True
344270,27,2,0,6,35,6,2,0,27,35,True
344271,27,0,1,7,35,7,0,1,27,35,True
344272,28,0,0,7,35,7,0,0,28,35,True
