review_reason,rollcall_id,session,asset,local_path,page,bill_type,bill_number,context
printed_member_count_mismatch,SJRC-01B0D585ECD1C512,1999_RegularSession,1999RegularSession_Day28Afternoon,data\raw\alabama_legislature\senate_journals\1999_RegularSession\1999RegularSession_Day28Afternoon.pdf,95,HB,402.0," in Colbert County; establishing a civil service system and providing for classified services; establishing a personnel board and providing for the appointment, term, and powers of board members; providing for the establishment of a register and filling of vacancies; and providing for penalties. I HEREBY CERTIFY THAT THE NOTICE AND PROOF IS ATTACHED TO THE BILL, HB809, AS REQUIRED IN THE GENERAL ACTS OF ALABAMA, 1975, ACT NO. 919. GREG PAPPAS, Clerk. GREG PAPPAS, Clerk. HOUSE MESSAGE The House Bill, the title of which is set out in the foregoing Message from the House, was read one time and referred to appropriate Standing Committee, as follows: HB809 - to the Committee on Local Legislation No. 1 MESSAGE FROM THE HOUSE Mr. President: The House of Representatives has originated and passed the following House Bill and ordered same sent forthwith to the Senate without engrossment: By Representative Vance (With Notice and Proof): HB799 Relating to the regulation of the liquor traffic in the City of Phenix City; providing for the sale of draft or keg beer or malt beverages. <<<PAGE 95>>> 1914 JOURNAL OF THE SENATE, REGULAR SESSION 1999 28th Day - June 1, 1999 I HEREBY CERTIFY THAT THE NOTICE AND PROOF IS ATTACHED TO THE BILL, HB799, AS REQUIRED IN THE GENERAL ACTS OF ALABAMA, 1975, ACT NO. 919. GREG PAPPAS, Clerk. GREG PAPPAS, Clerk. HOUSE MESSAGE The House Bill, the title of which is set out in the foregoing Message from the House, was read one time and referred to appropriate Standing Committee, as follows: HB799 - to the Committee on Local Legislation No. 1 FURTHER CONSIDERATION OF HB402 The Senate proceeded to further consideration of the Bill, HB402. On motion of Senator Butler, the Senate reconsidered the vote by which the Bill, HB402, was ordered to its third reading."
printed_member_count_mismatch,SJRC-3D657ED0D3D3ACDF,1999_RegularSession,1999RegularSession_Day28Afternoon,data\raw\alabama_legislature\senate_journals\1999_RegularSession\1999RegularSession_Day28Afternoon.pdf,95,HB,402.0,", Clerk. GREG PAPPAS, Clerk. HOUSE MESSAGE The House Bill, the title of which is set out in the foregoing Message from the House, was read one time and referred to appropriate Standing Committee, as follows: HB809 - to the Committee on Local Legislation No. 1 MESSAGE FROM THE HOUSE Mr. President: The House of Representatives has originated and passed the following House Bill and ordered same sent forthwith to the Senate without engrossment: By Representative Vance (With Notice and Proof): HB799 Relating to the regulation of the liquor traffic in the City of Phenix City; providing for the sale of draft or keg beer or malt beverages. <<<PAGE 95>>> 1914 JOURNAL OF THE SENATE, REGULAR SESSION 1999 28th Day - June 1, 1999 I HEREBY CERTIFY THAT THE NOTICE AND PROOF IS ATTACHED TO THE BILL, HB799, AS REQUIRED IN THE GENERAL ACTS OF ALABAMA, 1975, ACT NO. 919. GREG PAPPAS, Clerk. GREG PAPPAS, Clerk. HOUSE MESSAGE The House Bill, the title of which is set out in the foregoing Message from the House, was read one time and referred to appropriate Standing Committee, as follows: HB799 - to the Committee on Local Legislation No. 1 FURTHER CONSIDERATION OF HB402 The Senate proceeded to further consideration of the Bill, HB402. On motion of Senator Butler, the Senate reconsidered the vote by which the Bill, HB402, was ordered to its third reading. Yeas 34 Nays 0 Yeas: Senators: Armistead, Barron, Bedford, Biddle, Butler, Clay, Denton, Dial, Dixon, Enfinger, Escott-Russell, Figures, French, Holley, Langford, Lee, Lindsey, Lipscomb, Little (T), Little (Z), McClain, Means, Mitchell, Mitchem, Myers, Poole, Preuitt, Roberts, Sanders, Smith, Smitherman, Steele, and Waggoner -34 Nays: - 0 On motion of Senator Butler, the Senate reconsidered the vote by which the Butler amendment was adopted."
printed_member_count_mismatch,SJRC-B10C548FA5244FA0,2003_RegularSession,2003RegularSession_Day08,data\raw\alabama_legislature\senate_journals\2003_RegularSession\2003RegularSession_Day08.pdf,54,SR,31.0,"County Commission is urged to reject the proposal for additional garbage from Metro-Atlanta and most of Central West Georgia to be dumped into the county. On motion of Senator Dial, the Resolution was adopted by the Senate. Yeas 26 Nays 0 Yeas: Senators: Barron, Butler, Byrne, Denton, Dial, Dixon, Enfinger, Erwin, Escott, Figures, Holley, Little (T), Marsh, Mitchell, Myers, Penn, Poole, Preuitt, Roberts, Ross, Sanders, Smith, Smitherman, Steele, Tanner, and Waggoner -26 Nays: - 0 <<<PAGE 54>>> 321 JOURNAL OF THE SENATE, 2003 8th Day - April 1, 2003 REPORT FROM RULES Senator Preuitt, Chairperson of the Standing Committee on Rules, reported that said committee, in session, had acted on the following Senate Resolution and ordered same returned to the Senate with a favorable report, with substitute, to wit: SR31 SENDING THE APPOINTMENT OF AMY BURKS TO THE SENATE COMMITTEE ON RULES FOR ASSIGNMENT TO A STANDING SENATE COMMITTEE FOR CONSIDERA­ TION. WHEREAS, the Governor appointed Amy Burks to serve on the Board of Trustees of the Alabama Institute for the Deaf and Blind, effective January 9, 2003; now therefore, BE IT RESOLVED BY THE SENATE OF THE LEGISLA­ TURE OF ALABAMA, That the nomination of Amy Burks be sent to the Senate Committee on Rules for assignment to a standing Sen­ ate committee for consideration. The Standing Committee on Rules then reported the follow­ ing substitute for the Resolution, SR31, to wit: SUBSTITUTE FOR SR31 SR31 CONFIRMING THE APPOINTMENT OF AMY BURKS. WHEREAS, the Governor appointed Amy Burks to serve on the Board of Trustees of the Alabama Institute for the Deaf and Blind, effective January 9, 2003; now therefore, BE IT RESOLVED BY THE SENATE OF THE LEGIS­ LATURE OF ALABAMA, That we hereby confirm the appointment of Amy Burks. Which was adopted."
printed_member_count_mismatch,SJRC-93227ED675D97256,2003_RegularSession,2003RegularSession_Day24,data\raw\alabama_legislature\senate_journals\2003_RegularSession\2003RegularSession_Day24.pdf,36,,,"ointment and ordered same returned to the Senate with a favorable report, to wit: Appointment of Chester Mallory to the Alabama Real Estate Commission On motion of Senator McClain, the appointment of Mr. Mal­ lory was confirmed by the Senate. Yeas 34 Nays 0 Yeas: Senators: Barron, Bedford, Biddle, Butler, Byrne, Denton, Dial, Dixon, Enfinger, Erwin, Figures, French, Holley, Lee, Lindsey, Little (T), Little (Z), Marsh, McClain, Means, Mitchell, Mitchem, Myers, Penn, Poole, Preuitt, Roberts, Ross, Sanders, Smith, Smitherman, Steele, Tanner, and Waggoner -34 Nays: - 0 Senator McClain, Chairperson of the Standing Committee on Confirmations, then reported that said committee, in session, had acted on the following Governor’s Reappointment and ordered same returned to the Senate with a favorable report, to wit: Reappointment of Dr. Michael Mahan, Jr., to the Cahaba Trace Commission Board of Directors On motion of Senator McClain, the reappointment of Dr. Mahan was confirmed by the Senate. Yeas 34 Nays 0 Yeas: Senators: Barron, Bedford, Biddle, Butler, Byrne, Denton, Dial, Dixon, Enfinger, Erwin, Figures, French, Holley, Lee, Lindsey, Little (T), <<<PAGE 36>>> REGULAR SESSION 933 24th Day - June 10, 2003 Little (Z), Marsh, McClain, Means, Mitchell, Mitchem, Myers, Penn, Poole, Preuitt, Roberts, Ross, Sanders, Smith, Smitherman, Steele, Tanner, and Waggoner -34 Nays: - 0 Senator McClain, Chairperson of the Standing Committee on Confirmations, then reported that said committee, in session, had acted on the following Governor’s Appointment and ordered same returned to the Senate with a favorable report, to wit: Appointment of Randy Owen to the Alabama State Board of Agriculture and Industries On motion of Senator McClain, the appointment of Mr. Ow­ en was confirmed by the Senate."
printed_member_count_mismatch,SJRC-8CFC9006A58C518B,2003_RegularSession,2003RegularSession_Day24,data\raw\alabama_legislature\senate_journals\2003_RegularSession\2003RegularSession_Day24.pdf,48,HB,686.0,"e department, and head of the sanitation department of any affected municipality shall be part of the exempt service of the municipality. Senator Barron, Chairperson of the Standing Committee on Local Legislation No. 1, reported that said committee, in session, had acted on the following Bill and ordered same returned to the Senate with a favorable report, and it was read a second time and placed on the calendar, to wit: By Representative Ford (J) (With Notice and Proof): HB686 To alter or rearrange the boundary lines of the Town of Shorter, Macon County, Alabama, so as to include within the cor­ poration limits of said town all territory now within such corporate limits and also be certain other territory contiguous thereto, in the Town of Shorter, Macon County, Alabama. MESSAGE FROM THE GOVERNOR June 9, 2003 <<<PAGE 48>>> REGULAR SESSION 945 24th Day - June 10, 2003 To the Senate of Alabama Alabama State House Montgomery, Alabama 36130 Ladies and Gentlemen: I herewith transmit to you a message from the Governor relative to the State Military Department. Respectfully submitted, TWINKLE ANDRESS, Appointments Secretary. Done this 9th day of June, 2003. June 9, 2003 To the Senate of Alabama Alabama State House Montgomery, Alabama 36130 Ladies and Gentlemen: I have appointed, subject to your confirmation, Colonel Dudley B. Hodges, III, to Brigadier General. Respectfully submitted, BOB RILEY, Governor. Done this 9th day of June, 2003. RULE 32 SUSPENDED Senator Dial requested and received unanimous consent to suspend the provisions of Senate Rule 32 in order to allow immediate consideration of the promotion of Dudley B. Hodges, III, to the rank of Brigadier General. CONFIRMATION On motion of Senator Dial, the promotion of Brigadier General Hodges was confirmed by the Senate."
printed_member_count_mismatch,SJRC-D988059CA15CF156,2003_RegularSession,2003RegularSession_Day25,data\raw\alabama_legislature\senate_journals\2003_RegularSession\2003RegularSession_Day25.pdf,1,,,"<<<PAGE 1>>> TWENTY-FIFTH LEGISLATIVE DAY WEDNESDAY, JUNE 11, 2003 The Senate met pursuant to adjournment, Lieutenant Governor Baxley presiding. PRAYER The Session was opened with prayer by the Reverend R. O. Eubanks, Millbrook Church of God, Millbrook, Alabama. PLEDGE OF ALLEGIANCE The Senators were led in the Pledge of Allegiance to the Flag of the United States of America by Finis St. John, V, Cullman High School, Cullman, Alabama. ROLL CALL"
printed_member_count_mismatch,SJRC-0C1A92208570FEFE,2005_RegularSession,2005RegularSession_Day29,data\raw\alabama_legislature\senate_journals\2005_RegularSession\2005RegularSession_Day29.pdf,134,HB,257.0,"that state employees shall be paid and shall ac- crue leave semi-monthly rather than biweekly; to provide for a four percent cost-of-living salary increase and a two percent conditional cost-of-living salary increase for certain state employees in the fiscal year beginning October 1, 2005; and to provide a cost-of-living in- crease to certain retirees and beneficiaries under the Employees’ Re- tirement System. was read a third time at length and passed. Yeas 32 Nays 0 Yeas: Senators: Barron, Bedford, Biddle, Butler, Byrne, Denton, Dial, Dixon, Erwin, <<<PAGE 134>>> 1238 JOURNAL OF THE SENATE, 2005 29th Day - May 5, 2005 Figures, French, Holley, Lee, Lindsey, Little (T), Little (Z), Marsh, McClain, Means, Mitchell, Mitchem, Myers, Penn, Preuitt, Roberts, Ross, Sanders, Singleton, Smith, Smitherman, Tanner, and Waggoner -32 Nays: - 0 BUDGET ISOLATION RESOLUTION Senator Smitherman, B.I.R., HB257, adopted. Yeas 32 Nays 0 Yeas: Senators: Barron, Bedford, Biddle, Butler, Byrne, Denton, Dial, Dixon, Erwin, Figures, French, Holley, Lee, Lindsey, Little (T), Little (Z), Marsh, McClain, Means, Mitchell, Mitchem, Myers, Penn, Preuitt, Roberts, Ross, Sanders, Singleton, Smith, Smitherman, Tanner, and Waggoner -32 Nays: - 0 BILLS ON THIRD READING RESUMED THE BILL: HB257 To make an appropriation of $7,688,198 from the Ed- ucation Trust Fund to Tuskegee University in Tuskegee, Alabama for the support and maintenance of the educational program of the insti- tution, for the fiscal year ending September 30, 2006; to provide that the appropriation is subject to certain provisions of the Code of Ala- bama 1975; to require an operations plan and an audited financial statement prior to the release of any funds; and to require an end of year report. was read a third time at length and passed."
printed_member_count_mismatch,SJRC-7B44C2968F98E2BA,2008_RegularSession,2008RegularSession_Day29,data\raw\alabama_legislature\senate_journals\2008_RegularSession\2008RegularSession_Day29.pdf,148,HB,779.0,"ctions. Also: HB662 To alter, rearrange, and extend the boundary lines and corporate limits of the municipality of Gaylesville in Cherokee Coun­ ty. Also: HB673 Relating to Montgomery County; to authorize Mont­ gomery County to join the Employees’ Retirement System of Ala­ bama and transfer assets and liabilities of the existing “Retirement System for Employees of Montgomery County” to the Retirement System. Also: HB536 Relating to Limestone County; to amend Act 2008- 123 of the 2008 Regular Session, providing for a fire protection ser­ vice fee on certain dwellings and businesses in the county; to further specify that the act does not apply in any municipality having a mu­ <<<PAGE 148>>> 2156 JOURNAL OF THE SENATE 29th Day - May 8, 2008 nicipal fire department. GREG PAPPAS, Clerk. SIGNING OF BILLS The Presiding Officer of the Senate, in the presence of the Senate, after the reading thereof at length had been dispensed with by a two-thirds vote of a quorum of the Senate present, and immediately after their titles had been publicly read at length by the Secretary of the Senate, signed the foregoing House Bills, the titles of which are set out in the foregoing Message from the House. BUDGET ISOLATION RESOLUTION Senator Lindsey, B.I.R., HB779, adopted. Yeas 25 Nays 0 Abstaining 2 Yeas: Senators: Barron, Bedford, Benefield, Bishop, Brooks, Butler, Coleman, Den­ ton, Erwin, Griffith, Holley, Lindsey, Little (T), Little (Z), Marsh, McClain, Mitchell, Mitchem, Orr, Pittman, Preuitt, Ross, Sanders, Singleton, and Smitherman -25 Nays: - 0 Abstaining: Senators: Glover and Penn - 2 BILLS ON THIRD READING RESUMED THE BILL: HB779 To alter, rearrange, and extend the boundary lines and corporate limits of the City of Foley in Baldwin County. was read a third time at length and passed."
printed_member_count_mismatch,SJRC-519EE3074CC713CE,2008_RegularSession,2008RegularSession_Day29,data\raw\alabama_legislature\senate_journals\2008_RegularSession\2008RegularSession_Day29.pdf,198,HB,880.0," (Z), Marsh, McClain, Mitch­ ell, Mitchem, Orr, Pittman, Ross, Sanders, Smith, Smitherman, and Waggoner -23 Nays: - 0 Abstaining: Senators: Beason, Brooks, Glover, Means, and Poole - 5 BILLS ON THIRD READING RESUMED THE BILL: HB879 Relating to Hale County; to authorize the county commission to levy an additional ad valorem tax and for bonds to be issued for educational purposes in the county; to provide that the tax shall end upon the repayment of bonds for which the additional tax is levied and pledged; and to provide for a referendum. was read a third time at length and passed. Yeas 23 Nays 0 Abstaining 5 Yeas: Senators: Barron, Bedford, Benefield, Coleman, Denton, Erwin, French, Grif­ fith, Holley, Lindsey, Little (T), Little (Z), Marsh, McClain, Mitch­ ell, Mitchem, Orr, Pittman, Ross, Sanders, Smith, Smitherman, and Waggoner -23 Nays: - 0 Abstaining: Senators: <<<PAGE 198>>> 2206 JOURNAL OF THE SENATE 29th Day - May 8, 2008 Beason, Brooks, Glover, Means, and Poole - 5 BUDGET ISOLATION RESOLUTION Senator Lindsey, B.I.R., HB880, adopted. Yeas 23 Nays 0 Abstaining 5 Yeas: Senators: Barron, Bedford, Benefield, Coleman, Denton, Erwin, French, Grif­ fith, Holley, Lindsey, Little (T), Little (Z), Marsh, McClain, Mitch­ ell, Mitchem, Orr, Pittman, Ross, Sanders, Smith, Smitherman, and Waggoner -23 Nays: - 0 Abstaining: Senators: Beason, Brooks, Glover, Means, and Poole - 5 BILLS ON THIRD READING RESUMED THE BILL: HB880 To establish the Cullman County Community Devel­ opment Commission; to provide for the membership of the Commis­ sion; to establish a Community Development Fund within the county treasury and provide for the source of revenue; and to distribute the balance of certain alcoholic beverage funds received by the county. was read a third time at length and passed."
printed_member_count_mismatch,SJRC-AC981AD187463BBD,2009_RegularSession,2009RegularSession_Day24,data\raw\alabama_legislature\senate_journals\2009_RegularSession\2009RegularSession_Day24.pdf,66,HB,373.0,"itherman, and Waggoner -20 Nays: Senators: Erwin, Holley, Orr, and Poole - 4 BUDGET ISOLATION RESOLUTION Senator Singleton, B.I.R., SB132, adopted. Yeas 16 Nays 8 Yeas: Senators: Barron, Bedford, Benefield, Butler, Coleman, Figures, French, Means, Mitchem, Penn, Preuitt, Ross, Sanders, Singleton, Smither- man, and Waggoner -16 Nays: Senators: Beason, Erwin, Glover, Holley, Mitchell, Orr, Poole, and Smith - 8 BILLS ON THIRD READING RESUMED THE BILL: SB132 To amend Section 28-3-1, Code of Alabama 1975, re- <<<PAGE 66>>> 2398 JOURNAL OF THE SENATE 24th Day - April 28, 2009 lating to certain definitions for the sale and licensing of alcoholic beverages, to further define the term “beer” for ABC licensing pur- poses, to include malt beverages with a higher alcohol content. was taken up. Senator Brooks offered the following amendment to the Bill, SB132, to wit: AMENDMENT TO SB132 On page 2, line 20, strike “Any” On page 2, line 20, after the period insert the following: “Except as otherwise provided in this subdivision, any” On page 2, line 25, after the period insert the following: “Beer or malt or brewed beverages sold by the holder of a re- tail beer license for off-premises consumption pursuant to Section 28-3A-17 shall only include any beer, lager beer, ale, porter, malt or brewed beverage, or similar fermented malt liquor containing one- half of one percent or more of alcohol by volume and not in excess of five percent alcohol by weight and six percent by volume, by what- ever name the same may be called.” On motion of Senator Singleton, further consideration of the Bill, SB132, was postponed temporarily. BUDGET ISOLATION RESOLUTION Senator Singleton requested and received unanimous consent in order to bring up the Bill, HB373. Senator Singleton, B.I.R., HB373, adopted."
