session_year,chamber,member_name,member_name_norm,journal_surname_norm,name_hint,match_status,candidate_count,shor_u_id,shor_name,party,district,np_score
1998,house,Allen,ALLEN,ALLEN,,unique_active_surname,1,AL1996L077,"Allen, Gerald",R,62.0,0.973
1998,house,Baker,BAKER,BAKER,,unique_active_surname,1,AL1996L048,"Baker, Locy",D,85.0,-0.301
1998,house,Black (L),BLACK L,BLACK,L,surname_plus_initial,2,AL1996L104,"Black, Lucius",D,71.0,-0.581
1998,house,Black (M),BLACK M,BLACK,M,surname_plus_initial,2,AL1996L028,"Black, Marcel",D,3.0,-0.223
1998,house,Box,BOX,BOX,,unique_active_surname,1,AL1996L073,Box,D,96.0,-0.234
1998,house,Boyd,BOYD,BOYD,,unique_active_surname,1,AL1996L072,"Boyd, Barbara",D,32.0,-0.504
1998,house,Burke,BURKE,BURKE,,unique_active_surname,1,AL1996L015,Burke,D,24.0,0.012
1998,house,Buskey,BUSKEY,BUSKEY,,unique_active_surname,1,AL1996L010,"Buskey, James",D,99.0,-0.628
1998,house,Carter,CARTER,CARTER,,unique_active_surname,1,AL1996L035,"Carter, Tommy",D,5.0,0.092
1998,house,Clark (W),CLARK W,CLARK,W,unique_active_surname,1,AL1996L060,"Clark, William",D,98.0,-0.6
1998,house,Clouse,CLOUSE,CLOUSE,,unique_active_surname,1,AL1996L098,"Clouse, Steve",R,93.0,0.798
1998,house,Collins,COLLINS,COLLINS,,unique_active_surname,1,AL1996L051,Collins,D,16.0,0.305
1998,house,Crigler,CRIGLER,CRIGLER,,unique_active_surname,1,AL1996L022,"Crigler, Richard Jr.",R,105.0,0.782
1998,house,Dean,DEAN,DEAN,,unique_active_surname,1,AL1996L084,"Dean, Mike",R,104.0,0.665
1998,house,Dolbare,DOLBARE,DOLBARE,,unique_active_surname,1,AL1996L092,"Dolbare, Jeff",D,65.0,-0.017
1998,house,Dukes,DUKES,DUKES,,unique_active_surname,1,AL1996L041,"Dukes, Bill",D,8.0,0.059
1998,house,Flowers,FLOWERS,FLOWERS,,unique_active_surname,1,AL1996L033,Flowers,R,89.0,0.389
1998,house,Ford (J),FORD J,FORD,J,ambiguous_active_surname,2,,,,,
1998,house,Fuller,FULLER,FULLER,,unique_active_surname,1,AL1996L102,"Fuller, William Jr.",D,38.0,-0.098
1998,house,Galliher,GALLIHER,GALLIHER,,unique_active_surname,1,AL1996L052,"Galliher, Blaine",D,30.0,0.238
1998,house,Gaston,GASTON,GASTON,,unique_active_surname,1,AL1996L067,"Gaston, Victor",R,100.0,0.835
1998,house,Gipson,GIPSON,GIPSON,,unique_active_surname,1,AL1996L080,"Gipson, H. Mac Jr.",R,88.0,0.566
1998,house,Graham,GRAHAM,GRAHAM,,unique_active_surname,1,AL1996L043,"Graham, Betty",D,81.0,-0.209
1998,house,Guin,GUIN,GUIN,,unique_active_surname,1,AL1996L007,"Guin, James Jr.",D,14.0,-0.071
1998,house,Hall (A),HALL A,HALL,A,surname_plus_initial,2,AL1996L064,"Hall, Albert",D,22.0,-0.066
1998,house,Hall (L),HALL L,HALL,L,surname_plus_initial,2,AL1996L023,"Hall, Laura",D,19.0,-0.611
1998,house,Hamilton,HAMILTON,HAMILTON,,unique_active_surname,1,AL1996L058,"Hamilton, James",D,2.0,0.36
1998,house,Hammett,HAMMETT,HAMMETT,,unique_active_surname,1,AL1996L078,"Hammett, Seth",D,92.0,0.004
1998,house,Hawk,HAWK,HAWK,,unique_active_surname,1,AL1996L013,"Hawk, Howard",D,25.0,-0.213
1998,house,Hayden,HAYDEN,HAYDEN,,unique_active_surname,1,AL1996L037,"Hayden, Andrew",D,72.0,-0.558
1998,house,Hogan,HOGAN,HOGAN,,unique_active_surname,1,AL1996L024,"Hogan, Thomas",D,13.0,0.007
1998,house,Jackson,JACKSON,JACKSON,,unique_active_surname,1,AL1996L082,"Jackson, Thomas Jr.",D,68.0,-0.489
1998,house,Jorgensen,JORGENSEN,JORGENSEN,,unique_active_surname,1,AL1996L039,Jorgensen,R,6.0,0.519
1998,house,Kennedy,KENNEDY,KENNEDY,,unique_active_surname,1,AL1996L047,"Kennedy, Yvonne",D,97.0,-0.663
1998,house,Layson,LAYSON,LAYSON,,unique_active_surname,1,AL1996L036,"Layson, Allen",D,61.0,0.394
1998,house,Lindsey,LINDSEY,LINDSEY,,unique_active_surname,1,AL1996L042,"Lindsey, Richard",D,39.0,-0.13
1998,house,McDaniel,MCDANIEL,MCDANIEL,,unique_active_surname,1,AL1996L049,"McDaniel, W.",D,26.0,0.341
1998,house,McKee,MCKEE,MCKEE,,unique_active_surname,1,AL1996L083,"McKee, Bob",R,74.0,1.286
1998,house,McMillan,MCMILLAN,MCMILLAN,,unique_active_surname,1,AL1996L009,"McMillan, Stephen",R,95.0,0.765
1998,house,Millican,MILLICAN,MILLICAN,,unique_active_surname,1,AL1996L074,"Millican, Michael",D,17.0,0.125
1998,house,Morrison,MORRISON,MORRISON,,unique_active_surname,1,AL1996L020,Morrison,D,12.0,0.254
1998,house,Morrow,MORROW,MORROW,,unique_active_surname,1,AL1996L034,"Morrow, Johnny",D,18.0,0.002
1998,house,Murphree,MURPHREE,MURPHREE,,unmatched,0,,,,,
1998,house,Newton (C),NEWTON C,NEWTON,C,surname_plus_initial,2,AL1996L063,"Newton, Charles",D,90.0,0.195
1998,house,Page,PAGE,PAGE,,unique_active_surname,1,AL1996L030,"Page, John III",D,29.0,-0.308
1998,house,Parker (T),PARKER T,PARKER,T,surname_plus_initial,2,AL1996L090,"Parker, Tim Jr.",D,63.0,0.316
1998,house,Penry,PENRY,PENRY,,unique_active_surname,1,AL1996L014,"Penry, Walter Jr.",R,94.0,0.592
1998,house,Pringle,PRINGLE,PRINGLE,,unique_active_surname,1,AL1996L011,"Pringle, Chris",R,101.0,0.862
1998,house,Rogers (M),ROGERS M,ROGERS,M,surname_plus_initial,2,AL1996L066,"Rogers, Michael",R,36.0,0.721
1998,house,Sanderford,SANDERFORD,SANDERFORD,,unique_active_surname,1,AL1996L081,"Sanderford, Howard",R,20.0,0.859
1998,house,Starkey,STARKEY,STARKEY,,unique_active_surname,1,AL1996L101,"Starkey, Nelson Jr.",D,1.0,-0.053
1998,house,Turner,TURNER,TURNER,,unique_active_surname,1,AL1996L054,"Turner, J.E.",R,102.0,0.158
1998,house,Turnham,TURNHAM,TURNHAM,,unique_active_surname,1,AL1996L018,Turnham,D,79.0,0.059
1998,house,White,WHITE,WHITE,,unique_active_surname,1,AL1996L103,"White, Frank Paul",D,66.0,-0.043
1998,house,Willis,WILLIS,WILLIS,,unique_active_surname,1,AL1996L096,"Willis, Gerald",D,34.0,0.117
1998,house,Wren,WREN,WREN,,unique_active_surname,1,AL1996L021,"Wren, Greg",R,75.0,0.904
1998,house,Carns,CARNS,CARNS,,unique_active_surname,1,AL1996L012,"Carns, Jim",R,46.0,1.05
1998,house,Curry,CURRY,CURRY,,unique_active_surname,1,AL1996L062,"Curry, Johnny L",R,15.0,0.863
1998,house,Gaines,GAINES,GAINES,,unique_active_surname,1,AL1996L050,"Gaines, Mark",R,47.0,1.242
1998,house,Hawkins,HAWKINS,HAWKINS,,unique_active_surname,1,AL1996L087,"Hawkins, John Jr.",R,48.0,0.773
1998,house,Hill,HILL,HILL,,unique_active_surname,1,AL1996L008,"Hill, Mike",R,41.0,0.693
1998,house,Houston,HOUSTON,HOUSTON,,unique_active_surname,1,AL1996L079,"Houston, Tommie",D,57.0,-0.473
1998,house,Knight (A),KNIGHT A,KNIGHT,A,surname_plus_initial,2,AL1996L044,"Knight, A",R,40.0,0.856
1998,house,McAdory,MCADORY,MCADORY,,unique_active_surname,1,AL1996L017,"McAdory, Lawrence",D,56.0,-0.57
1998,house,Morton,MORTON,MORTON,,unique_active_surname,1,AL1996L006,"Morton, Albert",R,45.0,0.779
1998,house,Newton (D),NEWTON D,NEWTON,D,surname_plus_initial,2,AL1996L069,"Newton, Demetrius Sr.",D,53.0,-0.725
1998,house,Payne,PAYNE,PAYNE,,unique_active_surname,1,AL1996L100,"Payne, Arthur",R,44.0,0.827
1998,house,Perdue,PERDUE,PERDUE,,unique_active_surname,1,AL1996L106,"Perdue, George",D,54.0,-0.66
1998,house,Rogers (J),ROGERS J,ROGERS,J,surname_plus_initial,2,AL1996L093,"Rogers, John Jr.",D,52.0,-0.596
1998,house,Sanderson,SANDERSON,SANDERSON,,unique_active_surname,1,AL1996L002,"Sanderson, Allen",R,43.0,1.003
1998,house,Seibenhener,SEIBENHENER,SEIBENHENER,,unique_active_surname,1,AL1996L055,"Seibenhener, Riley",R,87.0,0.879
1998,house,Sims,SIMS,SIMS,,unique_active_surname,1,AL1996L094,Sims,R,35.0,0.955
1998,house,Smith,SMITH,SMITH,,unique_active_surname,1,AL1996L005,Smith,D,42.0,0.149
1998,house,Spratt,SPRATT,SPRATT,,unique_active_surname,1,AL1996L061,Spratt,D,59.0,-0.376
1998,house,Thomas (D),THOMAS D,THOMAS,D,surname_plus_initial,2,AL1996L075,"Thomas, Dave",R,49.0,1.048
1998,house,Townsend,TOWNSEND,TOWNSEND,,unique_active_surname,1,AL1996L105,Townsend,R,50.0,0.986
1998,house,SPEAKER,SPEAKER,SPEAKER,,unmatched,0,,,,,
1998,house,Carothers,CAROTHERS,CAROTHERS,,unique_active_surname,1,AL1996L065,"Carothers, Joe Jr.",D,86.0,0.11
1998,house,Johnson (R),JOHNSON R,JOHNSON,R,surname_plus_initial,2,AL1996L019,"Johnson, Ronald",D,33.0,0.363
1998,house,Knight (J),KNIGHT J,KNIGHT,J,surname_plus_initial,2,AL1996L004,"Knight, John Jr.",D,77.0,-0.714
1998,house,McClammy,MCCLAMMY,MCCLAMMY,,unique_active_surname,1,AL1996L045,"McClammy, Thad",D,76.0,-0.728
1998,house,Melton,MELTON,MELTON,,unique_active_surname,1,AL1996L071,"Melton, Bryant Jr.",D,70.0,-0.581
1998,house,Parker (P),PARKER P,PARKER,P,surname_plus_initial,2,AL1996L085,"Parker, P",D,9.0,-0.277
1998,house,Thomas (J),THOMAS J,THOMAS,J,surname_plus_initial,2,AL1996L089,"Thomas, James",D,69.0,-0.592
1998,house,Vance,VANCE,VANCE,,unique_active_surname,1,AL1996L099,"Vance, Lesley",D,80.0,0.047
1998,house,Venable,VENABLE,VENABLE,,unique_active_surname,1,AL1996L053,"Venable, Jack",D,31.0,0.126
1998,house,Warren,WARREN,WARREN,,unique_active_surname,1,AL1996L038,"Warren, James",D,64.0,-0.063
1998,house,Drake,DRAKE,DRAKE,,unique_active_surname,1,AL1996L046,Drake,D,11.0,-0.147
1998,house,Hilliard,HILLIARD,HILLIARD,,unique_active_surname,1,AL1996L032,"Hilliard, John",D,60.0,-0.646
1998,house,Holmes,HOLMES,HOLMES,,unique_active_surname,1,AL1996L016,"Holmes, Alvin",D,78.0,-0.593
1998,house,Johnson (E),JOHNSON E,JOHNSON,E,surname_plus_initial,2,AL1996L057,"Johnson, E",D,58.0,-0.348
1998,house,Laird,LAIRD,LAIRD,,unique_active_surname,1,AL1996L091,"Laird, Richard Sr.",D,37.0,0.414
1998,house,Minnifield,MINNIFIELD,MINNIFIELD,,unique_active_surname,1,AL1996L059,Minnifield,D,55.0,-0.383
1998,house,Moore,MOORE,MOORE,,unique_active_surname,1,AL1996L025,Moore,R,91.0,0.987
1998,house,Ford,FORD,FORD,,ambiguous_active_surname,2,,,,,
1998,house,Hooper,HOOPER,HOOPER,,unique_active_surname,1,AL1996L086,"Hooper, Perry Jr.",R,73.0,0.483
1998,house,Letson,LETSON,LETSON,,unique_active_surname,1,AL1996L003,Letson,D,7.0,-0.089
