session_year,people_id,name,party,role,district_legiscan,year,years_before_election,person_id,canonical_candidate_id,canonical_name,canonical_party,chamber,district_candidate,match_status,source_archive
2010,12485,Kerry Rich,R,Rep,HD-026,2010.0,0.0,ALPERSON-KERRY-RICH,AL-2010-house-26-R-KERRY-RICH,KERRY RICH,R,house,26.0,exact_name_candidate,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip
2010,12485,Kerry Rich,R,Rep,HD-026,2014.0,4.0,ALPERSON-KERRY-RICH,AL-2014-house-26-R-KERRY-RICH,Kerry Rich,R,house,26.0,exact_name_candidate,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip
2010,12485,Kerry Rich,R,Rep,HD-026,2018.0,8.0,ALPERSON-KERRY-RICH,AL-2018-house-26-R-KERRY-RICH,Kerry Rich                            ,R,house,26.0,exact_name_candidate,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip
2010,12486,Terri Collins,R,Rep,HD-008,2010.0,0.0,ALPERSON-TERRI-COLLINS,AL-2010-house-8-R-TERRI-COLLINS,TERRI COLLINS,R,house,8.0,exact_name_candidate,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip
2010,12486,Terri Collins,R,Rep,HD-008,2014.0,4.0,ALPERSON-TERRI-COLLINS,AL-2014-house-8-R-TERRI-COLLINS,Terri Collins,R,house,8.0,exact_name_candidate,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip
2010,12486,Terri Collins,R,Rep,HD-008,2018.0,8.0,ALPERSON-TERRI-COLLINS,AL-2018-house-8-R-TERRI-COLLINS,Terri Collins                         ,R,house,8.0,exact_name_candidate,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip
2010,12487,William Roberts,R,Rep,HD-013,,,,,,,,,unmatched_or_out_of_window,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip
2010,12488,Lynn Greer,R,Rep,HD-002,2010.0,0.0,ALPERSON-LYNN-GREER,AL-2010-house-2-R-LYNN-GREER,LYNN GREER,R,house,2.0,exact_name_candidate,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip
2010,12488,Lynn Greer,R,Rep,HD-002,2014.0,4.0,ALPERSON-LYNN-GREER,AL-2014-house-2-R-LYNN-GREER,Lynn Greer,R,house,2.0,exact_name_candidate,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip
2010,12488,Lynn Greer,R,Rep,HD-002,2018.0,8.0,ALPERSON-LYNN-GREER,AL-2018-house-2-R-LYNN-GREER,Lynn Greer                            ,R,house,2.0,exact_name_candidate,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip
2010,12489,Dan Williams,R,Rep,HD-005,2010.0,0.0,ALPERSON-DAN-WILLIAMS,AL-2010-house-5-R-DAN-WILLIAMS,DAN WILLIAMS,R,house,5.0,exact_name_candidate,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip
2010,12489,Dan Williams,R,Rep,HD-005,2014.0,4.0,ALPERSON-DAN-WILLIAMS,AL-2014-house-5-R-DAN-WILLIAMS,Dan Williams,R,house,5.0,exact_name_candidate,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip
2010,12490,Paul Lee,R,Rep,HD-086,2010.0,0.0,ALPERSON-PAUL-LEE,AL-2010-house-86-R-PAUL-LEE,PAUL LEE,R,house,86.0,exact_name_candidate,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip
2010,12492,Greg Reed,R,Sen,SD-005,2010.0,0.0,ALPERSON-GREG-REED,AL-2010-senate-5-R-GREG-REED,GREG REED,R,senate,5.0,exact_name_candidate,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip
2010,12492,Greg Reed,R,Sen,SD-005,2014.0,4.0,ALPERSON-GREG-REED,AL-2014-senate-5-R-GREG-REED,Greg Reed,R,senate,5.0,exact_name_candidate,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip
2010,12493,Shadrack McGill,R,Sen,SD-008,2010.0,0.0,ALPERSON-SHADRACK-MCGILL,AL-2010-senate-8-R-SHADRACK-MCGILL,SHADRACK McGILL,R,senate,8.0,exact_name_candidate,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip
2010,12495,Dick Brewbaker,R,Sen,SD-025,,,,,,,,,unmatched_or_out_of_window,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip
2010,12496,Paul Bussman,R,Sen,SD-004,2010.0,0.0,ALPERSON-PAUL-BUSSMAN,AL-2010-senate-4-R-PAUL-BUSSMAN,PAUL BUSSMAN,R,senate,4.0,exact_name_candidate,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip
2010,12496,Paul Bussman,R,Sen,SD-004,2014.0,4.0,ALPERSON-PAUL-BUSSMAN,AL-2014-senate-4-R-PAUL-BUSSMAN,Paul Bussman,R,senate,4.0,exact_name_candidate,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip
2010,12497,Bill Holtzclaw,R,Sen,SD-002,2010.0,0.0,ALPERSON-BILL-HOLTZCLAW,AL-2010-senate-2-R-BILL-HOLTZCLAW,BILL HOLTZCLAW,R,senate,2.0,exact_name_candidate,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip
2010,12497,Bill Holtzclaw,R,Sen,SD-002,2014.0,4.0,ALPERSON-BILL-HOLTZCLAW,AL-2014-senate-2-R-BILL-HOLTZCLAW,Bill Holtzclaw,R,senate,2.0,exact_name_candidate,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip
2010,12498,Phillip Williams,R,Sen,SD-010,,,,,,,,,unmatched_or_out_of_window,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip
2010,12499,Clay Scofield,R,Sen,SD-009,2010.0,0.0,ALPERSON-CLAY-SCOFIELD,AL-2010-senate-9-R-CLAY-SCOFIELD,CLAY SCOFIELD,R,senate,9.0,exact_name_candidate,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip
2010,12499,Clay Scofield,R,Sen,SD-009,2014.0,4.0,ALPERSON-CLAY-SCOFIELD,AL-2014-senate-9-R-CLAY-SCOFIELD,Clay Scofield,R,senate,9.0,exact_name_candidate,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip
2010,12499,Clay Scofield,R,Sen,SD-009,2018.0,8.0,ALPERSON-CLAY-SCOFIELD,AL-2018-senate-9-R-CLAY-SCOFIELD,Clay Scofield                         ,R,senate,9.0,exact_name_candidate,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip
2010,12500,April Weaver,R,Rep,HD-049,2010.0,0.0,ALPERSON-APRIL-WEAVER,AL-2010-house-49-R-APRIL-WEAVER,APRIL WEAVER,R,house,49.0,exact_name_candidate,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip
2010,12500,April Weaver,R,Rep,HD-049,2014.0,4.0,ALPERSON-APRIL-WEAVER,AL-2014-house-49-R-APRIL-WEAVER,April Weaver,R,house,49.0,exact_name_candidate,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip
2010,12500,April Weaver,R,Rep,HD-049,2018.0,8.0,ALPERSON-APRIL-WEAVER,AL-2018-house-49-R-APRIL-WEAVER,April Weaver                          ,R,house,49.0,exact_name_candidate,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip
