session_year,chamber,match_status,distinct_journal_names
1998,house,ambiguous_active_surname,2
1998,house,surname_plus_initial,16
1998,house,unique_active_surname,85
1998,house,unmatched,107
1998,senate,unique_active_surname,41
1998,senate,unmatched,17
1999,house,ambiguous_active_surname,2
1999,house,surname_plus_initial,15
1999,house,unique_active_surname,87
1999,house,unmatched,120
1999,senate,surname_plus_initial,4
1999,senate,unique_active_surname,44
1999,senate,unmatched,6
2000,house,surname_plus_initial,15
2000,house,unique_active_surname,87
2000,house,unmatched,119
2001,house,surname_plus_initial,17
2001,house,unique_active_surname,87
2001,house,unmatched,47
2001,senate,surname_plus_initial,4
2001,senate,unique_active_surname,56
2001,senate,unmatched,7
2002,house,surname_plus_initial,17
2002,house,unique_active_surname,87
2002,house,unmatched,8
2002,senate,surname_plus_initial,3
2002,senate,unique_active_surname,52
2002,senate,unmatched,11
2003,house,surname_plus_initial,12
2003,house,unique_active_surname,90
2003,house,unmatched,7
2003,senate,surname_plus_initial,4
2003,senate,unique_active_surname,55
2003,senate,unmatched,13
2004,house,ambiguous_active_surname,1
2004,house,surname_plus_initial,10
2004,house,unique_active_surname,90
2004,house,unmatched,15
2004,senate,surname_plus_initial,4
2004,senate,unique_active_surname,53
2004,senate,unmatched,1
2005,house,surname_plus_initial,10
2005,house,unique_active_surname,91
2005,house,unmatched,4
2005,senate,surname_plus_initial,3
2005,senate,unique_active_surname,48
2005,senate,unmatched,1
2006,house,surname_plus_initial,10
2006,house,unique_active_surname,89
2006,house,unmatched,9
2006,senate,surname_plus_initial,2
2006,senate,unique_active_surname,54
2006,senate,unmatched,1
2007,house,surname_plus_initial,10
2007,house,unique_active_surname,93
2007,house,unmatched,6
2007,senate,surname_plus_initial,3
2007,senate,unique_active_surname,49
2007,senate,unmatched,4
2008,house,surname_plus_initial,10
2008,house,unique_active_surname,93
2008,house,unmatched,3
2008,senate,surname_plus_initial,2
2008,senate,unique_active_surname,54
2008,senate,unmatched,25
2009,house,surname_plus_initial,10
2009,house,unique_active_surname,94
2009,house,unmatched,3
2009,senate,surname_plus_initial,3
2009,senate,unique_active_surname,54
2009,senate,unmatched,9
