act_year,source_observations,unique_acts,canonical_acts,measure_linked,titled,identity_conflicts
1986,751,747,746,748,414,2
1987,832,824,820,829,309,8
1988,1000,996,995,995,391,2
1989,1000,999,999,996,437,0
1990,772,767,763,769,330,8
1991,818,815,814,809,320,3
1992,716,711,710,710,343,4
1993,920,916,915,918,425,2
1994,820,819,819,814,394,0
1995,781,777,776,777,305,2
1996,874,873,873,867,401,0
1997,939,938,938,931,460,0
1998,664,664,664,654,296,0
