roll_call_id,bill_id,session_year,vote_date,chamber,vote_description,yea,nay,not_voting,absent,total,passed,url,state_link,source_archive,source_member
174239,415374,2012,2012-03-19,senate,Beason motion to Adopt,33,0,0,2,35,1,,,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/vote/174239.json
174261,415389,2012,2012-03-19,senate,Beason motion to Adopt,23,11,0,1,35,1,,,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/vote/174261.json
174262,415391,2012,2012-03-19,senate,Beason motion to Adopt,33,0,0,2,35,1,,,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/vote/174262.json
174269,415405,2012,2012-03-19,senate,Beason motion to Table,23,11,0,1,35,1,,,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/vote/174269.json
174270,415405,2012,2012-03-19,senate,Beason motion to Adopt,23,11,0,1,35,1,,,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/vote/174270.json
174369,415570,2012,2012-03-19,senate,Motion to Adopt,34,1,0,0,35,1,,,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/vote/174369.json
174370,415570,2012,2012-03-19,senate,Motion to Adopt,33,2,0,0,35,1,,,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/vote/174370.json
174371,415570,2012,2012-03-19,senate,Motion to Read a Third Time and Pass,35,0,0,0,35,1,,,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/vote/174371.json
174372,415570,2012,2012-03-18,house,Motion to Adopt,94,0,0,11,105,1,,,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/vote/174372.json
174373,415570,2012,2012-03-18,house,Motion to Adopt,93,1,1,10,105,1,,,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/vote/174373.json
174374,415570,2012,2012-03-18,house,Motion to Adopt,93,0,1,11,105,1,,,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/vote/174374.json
174375,415570,2012,2012-03-18,house,Motion to Adopt,95,0,0,10,105,1,,,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/vote/174375.json
174376,415570,2012,2012-03-18,house,Motion to Adopt,98,0,1,6,105,1,,,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/vote/174376.json
174377,415570,2012,2012-03-18,house,Motion to Adopt,98,0,0,7,105,1,,,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/vote/174377.json
174378,415570,2012,2012-03-18,house,Motion to Adopt,98,0,0,7,105,1,,,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/vote/174378.json
174379,415570,2012,2012-03-18,house,Motion to Adopt,93,0,1,11,105,1,,,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/vote/174379.json
174380,415570,2012,2012-03-18,house,Motion to Adopt,98,0,2,5,105,1,,,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/vote/174380.json
174381,415570,2012,2012-03-18,house,Motion to Adopt,98,0,0,7,105,1,,,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/vote/174381.json
174382,415570,2012,2012-03-18,house,Motion to Adopt,98,0,1,6,105,1,,,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/vote/174382.json
174383,415570,2012,2012-03-18,house,Motion to Adopt,99,0,0,6,105,1,,,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/vote/174383.json
174384,415570,2012,2012-03-18,house,Motion to Adopt,102,0,0,3,105,1,,,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/vote/174384.json
174385,415570,2012,2012-03-18,house,Motion to Adopt,99,0,0,6,105,1,,,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/vote/174385.json
174386,415570,2012,2012-03-18,house,Motion to Adopt,99,0,0,6,105,1,,,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/vote/174386.json
174387,415570,2012,2012-03-18,house,Motion to Adopt,98,0,0,7,105,1,,,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/vote/174387.json
174388,415570,2012,2012-03-18,house,Motion to Read a Third Time and Pass,102,0,0,3,105,1,,,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/vote/174388.json
174389,415570,2012,2012-03-19,senate,Marsh motion to Non Concur and Appoint Conference Committee,31,0,0,4,35,1,,,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/vote/174389.json
174390,415570,2012,2012-03-18,house,McClendon motion to Accede,101,0,0,4,105,1,,,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/vote/174390.json
174391,415570,2012,2012-03-19,senate,Marsh motion to Concur In and Adopt,31,2,0,2,35,1,,,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/vote/174391.json
