session,session_year,asset,local_path,sha256,pages,text_characters,rollcall_anchors
2005_RegularSession,2005,2005RegularSession_Day18,data\raw\alabama_legislature\house_journals\2005_RegularSession\Volume2_2005RegularSession\2005RegularSession_Day18.pdf,2e1fb4604195b16765e4ce3158d074d913f18d3180581918e28bb1be7e2ca581,218,491101,64
2005_RegularSession,2005,2005RegularSession_Day19,data\raw\alabama_legislature\house_journals\2005_RegularSession\Volume2_2005RegularSession\2005RegularSession_Day19.pdf,ba354a3e75bc139e6c96e7520dae606198921313f0cecb6aaa3afa38be90ca19,88,199657,53
2005_RegularSession,2005,2005RegularSession_Day20,data\raw\alabama_legislature\house_journals\2005_RegularSession\Volume2_2005RegularSession\2005RegularSession_Day20.pdf,112d3b27ad50989710b24f6371a7422f000576a7e499f49068f313ebba545b19,84,195709,54
2005_RegularSession,2005,2005RegularSession_Day21,data\raw\alabama_legislature\house_journals\2005_RegularSession\Volume2_2005RegularSession\2005RegularSession_Day21.pdf,90099033bc3fbfa14530c0760d0525a3b70a261e500348d50a4bbd798e291b6c,123,290358,29
2005_RegularSession,2005,2005RegularSession_Day22,data\raw\alabama_legislature\house_journals\2005_RegularSession\Volume2_2005RegularSession\2005RegularSession_Day22.pdf,41f0aec7e9faf3e029c22e8295fcab12f8c71b49c206e3863f620cc2050d6c61,1,154,0
2005_RegularSession,2005,2005RegularSession_Day23,data\raw\alabama_legislature\house_journals\2005_RegularSession\Volume2_2005RegularSession\2005RegularSession_Day23.pdf,9cd7cb9cc86dcc74ce331e1267b0b4956bc9018927cd6c9966ec907ef947a59b,88,189825,46
2005_RegularSession,2005,2005RegularSession_Day24,data\raw\alabama_legislature\house_journals\2005_RegularSession\Volume2_2005RegularSession\2005RegularSession_Day24.pdf,88e97166e52c67fb5a01585549d71d24dea4c73173d0c54a5f9cafd3f03dec17,50,108336,29
2005_RegularSession,2005,2005RegularSession_Day25,data\raw\alabama_legislature\house_journals\2005_RegularSession\Volume2_2005RegularSession\2005RegularSession_Day25.pdf,6225939b68d96070b27e7082940ebd9cdc31269f50a1d578bc28b95b2d963e1b,122,270562,39
2005_RegularSession,2005,2005RegularSession_Day26,data\raw\alabama_legislature\house_journals\2005_RegularSession\Volume3_2005RegularSession\2005RegularSession_Day26.pdf,4343904fa1e6e716e100b6354ca88f1fd14beb6160e080615e775cd192625395,78,169652,45
2005_RegularSession,2005,2005RegularSession_Day27,data\raw\alabama_legislature\house_journals\2005_RegularSession\Volume3_2005RegularSession\2005RegularSession_Day27.pdf,feff1b31061d203d4104ee804400508059ba1e98e21b1079b5890a26a9c9a3e7,86,178175,60
2005_RegularSession,2005,2005RegularSession_Day28,data\raw\alabama_legislature\house_journals\2005_RegularSession\Volume3_2005RegularSession\2005RegularSession_Day28.pdf,ab4ea32247a84b08c3dad45331c0d4e6141e850a0486d73c8bf9cdced8f30f72,108,235586,43
2005_RegularSession,2005,2005RegularSession_Day29,data\raw\alabama_legislature\house_journals\2005_RegularSession\Volume3_2005RegularSession\2005RegularSession_Day29.pdf,171cd8c264ed47b9e282f569d6cfa47fc19e7fdf33f463200cc0f002deada6f4,158,356671,16
2005_RegularSession,2005,2005RegularSession_Day30,data\raw\alabama_legislature\house_journals\2005_RegularSession\Volume3_2005RegularSession\2005RegularSession_Day30.pdf,dceecf6356ddf49c12743248009e8f190ee3cf4752f43255a8885e18e7b11a57,98,203059,31
2006_RegularSession,2006,2006RegularSession_Day1,data\raw\alabama_legislature\house_journals\2006_RegularSession\Volume1_2006RegularSession\2006RegularSession_Day1.pdf,cb19d6028225d521baa7811f7bccf1f2f6689e22b53474fbf0a7392162ed7f8a,100,230709,1
2006_RegularSession,2006,2006RegularSession_Day10,data\raw\alabama_legislature\house_journals\2006_RegularSession\Volume1_2006RegularSession\2006RegularSession_Day10.pdf,1a58449c5cc2e40a25834e3faf8c348f3da9eb47bb096df3c4f5d251f69f4b22,350,941213,49
2006_RegularSession,2006,2006RegularSession_Day2,data\raw\alabama_legislature\house_journals\2006_RegularSession\Volume1_2006RegularSession\2006RegularSession_Day2.pdf,76048359863f53457e84a6c8d2f6a3b335e5eea46f90b227f88cc3ccebda5529,44,101756,0
2006_RegularSession,2006,2006RegularSession_Day3,data\raw\alabama_legislature\house_journals\2006_RegularSession\Volume1_2006RegularSession\2006RegularSession_Day3.pdf,16af5559127a72cd5c2e95f36ecf019695021eaf42ff414d68ba2447a105d6c1,82,173382,36
2006_RegularSession,2006,2006RegularSession_Day4,data\raw\alabama_legislature\house_journals\2006_RegularSession\Volume1_2006RegularSession\2006RegularSession_Day4.pdf,1e4eb5c56d60a5415ff2642b2f3e4300cb1f66366d6583333c7932852afa00d7,94,210871,40
2006_RegularSession,2006,2006RegularSession_Day5,data\raw\alabama_legislature\house_journals\2006_RegularSession\Volume1_2006RegularSession\2006RegularSession_Day5.pdf,c8b347a3d94f4fbef84eaf45cfa60571e71fb5a826af45e15ee181fe419f4bc1,56,117370,25
2006_RegularSession,2006,2006RegularSession_Day6,data\raw\alabama_legislature\house_journals\2006_RegularSession\Volume1_2006RegularSession\2006RegularSession_Day6.pdf,9895a7500f48c31ac5c664cb8e711df0845e43f55d7b158ef9ef5f80ac47d0f6,72,164139,27
2006_RegularSession,2006,2006RegularSession_Day7,data\raw\alabama_legislature\house_journals\2006_RegularSession\Volume1_2006RegularSession\2006RegularSession_Day7.pdf,0b3f97f7c76f17855c5275e869b8539fa973be4f86bc79b3f7a5f66559c1cca0,48,92683,15
2006_RegularSession,2006,2006RegularSession_Day8,data\raw\alabama_legislature\house_journals\2006_RegularSession\Volume1_2006RegularSession\2006RegularSession_Day8.pdf,e5d3c7688162e9e4f98eb494fae67b935c449a1c5d690f8ad8825d8760c33f2a,124,296868,51
2006_RegularSession,2006,2006RegularSession_Day9,data\raw\alabama_legislature\house_journals\2006_RegularSession\Volume1_2006RegularSession\2006RegularSession_Day9.pdf,47ce43fee2cc59bd728c0ccd6896eb0ece4a47598018297c19ae0e4416e98ef4,74,151456,33
