roll_call_id,bill_id,session_year,vote_date,chamber,vote_description,yea,nay,not_voting,absent,total,passed,url,state_link,source_archive,source_member,source_file_id,bill_number,bill_type,title,description,cycle,recorded_yea_nay,minority_count,minority_share,eligible_ideal_point,reported_total_matches
44147,298186,2011,2011-03-10,senate,Beasley motion to Adopt,24,7,0,4,35,1,,,AL_2011-2011_Regular_Session_JSON_20110609_8630dd6dd02598534d1c350c45095228.zip,AL/2011-2011_Regular_Session/vote/44147.json,SRC-F284B331C85755647924,SR39,SR,"Senate, Special Order Calendar","Senate, Special Order Calendar",2012,31,7,0.22580645161290322,False,1
44222,291778,2011,2011-03-09,house,Wallace motion to Table,59,32,0,13,104,1,,,AL_2011-2011_Regular_Session_JSON_20110609_8630dd6dd02598534d1c350c45095228.zip,AL/2011-2011_Regular_Session/vote/44222.json,SRC-F284B331C85755647924,HB64,HB,"Elections, right of individuals to vote by secret ballot for public office, referenda, employee representation, guaranteed, Amendment 579 (Section 177, Recompiled Constitution of Alabama of 1901, as amended), am'd., const. amend.","Elections, right of individuals to vote by secret ballot for public office, referenda, employee representation, guaranteed, Amendment 579 (Section 177, Recompiled Constitution of Alabama of 1901, as amended), am'd., const. amend.",2012,91,32,0.3516483516483517,True,1
44223,291778,2011,2011-03-09,house,Motion to Read a Third Time and Pass,63,31,0,10,104,1,,,AL_2011-2011_Regular_Session_JSON_20110609_8630dd6dd02598534d1c350c45095228.zip,AL/2011-2011_Regular_Session/vote/44223.json,SRC-F284B331C85755647924,HB64,HB,"Elections, right of individuals to vote by secret ballot for public office, referenda, employee representation, guaranteed, Amendment 579 (Section 177, Recompiled Constitution of Alabama of 1901, as amended), am'd., const. amend.","Elections, right of individuals to vote by secret ballot for public office, referenda, employee representation, guaranteed, Amendment 579 (Section 177, Recompiled Constitution of Alabama of 1901, as amended), am'd., const. amend.",2012,94,31,0.32978723404255317,True,1
44225,291794,2011,2011-03-08,house,Motion to Read a Third Time and Pass,48,0,20,36,104,1,,,AL_2011-2011_Regular_Session_JSON_20110609_8630dd6dd02598534d1c350c45095228.zip,AL/2011-2011_Regular_Session/vote/44225.json,SRC-F284B331C85755647924,HB72,HB,"Daleville, alcoholic beverages, sale of draft or keg beer or malt beverages authorized, referendum","Daleville, alcoholic beverages, sale of draft or keg beer or malt beverages authorized, referendum",2012,48,0,0.0,False,1
44230,291891,2011,2011-03-09,senate,Motion to Adopt,31,0,0,4,35,1,,,AL_2011-2011_Regular_Session_JSON_20110609_8630dd6dd02598534d1c350c45095228.zip,AL/2011-2011_Regular_Session/vote/44230.json,SRC-F284B331C85755647924,SB137,SB,"Motor vehicles, liability insurance, verification prior to registration, online insurance verification system established, Revenue Department and law enforcement to electronically verify, Secs. 32-7A-9, 32-7A-10, 32-7A-11, 32-7A-12, 32-7A-13, 32-7A-14, 32-7A-15, 32-7A-16, 32-7A-17, 32-7A-18, 32-7A-19, 32-7A-20, 32-7A-21, 32-7A-22, 32-7A-23, 32-7A-24, 32-7A-25, 32-7B-1, 32-7B-2, 32-7B-3, 32-7B-4, 32-7B-5, 32-7B-6 added; Secs. 32-7-19, 32-7-20, 32-7-22, 32-7-24, 32-7A-2, 32-7A-3, 32-7A-4, 32-7A-5, 32-7A-6, 32-7A-7, 32-7A-8 am'd.; Secs. 32-7A-9, 32-7A-10, 32-7A-11, 32-7A-12, 32-7A-13, 32-7A-14, 32-7A-15, 32-7A-16, 32-7A-17, 32-7A-18, 32-7A-19, 32-7A-20, 32-7A-21, 32-7A-22 repealed and reenacted (2011-21169)","Motor vehicles, liability insurance, verification prior to registration, online insurance verification system established, Revenue Department and law enforcement to electronically verify, Secs. 32-7A-9, 32-7A-10, 32-7A-11, 32-7A-12, 32-7A-13, 32-7A-14, 32-7A-15, 32-7A-16, 32-7A-17, 32-7A-18, 32-7A-19, 32-7A-20, 32-7A-21, 32-7A-22, 32-7A-23, 32-7A-24, 32-7A-25, 32-7B-1, 32-7B-2, 32-7B-3, 32-7B-4, 32-7B-5, 32-7B-6 added; Secs. 32-7-19, 32-7-20, 32-7-22, 32-7-24, 32-7A-2, 32-7A-3, 32-7A-4, 32-7A-5, 32-7A-6, 32-7A-7, 32-7A-8 am'd.; Secs. 32-7A-9, 32-7A-10, 32-7A-11, 32-7A-12, 32-7A-13, 32-7A-14, 32-7A-15, 32-7A-16, 32-7A-17, 32-7A-18, 32-7A-19, 32-7A-20, 32-7A-21, 32-7A-22 repealed and reenacted (2011-21169)",2012,31,0,0.0,False,1
44231,291891,2011,2011-03-09,senate,Motion to Read a Third Time and Pass,35,0,0,0,35,1,,,AL_2011-2011_Regular_Session_JSON_20110609_8630dd6dd02598534d1c350c45095228.zip,AL/2011-2011_Regular_Session/vote/44231.json,SRC-F284B331C85755647924,SB137,SB,"Motor vehicles, liability insurance, verification prior to registration, online insurance verification system established, Revenue Department and law enforcement to electronically verify, Secs. 32-7A-9, 32-7A-10, 32-7A-11, 32-7A-12, 32-7A-13, 32-7A-14, 32-7A-15, 32-7A-16, 32-7A-17, 32-7A-18, 32-7A-19, 32-7A-20, 32-7A-21, 32-7A-22, 32-7A-23, 32-7A-24, 32-7A-25, 32-7B-1, 32-7B-2, 32-7B-3, 32-7B-4, 32-7B-5, 32-7B-6 added; Secs. 32-7-19, 32-7-20, 32-7-22, 32-7-24, 32-7A-2, 32-7A-3, 32-7A-4, 32-7A-5, 32-7A-6, 32-7A-7, 32-7A-8 am'd.; Secs. 32-7A-9, 32-7A-10, 32-7A-11, 32-7A-12, 32-7A-13, 32-7A-14, 32-7A-15, 32-7A-16, 32-7A-17, 32-7A-18, 32-7A-19, 32-7A-20, 32-7A-21, 32-7A-22 repealed and reenacted (2011-21169)","Motor vehicles, liability insurance, verification prior to registration, online insurance verification system established, Revenue Department and law enforcement to electronically verify, Secs. 32-7A-9, 32-7A-10, 32-7A-11, 32-7A-12, 32-7A-13, 32-7A-14, 32-7A-15, 32-7A-16, 32-7A-17, 32-7A-18, 32-7A-19, 32-7A-20, 32-7A-21, 32-7A-22, 32-7A-23, 32-7A-24, 32-7A-25, 32-7B-1, 32-7B-2, 32-7B-3, 32-7B-4, 32-7B-5, 32-7B-6 added; Secs. 32-7-19, 32-7-20, 32-7-22, 32-7-24, 32-7A-2, 32-7A-3, 32-7A-4, 32-7A-5, 32-7A-6, 32-7A-7, 32-7A-8 am'd.; Secs. 32-7A-9, 32-7A-10, 32-7A-11, 32-7A-12, 32-7A-13, 32-7A-14, 32-7A-15, 32-7A-16, 32-7A-17, 32-7A-18, 32-7A-19, 32-7A-20, 32-7A-21, 32-7A-22 repealed and reenacted (2011-21169)",2012,35,0,0.0,False,1
44238,291994,2011,2011-03-09,senate,Motion to Adopt,35,0,0,0,35,1,,,AL_2011-2011_Regular_Session_JSON_20110609_8630dd6dd02598534d1c350c45095228.zip,AL/2011-2011_Regular_Session/vote/44238.json,SRC-F284B331C85755647924,SB22,SB,"Municipalities, municipal ordinances, fines in certain cases designated and recodified, Sec. 11-45-9 am'd.; Sec. 13A-5-12.1 repealed","Municipalities, municipal ordinances, fines in certain cases designated and recodified, Sec. 11-45-9 am'd.; Sec. 13A-5-12.1 repealed",2012,35,0,0.0,False,1
44239,291994,2011,2011-03-09,senate,Motion to Read a Third Time and Pass,35,0,0,0,35,1,,,AL_2011-2011_Regular_Session_JSON_20110609_8630dd6dd02598534d1c350c45095228.zip,AL/2011-2011_Regular_Session/vote/44239.json,SRC-F284B331C85755647924,SB22,SB,"Municipalities, municipal ordinances, fines in certain cases designated and recodified, Sec. 11-45-9 am'd.; Sec. 13A-5-12.1 repealed","Municipalities, municipal ordinances, fines in certain cases designated and recodified, Sec. 11-45-9 am'd.; Sec. 13A-5-12.1 repealed",2012,35,0,0.0,False,1
44242,292048,2011,2011-03-08,senate,Marsh motion to Table,25,9,0,1,35,1,,,AL_2011-2011_Regular_Session_JSON_20110609_8630dd6dd02598534d1c350c45095228.zip,AL/2011-2011_Regular_Session/vote/44242.json,SRC-F284B331C85755647924,SB72,SB,"Retirement, Deferred Retirement Option Plan, new participation prohibited, limits on interest paid on DROP accounts, Secs. 16-25-150, 36-27-170 am'd.","Retirement, Deferred Retirement Option Plan, new participation prohibited, limits on interest paid on DROP accounts, Secs. 16-25-150, 36-27-170 am'd.",2012,34,9,0.2647058823529412,True,1
44243,292048,2011,2011-03-08,senate,Marsh motion to Table,19,16,0,0,35,1,,,AL_2011-2011_Regular_Session_JSON_20110609_8630dd6dd02598534d1c350c45095228.zip,AL/2011-2011_Regular_Session/vote/44243.json,SRC-F284B331C85755647924,SB72,SB,"Retirement, Deferred Retirement Option Plan, new participation prohibited, limits on interest paid on DROP accounts, Secs. 16-25-150, 36-27-170 am'd.","Retirement, Deferred Retirement Option Plan, new participation prohibited, limits on interest paid on DROP accounts, Secs. 16-25-150, 36-27-170 am'd.",2012,35,16,0.45714285714285713,True,1
