session,session_year,asset,local_path,sha256,pages,text_characters,rollcall_anchors,final_passage_events
2007_RegularSession,2007,2007RegularSession_Day27,data\raw\alabama_legislature\senate_journals\2007_RegularSession\2007RegularSession_Day27.pdf,556096c7ff1c580da3147128f9851a442caf29a5b5370348349ec55d3452138f,279,449755,73,28
2007_RegularSession,2007,2007RegularSession_Day28PartA,data\raw\alabama_legislature\senate_journals\2007_RegularSession\2007RegularSession_Day28PartA.pdf,6b5840bf76238b9a7ee2d84d1eb3df0be26aa90610b1eb2bc50f9e6e5cec8e3f,104,173063,114,41
2007_RegularSession,2007,2007RegularSession_Day28PartB,data\raw\alabama_legislature\senate_journals\2007_RegularSession\2007RegularSession_Day28PartB.pdf,549741ec20c50dddce7133c2a02c7e40b5804acff93f9790762c03723452af65,272,542935,180,75
2007_RegularSession,2007,2007RegularSession_Day29,data\raw\alabama_legislature\senate_journals\2007_RegularSession\2007RegularSession_Day29.pdf,2864168980d66595f4d6a8f548b1bb1af61af856bfafdffdfe988275dd996b83,185,339068,145,93
2007_RegularSession,2007,2007RegularSession_Day30,data\raw\alabama_legislature\senate_journals\2007_RegularSession\2007RegularSession_Day30.pdf,35d204aaac792886cc8cdc9c6cf6e0265862ecf361220e3d6cda78db68055409,167,288410,72,36
2008_1stExtraordinarySession,2008,20081stExtraordinarySession_Day01,data\raw\alabama_legislature\senate_journals\2008_1stExtraordinarySession\20081stExtraordinarySession_Day01.pdf,fd9198c59f616395e60522445865edced441c2aabca47baeabf3e64af93f6a53,51,98588,0,0
2008_1stExtraordinarySession,2008,20081stExtraordinarySession_Day02,data\raw\alabama_legislature\senate_journals\2008_1stExtraordinarySession\20081stExtraordinarySession_Day02.pdf,832dabef4897dfba898b70a2912403f67b70927c1fc8f8649f1c69763ccb3f17,40,84242,1,0
2008_1stExtraordinarySession,2008,20081stExtraordinarySession_Day03,data\raw\alabama_legislature\senate_journals\2008_1stExtraordinarySession\20081stExtraordinarySession_Day03.pdf,f8f4cb463650279b9e35b14922d4e88fc4312c4f9223352a74eb3d4841167841,165,287750,50,35
2008_1stExtraordinarySession,2008,20081stExtraordinarySession_Day04,data\raw\alabama_legislature\senate_journals\2008_1stExtraordinarySession\20081stExtraordinarySession_Day04.pdf,560c30791626242ffabeb3a72984dbbdc2da47ae3d3c71305e615de7385c15cc,40,68210,44,0
2008_1stExtraordinarySession,2008,20081stExtraordinarySession_Day05,data\raw\alabama_legislature\senate_journals\2008_1stExtraordinarySession\20081stExtraordinarySession_Day05.pdf,1c40abae5032621a17b75c85712d5df09aca231fa52cf94e7cb304661ef0a914,55,90960,16,8
2008_RegularSession,2008,2008RegularSession_Day01,data\raw\alabama_legislature\senate_journals\2008_RegularSession\2008RegularSession_Day01.pdf,af3b0620d59394dac4aff60c65bcc1c4740d7067cfbd684c32628936e1026af5,116,194607,2,0
2008_RegularSession,2008,2008RegularSession_Day02,data\raw\alabama_legislature\senate_journals\2008_RegularSession\2008RegularSession_Day02.pdf,a8a4d0a51c5699053b97782aec60f15edd063d9dc0ca75dbf6974c2429081828,44,82972,1,0
2008_RegularSession,2008,2008RegularSession_Day03,data\raw\alabama_legislature\senate_journals\2008_RegularSession\2008RegularSession_Day03.pdf,3ca99a3a5a865582dbfa818f65fbd341b2345aca37a92f6f7b4c955b319d2176,63,113245,26,10
2008_RegularSession,2008,2008RegularSession_Day04,data\raw\alabama_legislature\senate_journals\2008_RegularSession\2008RegularSession_Day04.pdf,ee5759bb389adeba4bd99ebd90994c7da7d11696a48836e25f177c2b226e324e,33,58418,2,0
2008_RegularSession,2008,2008RegularSession_Day05,data\raw\alabama_legislature\senate_journals\2008_RegularSession\2008RegularSession_Day05.pdf,d8cf92729ea8e59f7b4b711d6ea0ca68f83015b176204ea8603c82bbff454d00,51,88692,3,1
2008_RegularSession,2008,2008RegularSession_Day06,data\raw\alabama_legislature\senate_journals\2008_RegularSession\2008RegularSession_Day06.pdf,08f81f43866b56e3ca69b314863a0196e9e612f77ef1d0315653de07cbf91b02,70,122251,14,1
2008_RegularSession,2008,2008RegularSession_Day07,data\raw\alabama_legislature\senate_journals\2008_RegularSession\2008RegularSession_Day07.pdf,adfd5ea442576b1868f8dace7b9ba7045c86429c9958c457b803c84015ee5040,31,62924,1,0
2008_RegularSession,2008,2008RegularSession_Day08,data\raw\alabama_legislature\senate_journals\2008_RegularSession\2008RegularSession_Day08.pdf,393af4dc3ee37f17a221c7fd61863644ae4e103e30f00e0ef19881714eb7ed09,38,71130,18,1
2008_RegularSession,2008,2008RegularSession_Day09,data\raw\alabama_legislature\senate_journals\2008_RegularSession\2008RegularSession_Day09.pdf,f24f25c62f7a35885f538d16ddbd9ca98ff4324dfb6f15edd65ff88b87c5aef2,72,125079,18,9
2008_RegularSession,2008,2008RegularSession_Day10,data\raw\alabama_legislature\senate_journals\2008_RegularSession\2008RegularSession_Day10.pdf,b39eef67ba420ba050a31d714b21a869cfb32cd77a5660fa045633f563c284eb,51,80226,13,3
2008_RegularSession,2008,2008RegularSession_Day11,data\raw\alabama_legislature\senate_journals\2008_RegularSession\2008RegularSession_Day11.pdf,8985e8041e9b2b3f50febf71992dc2d3480f3e2cbaff40ceb4940a4a0add9f83,21,41374,10,2
