cycle,chamber,people_id,name,normalized_name,party,role,district,ideal_point,chamber_percentile,votes_used,possible_votes,participation_rate,caucus_median,distance_from_caucus_median,ideological_extremity,party_loyalty_rate,cross_party_voting_rate,parties_disagree_votes
2010,house,3354,John Knight,JOHN KNIGHT,D,Rep,HD-077,-0.7539835679606208,37.86407766990291,41,55,0.7454545454545455,-0.8598335690255061,0.10585000106488529,0.28336536595316697,0.8780487804878049,0.11764705882352941,17
2010,house,3355,Ronald Grantland,RONALD GRANTLAND,D,Rep,HD-009,-0.8598335690255061,27.184466019417474,44,55,0.8,-0.8598335690255061,0.0,0.38921536701805226,0.9318181818181818,0.0625,16
2010,house,3356,Tammy Irons,TAMMY IRONS,D,Rep,SD-001,-0.9763464831322409,13.592233009708737,48,55,0.8727272727272727,-0.8598335690255061,-0.11651291410673481,0.5057282811247871,0.9375,0.10526315789473684,19
2010,house,3357,Laura Hall,LAURA HALL,D,Rep,HD-019,-0.9453012945170297,17.475728155339805,37,55,0.6727272727272727,-0.8598335690255061,-0.0854677254915236,0.47468309250957585,0.8378378378378378,0.1111111111111111,18
2010,house,3358,Artis McCampbell,ARTIS MCCAMPBELL,D,Rep,HD-071,-0.7677297221309793,36.89320388349515,28,55,0.509090909090909,-0.8598335690255061,0.09210384689452678,0.2971115201235255,1.0,0.0,12
2010,house,3359,James Thomas,JAMES THOMAS,D,Rep,HD-069,-0.6588000942555315,43.689320388349515,40,55,0.7272727272727273,-0.8598335690255061,0.20103347476997457,0.1881818922480777,0.95,0.14285714285714285,14
2010,house,3360,Barbara Boyd,BARBARA BOYD,D,Rep,HD-032,-0.8165804944080391,33.980582524271846,43,55,0.7818181818181819,-0.8598335690255061,0.04325307461746697,0.3459622924005853,0.9767441860465116,0.0625,16
2010,house,3362,Jeff McLaughlin,JEFF MCLAUGHLIN,D,Rep,HD-027,-1.1140921648494404,2.912621359223301,46,55,0.8363636363636363,-0.8598335690255061,-0.2542585958239343,0.6434739628419865,0.8913043478260869,0.0,19
2010,house,3363,Terry Spicer,TERRY SPICER,D,Rep,HD-091,-0.7004824218588621,38.83495145631068,37,55,0.6727272727272727,-0.8598335690255061,0.159351147166644,0.22986421985140826,0.918918918918919,0.14285714285714285,14
2010,house,3364,Randy Hinshaw,RANDY HINSHAW,D,Rep,HD-021,-0.9682265705100217,15.53398058252427,46,55,0.8363636363636363,-0.8598335690255061,-0.10839300148451558,0.49760836850256784,1.0,0.0,16
2010,house,3365,Betty Graham,BETTY GRAHAM,D,Rep,HD-081,-0.8618062501064285,26.21359223300971,45,55,0.8181818181818182,-0.8598335690255061,-0.0019726810809224116,0.39118804809897467,0.9555555555555556,0.11764705882352941,17
2010,house,3366,Locy Baker,LOCY BAKER,D,Rep,HD-085,-0.8306558687835213,31.06796116504854,44,55,0.8,-0.8598335690255061,0.02917770024198485,0.3600376667760674,0.9090909090909091,0.15789473684210525,19
2010,house,3367,Yusuf Salaam,YUSUF SALAAM,D,Rep,HD-067,-0.6783096788809823,40.77669902912621,32,55,0.5818181818181818,-0.8598335690255061,0.18152389014452386,0.2076914768735284,1.0,0.0,10
2010,house,3368,Demetrius Newton,DEMETRIUS NEWTON,D,Rep,HD-053,-0.9553281334399281,16.50485436893204,44,55,0.8,-0.8598335690255061,-0.09549456441442195,0.4847099314324742,0.8636363636363636,0.06666666666666667,15
2010,house,3369,James Gordon,JAMES GORDON,D,Rep,HD-098,-0.8646505463229955,25.24271844660194,38,55,0.6909090909090909,-0.8598335690255061,-0.004816977297489422,0.3940323443155417,1.0,0.0,14
2010,house,3370,Pebblin Warren,PEBBLIN WARREN,D,Rep,HD-082,-0.8527278203078942,28.155339805825243,39,55,0.7090909090909091,-0.8598335690255061,0.007105748717611937,0.3821096183004403,0.9743589743589743,0.0,15
2010,house,3371,Ralph Howard,RALPH HOWARD,D,Rep,HD-072,-0.8342965786328671,30.097087378640776,39,55,0.7090909090909091,-0.8598335690255061,0.025536990392639014,0.36367837662541325,0.9743589743589743,0.06666666666666667,15
2010,house,3372,Thad McClammy,THAD MCCLAMMY,D,Rep,HD-076,-0.8775695349956069,24.271844660194176,39,55,0.7090909090909091,-0.8598335690255061,-0.017735965970100742,0.406951332988153,0.9487179487179487,0.0625,16
2010,house,3373,Earl Hilliard,EARL HILLIARD,D,Rep,HD-060,-1.1419951055903665,0.9708737864077669,43,55,0.7818181818181819,-0.8598335690255061,-0.2821615365648604,0.6713769035829127,1.0,0.0,19
2010,house,3374,Christopher England,CHRISTOPHER ENGLAND,D,Rep,HD-070,-0.8285825281066617,32.038834951456316,44,55,0.8,-0.8598335690255061,0.03125104091884445,0.3579643260992078,0.9090909090909091,0.0625,16
2010,house,3375,Oliver Robinson,OLIVER ROBINSON,D,Rep,HD-058,-0.5537077720620279,46.601941747572816,37,55,0.6727272727272727,-0.8598335690255061,0.3061257969634782,0.08308957005457407,0.972972972972973,0.09090909090909091,11
