terminal_status,rollcalls
excluded_frontier_insufficient_text,149
excluded_frontier_local_non_generalizable,977
excluded_frontier_mixed_no_scalar_direction,136
excluded_frontier_procedural,1446
excluded_frontier_symbolic,66
excluded_historical_budget_baseline,534
excluded_historical_conflicting_poles,10
excluded_historical_insufficient_text,114
excluded_historical_local,1572
excluded_historical_non_scalar,4349
excluded_historical_symbolic,24
excluded_procedural_or_ambiguous_motion,49305
mapped_frontier_policy_pole,1766
mapped_historical_frontier_policy_pole,256
