person_id,candidate,election_cycle,legiscan_people_id,bill_id,bill_number,session_year,session_name,amendment_id,date,chamber,title,description,adopted,issue,attributed_name,attribution_method,attribution_confidence,activity_timing,url,state_link,bill_url,bill_title,bill_description,subject_names,local_path,pages,sha256,text_status,local_text,text_characters
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,12542,978417,HB334,2017,Regular Session 2017,50016,2017-04-11,H,House Bracy Amendment Offered,House Bracy Amendment Offered,0,criminal_justice,Bracy,reviewed_identity_surname_in_amendment_title,high,post_election,https://legiscan.com/AL/amendment/HB334/id/50016,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2017RS/PrintFiles/185120-1.pdf,https://legiscan.com/AL/bill/HB334/2017,"Statement of economic interest, personal information of law enforcement officers included on form exempt from public disclosure, Secs. 36-25-14, 41-13-7 am'd.","Statement of economic interest, personal information of law enforcement officers included on form exempt from public disclosure, Secs. 36-25-14, 41-13-7 am'd.",Law Enforcement Officers,data\raw\alabama_legislature\amendments\2017\1254\978417\50016.pdf,1,6f156ffa6a9580c805bbf4f703231085771fdcdca6536de435b10dbfa42c5b01,extracted,data\processed\legislative\focal_amendment_text\50016.txt,208
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,12542,1047154,SB50,2018,Regular Session 2018,61675,2018-02-27,H,House Bracy Amendment Offered,House Bracy Amendment Offered,0,criminal_justice,Bracy,reviewed_identity_surname_in_amendment_title,high,post_election,https://legiscan.com/AL/amendment/SB50/id/61675,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2018RS/PrintFiles/192381-1.pdf,https://legiscan.com/AL/bill/SB50/2018,"Vessels, Alabama State Law Enforcement Agency, procedure for seizure and disposal of abandoned and derelict vessels, Alabama Abandoned and Derelict Vessel Fund, created, crimes and offenses, crime of refusing or failing to remove a derelict vessel from waters of this state, created","Vessels, Alabama State Law Enforcement Agency, procedure for seizure and disposal of abandoned and derelict vessels, Alabama Abandoned and Derelict Vessel Fund, created, crimes and offenses, crime of refusing or failing to remove a derelict vessel from waters of this state, created",Vessels,data\raw\alabama_legislature\amendments\2018\1468\1047154\61675.pdf,1,9baf6f9bee24e728e44fad472796894a56a932cce6014227c5ea72f9e8f703f1,extracted,data\processed\legislative\focal_amendment_text\61675.txt,258
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,12542,1250323,HB380,2019,Regular Session 2019,76059,2019-05-09,H,House Bracy Amendment Offered,House Bracy Amendment Offered,0,criminal_justice,Bracy,reviewed_identity_surname_in_amendment_title,high,post_election,https://legiscan.com/AL/amendment/HB380/id/76059,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2019RS/PrintFiles/201065-1.pdf,https://legiscan.com/AL/bill/HB380/2019,"Pardons and Paroles Board, Governor, appointment of bd. members, nominations, appointment of Director of Pardons and Paroles, responsibilities, criteria for board to determine consideration for parole, procedures for deviations, AG to reveiw, Secs. 15-22-20, 15-22-21, 15-22-26, 15-22-28, 15-22-36, 15-22-37 am'd.","Pardons and Paroles Board, Governor, appointment of bd. members, nominations, appointment of Director of Pardons and Paroles, responsibilities, criteria for board to determine consideration for parole, procedures for deviations, AG to reveiw, Secs. 15-22-20, 15-22-21, 15-22-26, 15-22-28, 15-22-36, 15-22-37 am'd.",Corrections Department,data\raw\alabama_legislature\amendments\2019\1621\1250323\76059.pdf,1,ac15751143c6965ffa0997347642bc1d102f7f135da102a36745fa766cc341eb,extracted,data\processed\legislative\focal_amendment_text\76059.txt,159
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,12542,1241693,HB209,2019,Regular Session 2019,76367,2019-05-15,H,House Bracy Amendment Offered,House Bracy Amendment Offered,0,unclassified,Bracy,reviewed_identity_surname_in_amendment_title,high,post_election,https://legiscan.com/AL/amendment/HB209/id/76367,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2019RS/PrintFiles/199587-8.pdf,https://legiscan.com/AL/bill/HB209/2019,"Education, school resource officers, qualifications further provided for, Sec. 16-1-44.1 am'd.","Education, school resource officers, qualifications further provided for, Sec. 16-1-44.1 am'd.",Education,data\raw\alabama_legislature\amendments\2019\1621\1241693\76367.pdf,1,26eb5af552fa9a9cfc03c36c904be91ff9a02f9fcf17a215ac3e4adb5dbe74a0,extracted,data\processed\legislative\focal_amendment_text\76367.txt,794
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,12542,1242473,SB154,2019,Regular Session 2019,77240,2019-05-29,H,House Bracy 1st Amendment Offered,House Bracy 1st Amendment Offered,0,infrastructure_energy,Bracy,reviewed_identity_surname_in_amendment_title,high,post_election,https://legiscan.com/AL/amendment/SB154/id/77240,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2019RS/PrintFiles/202241-1.pdf,https://legiscan.com/AL/bill/SB154/2019,"Toll roads and bridges, Toll Road, Bridge and Tunnel Authority, state and local tax exemptions further provided, Secs. 23-2-142, 23-2-153 am'd.","Toll roads and bridges, Toll Road, Bridge and Tunnel Authority, state and local tax exemptions further provided, Secs. 23-2-142, 23-2-153 am'd.",Toll Roads and Bridges,data\raw\alabama_legislature\amendments\2019\1621\1242473\77240.pdf,1,ef5c135157e8f885dbd513b98073ee66c8078785c42c0d3974199a755b52d97b,extracted,data\processed\legislative\focal_amendment_text\77240.txt,403
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,12542,1242473,SB154,2019,Regular Session 2019,77241,2019-05-29,H,House Bracy 2nd Amendment Offered,House Bracy 2nd Amendment Offered,0,infrastructure_energy,Bracy,reviewed_identity_surname_in_amendment_title,high,post_election,https://legiscan.com/AL/amendment/SB154/id/77241,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2019RS/PrintFiles/202252-1.pdf,https://legiscan.com/AL/bill/SB154/2019,"Toll roads and bridges, Toll Road, Bridge and Tunnel Authority, state and local tax exemptions further provided, Secs. 23-2-142, 23-2-153 am'd.","Toll roads and bridges, Toll Road, Bridge and Tunnel Authority, state and local tax exemptions further provided, Secs. 23-2-142, 23-2-153 am'd.",Toll Roads and Bridges,data\raw\alabama_legislature\amendments\2019\1621\1242473\77241.pdf,1,d9eef438c825c350bcec9e16f375b4706441e4df2a7b0209296cfb7d6405c1ab,extracted,data\processed\legislative\focal_amendment_text\77241.txt,488
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,12542,1384172,HB80,2021,Regular Session 2021,88714,2021-02-09,H,House Bracy Amendment Offered,House Bracy Amendment Offered,0,criminal_justice,Bracy,reviewed_identity_surname_in_amendment_title,high,post_election,https://legiscan.com/AL/amendment/HB80/id/88714,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2021RS/PrintFiles/210002-1.pdf,https://legiscan.com/AL/bill/HB80/2021,"Revenue Dept., law enforcement officers, subsistence pay, Sec. 36-21-2 am'd.","Revenue Dept., law enforcement officers, subsistence pay, Sec. 36-21-2 am'd.",Revenue Department,data\raw\alabama_legislature\amendments\2021\1756\1384172\88714.pdf,2,35bb222fae5dc5477224e7c8122ea31055ca794b795dc44f5d5affa38022cedf,extracted,data\processed\legislative\focal_amendment_text\88714.txt,675
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,12542,1489969,HB573,2021,Regular Session 2021,105030,2021-04-13,H,House Bracy Amendment Offered,House Bracy Amendment Offered,0,unclassified,Bracy,reviewed_identity_surname_in_amendment_title,high,post_election,https://legiscan.com/AL/amendment/HB573/id/105030,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2021RS/PrintFiles/213198-1.pdf,https://legiscan.com/AL/bill/HB573/2021,"State parks and histroical sites, bonding authority of the Alabama State Parks Enhancement Authority, improvement and maintenance of state parks historical sites under Ala. Historical Commission, Sec. 40-23-35 am'd.","State parks and histroical sites, bonding authority of the Alabama State Parks Enhancement Authority, improvement and maintenance of state parks historical sites under Ala. Historical Commission, Sec. 40-23-35 am'd.",State Parks,data\raw\alabama_legislature\amendments\2021\1756\1489969\105030.pdf,1,cd9204586cd19f306ca70e2943924bab6f3532cce60509fc5b063873579b66fd,extracted,data\processed\legislative\focal_amendment_text\105030.txt,616
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,12542,1463981,SB267,2021,Regular Session 2021,113266,2021-05-17,H,House Bracy Amendment Offered,House Bracy Amendment Offered,0,unclassified,Bracy,reviewed_identity_surname_in_amendment_title,high,post_election,https://legiscan.com/AL/amendment/SB267/id/113266,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2021RS/PrintFiles/214285-1.pdf,https://legiscan.com/AL/bill/SB267/2021,"Vaccine passports, prohibited, entities prohibited from requiring an individual to receive an immunization as a condition for receiving government benefits or services","Vaccine passports, prohibited, entities prohibited from requiring an individual to receive an immunization as a condition for receiving government benefits or services",Immunizations,data\raw\alabama_legislature\amendments\2021\1756\1463981\113266.pdf,1,f1f8ba7142cce32cc8cb4711757a0357e56d99722f09eb38c397a7cab8a864ae,extracted,data\processed\legislative\focal_amendment_text\113266.txt,608
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,12542,1426957,SB71,2021,Regular Session 2021,115898,2021-05-17,H,House Bracy Amendment Offered,House Bracy Amendment Offered,0,unclassified,Bracy,reviewed_identity_surname_in_amendment_title,high,post_election,https://legiscan.com/AL/amendment/SB71/id/115898,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2021RS/PrintFiles/214285-1.pdf,https://legiscan.com/AL/bill/SB71/2021,"ALEA, felony drug trafficking wiretapping, interception of wire, oral, or electronic communications, Attorney General to authorize to apply for court order for intercept and to apply for intercept orders, disclosure of recorded communications, penalties for violations, Secs. 20-2A-1 to 20-2A-15, inclusive, added; Sec. 15-5-40 am'd","ALEA, felony drug trafficking wiretapping, interception of wire, oral, or electronic communications, Attorney General to authorize to apply for court order for intercept and to apply for intercept orders, disclosure of recorded communications, penalties for violations, Secs. 20-2A-1 to 20-2A-15, inclusive, added; Sec. 15-5-40 am'd",Wiretapping,data\raw\alabama_legislature\amendments\2021\1756\1426957\115898.pdf,1,f1f8ba7142cce32cc8cb4711757a0357e56d99722f09eb38c397a7cab8a864ae,extracted,data\processed\legislative\focal_amendment_text\115898.txt,608
