source_archive,bytes,sha256,license,source_url
AL_2015-2015_Organizational_Session_JSON_20150319_db9b2296a419739a561472b059c8fd3e.zip,38358,e76e1ee1517e11568e27dd5ac51ada7e486a1cf08f53db4e30bab6eeb375ff38,CC BY 4.0,https://legiscan.com/AL/datasets
AL_2015-2015_Regular_Session_JSON_20150604_3e60f84eb6c02669a3d22d98c47f1394.zip,3484985,88a75cca25831d5df1e8ac895d10b439ae876dad9ecc046b12e10831091d8ccf,CC BY 4.0,https://legiscan.com/AL/datasets
AL_2016-2016_1st_Special_Session_JSON_20160907_29dfb7c54d2345633e29b79ff48ff66e.zip,461357,b64da35e393621cb0aa70d61ae1835acdc672ce0d7914845f29f1ee1c02782fd,CC BY 4.0,https://legiscan.com/AL/datasets
AL_2016-2016_Regular_Session_JSON_20160504_e800c0b0cdea4446e6a9ef36040ac9ba.zip,3003159,023b0449ca8ee5b5714ef1cb9455dd268bb3d2bb1a84c890baf5ef095582d1dd,CC BY 4.0,https://legiscan.com/AL/datasets
AL_2017-2017_Regular_Session_JSON_20170519_a6e8167b88b79bd5122564de30d42fb2.zip,3391715,a48015fed65026fb77686e8065d1161d29f39638c774cf321706e130c9d65f99,CC BY 4.0,https://legiscan.com/AL/datasets
AL_2018-2018_Regular_Session_JSON_20180329_d0d7e3346110d0a0729590eab6a018f3.zip,3357715,022fd9993806add8993424e29f82f2a3bfa58beeb19424e2d80ba61d4f0d076e,CC BY 4.0,https://legiscan.com/AL/datasets
AL_2019-2019_1st_Special_Session_JSON_20190312_2aa665960dd5a3450c9662ca9d8bce17.zip,125014,5856955a3ee41858d225731d08938c5b7aacf0ba8ad3a600faf5ddd9afdb9787,CC BY 4.0,https://legiscan.com/AL/datasets
AL_2019-2019_Regular_Session_JSON_20190531_9b74165d24c2ec12859de227180a7c75.zip,3298259,22ea5de5cb70c451f4ec79a425cc916bc6e1e694f518ef214ac93695bd436812,CC BY 4.0,https://legiscan.com/AL/datasets
AL_2020-2020_Regular_Session_JSON_20200518_2f3def64183637eaa8b5a9973bdb8016.zip,1990333,f9e0182e61b278e1fbbeab80e77cc15a4bfe5c5939148daa8237cfef7baf405c,CC BY 4.0,https://legiscan.com/AL/datasets
AL_2021-2021_1st_Special_Session_JSON_20211001_e3122656d628e75326f128070af2c6d4.zip,142227,baf18886b0df24d13226b33714a30e1bae9f1b5235e4022a6b6f2ff9f9d66f43,CC BY 4.0,https://legiscan.com/AL/datasets
AL_2021-2021_2nd_Special_Session_JSON_20211104_4584906c94215b8a5f86185ebae84329.zip,239388,a1f7b0155885943cf998fd9495fbde5db61be8565e8f9e91bf4ee478ae3624fb,CC BY 4.0,https://legiscan.com/AL/datasets
AL_2021-2021_Regular_Session_JSON_20210517_9dbae3295ccffea07cbd134e93992ed4.zip,4506362,a65e4ab95923789c7b7eb58e1d8b1278b8efe18c525d8bd45409c349b0c41e79,CC BY 4.0,https://legiscan.com/AL/datasets
AL_2022-2022_1st_Special_Session_JSON_20220127_d1031e87f343ab35d59ea1fdc6476cb0.zip,94255,06e292b0011cb689788e8bdb9f0419cd62960eb4c4ace2961bfdac1f75677b49,CC BY 4.0,https://legiscan.com/AL/datasets
AL_2022-2022_Regular_Session_JSON_20220407_7dc12ea62a642080f5e7d5407a5ef9ca.zip,3405998,fcaa7cfdbac0a069f6b6289f3cdda47e9d97e708cabc6970c2b5b80bfcd5de3a,CC BY 4.0,https://legiscan.com/AL/datasets
AL_2023-2023_1st_Special_Session_JSON_20230316_72239fe0272a1f14b4f5de3370c32172.zip,110061,2169eb5da76e525172a8a274a5cbf6fb6d78d7daa47ad76e645e56cf8dc57c3c,CC BY 4.0,https://legiscan.com/AL/datasets
AL_2023-2023_2nd_Special_Session_JSON_20230721_c9c74795f8e51bd3b8e4da60ce85d424.zip,135536,7ceeb6e0c7b5690127fc6e836a24291caa8d07a757b6c851ca232080b6d44d49,CC BY 4.0,https://legiscan.com/AL/datasets
AL_2023-2023_Regular_Session_JSON_20230607_d17b533ce7196680956ab4bbbb4cfb99.zip,3063352,51862248a5513adb05ab80f990c37039f39ca9690d107816660820d15b4c01e8,CC BY 4.0,https://legiscan.com/AL/datasets
AL_2024-2024_Regular_Session_JSON_20240523_8163cf95b36859f0f327c0576e729221.zip,3374663,e788fd8dd7facd586021066e962c15dcbde0f8f7f9708715f371a07709806d0e,CC BY 4.0,https://legiscan.com/AL/datasets
AL_2025-2025_Regular_Session_JSON_20250606_8b02a5b94867a13e6a5ddf91374d9628.zip,4685736,e2545eacf274c1b309ec07b1a72207325be680572b2bbb47525b4b376f183df4,CC BY 4.0,https://legiscan.com/AL/datasets
AL_2026-2026_1st_First_Special_Session_JSON_20260512_e2c35a425bd4117303c7ee58b1c5034c.zip,142163,24f6d67ee4a106750940f52d6364419a96eb15842efb38f7a3e9ceebbbfcfc87,CC BY 4.0,https://legiscan.com/AL/datasets
AL_2026-2026_Regular_Session_JSON_20260508_83dae6d8cabb24f080c0acbf9b47fb57.zip,5284433,f51c57c7ef82e1fcde68d7c2d04dcc7d43d9512c2b4631ebcc9207b8182e7fdb,CC BY 4.0,https://legiscan.com/AL/datasets
