district,dem_votes,rep_votes,two_party_votes,dem_margin,fallback_share,source_complete,chamber,cycle,source_year,allocation_method
88.0,5335.071036285777,10019.64205307173,15354.713089357507,-30.509010422557957,0.21923726673385896,True,house,1998,1996,precinct_match_then_legislative_activity_fallback
30.0,18038.63235216926,24336.550898846777,42375.18325101604,-14.862280380879556,0.2814912162629412,True,senate,1998,1996,precinct_match_then_legislative_activity_fallback
64.0,3648.470237226209,4539.392591431475,8187.862828657684,-10.881012210988926,0.5031913256545885,False,house,1998,1996,precinct_match_then_legislative_activity_fallback
66.0,4933.034818309946,5640.905251547276,10573.94006985722,-6.694481229898708,0.25647393988812733,True,house,1998,1996,precinct_match_then_legislative_activity_fallback
94.0,6771.540200732057,16786.230066094067,23557.770266826126,-42.511195889640796,0.22901755131930174,True,house,1998,1996,precinct_match_then_legislative_activity_fallback
95.0,4390.340548834981,10641.758412551984,15032.098961386964,-41.58712552235756,0.22901755131930174,True,house,1998,1996,precinct_match_then_legislative_activity_fallback
22.0,16669.214483853113,17965.641587477294,34634.8560713304,-3.74312831257099,0.4180933896137059,False,senate,1998,1996,precinct_match_then_legislative_activity_fallback
32.0,17939.443278284547,35713.61849691937,53653.06177520392,-33.1279793371443,0.4450040752849464,True,senate,1998,1996,precinct_match_then_legislative_activity_fallback
84.0,7022.428574976392,5892.856377794937,12915.28495277133,8.746010647942187,0.5085908336787045,True,house,1998,1996,precinct_match_then_legislative_activity_fallback
28.0,16662.71010583044,8671.299861761285,25334.009967591723,31.544197915340234,0.5881559788120646,True,senate,1998,1996,precinct_match_then_legislative_activity_fallback
40.0,4558.501557132373,9164.747853580093,13723.249410712466,-33.56527421888909,0.3804341897543741,True,house,1998,1996,precinct_match_then_legislative_activity_fallback
14.0,17016.338511997237,38222.35266701191,55238.69117900915,-38.38978386778472,0.4579342963980577,True,senate,1998,1996,precinct_match_then_legislative_activity_fallback
27.0,5061.0,9056.0,14117.0,-28.29921371396189,0.035772472905008144,True,house,1998,1996,precinct_match_then_legislative_activity_fallback
9.0,15562.827903275553,24068.309113564865,39631.13701684042,-21.461612889569853,0.29555753593215395,True,senate,1998,1996,precinct_match_then_legislative_activity_fallback
82.0,6408.523870186202,1801.8556147349102,8210.379484921112,56.10786034813292,0.8339906209568952,True,house,1998,1996,precinct_match_then_legislative_activity_fallback
90.0,4258.64023668639,3515.9860618014463,7774.626298487837,9.552281310670717,0.13855204863820308,True,house,1998,1996,precinct_match_then_legislative_activity_fallback
34.0,4555.13779418551,6053.457498846331,10608.595293031842,-14.123639023584758,0.3421372191863995,True,house,1998,1996,precinct_match_then_legislative_activity_fallback
12.0,15367.0,17573.0,32940.0,-6.697024893746205,0.3421372191863995,True,senate,1998,1996,precinct_match_then_legislative_activity_fallback
36.0,4433.217812644209,6169.297185048454,10602.514997692662,-16.374222274451427,0.34213721918639955,True,house,1998,1996,precinct_match_then_legislative_activity_fallback
32.0,7480.490869129825,3745.1104827784166,11225.60135190824,33.27554818002183,0.24053171424596215,True,house,1998,1996,precinct_match_then_legislative_activity_fallback
35.0,4013.0317469079732,5842.353841048932,9855.385587956906,-18.56164913908955,0.28102362926791324,True,house,1998,1996,precinct_match_then_legislative_activity_fallback
37.0,6434.897945232571,6968.553751185419,13403.45169641799,-3.9814804278771336,0.7569145697772011,True,house,1998,1996,precinct_match_then_legislative_activity_fallback
38.0,4459.15616196432,3816.5669869556805,8275.72314892,7.764749538443642,0.03623936731781718,True,house,1998,1996,precinct_match_then_legislative_activity_fallback
13.0,17029.935191466255,15895.930391800935,32925.865583267194,3.444115377308764,0.5875886705040549,True,senate,1998,1996,precinct_match_then_legislative_activity_fallback
39.0,6361.252104311378,5458.5409124810685,11819.793016792446,7.637284261643355,0.7774729125071178,True,house,1998,1996,precinct_match_then_legislative_activity_fallback
