source_row_id,target_norm,match_method,match_score,score_margin
1,,unmatched,86.36363636363636,28.58585858585859
2,,unmatched,90.0,33.0
3,ROCK HILL RIDGE RD VOLUNTEER FIRE DEPARTMENT,fuzzy,96.47058823529412,10.970588235294116
4,DAMASCUS BOYKIN SCHOOL,exact,100.0,100.0
5,BRADLEY VOLUNTEER FIRE DEPARTMENT,exact,100.0,100.0
6,POARCH SAIL CENTER,exact,100.0,100.0
7,,unmatched,85.5,0.0
8,,unmatched,86.95652173913044,8.721227621483393
9,HUXFORD MASONIC LODGE,exact,100.0,100.0
10,,unmatched,85.5,0.0
11,RIVERVIEW TOWN HALL,exact,100.0,100.0
12,DIXIE VOLUNTEER FIRE DEPARTMENT,exact,100.0,100.0
13,MCCULLOUGH VOLUNTEER FIRE DEPARTMENT,exact,100.0,100.0
14,LITTLE ESCAMBIA VOTING,fuzzy,95.0,40.714285714285715
15,FLOMATON COMMUNITY HOUSE,exact,100.0,100.0
16,,unmatched,90.0,22.5
17,FLOMATON TOWN HALL,exact,100.0,100.0
18,POLLARD TOWN HALL,exact,100.0,100.0
19,,unmatched,85.5,31.5
20,APPLETON VOLUNTEER FIRE,fuzzy,95.0,8.43283582089552
21,BREWTON CIVIC CENTER,exact,100.0,100.0
22,,unmatched,87.5,42.5
23,,unmatched,85.5,43.9375
24,EOLINE FIRE DEPARTMENT,exact,100.0,100.0
25,,unmatched,61.111111111111114,5.7264957264957275
26,CENTREVILLE ROCK BUILDING,exact,100.0,100.0
27,BRENT CITY HALL,exact,100.0,100.0
28,LAWLEY COMMUNITY CENTER,exact,100.0,100.0
29,GREENPOND FIRE DEPARTMENT,fuzzy,98.0392156862745,18.872549019607845
30,TEXASVILLE COMMUNITY CENTER,exact,100.0,100.0
31,WESLEY CHAPEL,exact,100.0,100.0
32,PINE HILL,exact,100.0,100.0
33,LEVEL ROAD,exact,100.0,100.0
34,WADLEY,exact,100.0,100.0
35,OPHELIA,exact,100.0,100.0
36,GRAHAM,exact,100.0,100.0
37,,unmatched,90.0,33.0
38,PHIPPS WORK CENTER,exact,100.0,100.0
39,MOUNDVILLE CITY HALL,exact,100.0,100.0
40,HAVANA,exact,100.0,100.0
41,MOUNT HERMAN,exact,100.0,100.0
42,GALLION VOLUNTEER FIRE DEPARTMENT,exact,100.0,100.0
43,MOUNT HOREB BAPTIST CHURCH,fuzzy,95.0,9.5
44,STEWART,exact,100.0,100.0
45,CHRISTIAN HOME,exact,100.0,100.0
46,PAINT ROCK SR CITIZEN CENTER,exact,100.0,100.0
47,WHITEHALL TOWN HALL,fuzzy,97.43589743589743,26.18589743589743
48,BETHEL CHURCH,exact,100.0,100.0
49,MOSSES TOWN HALL,exact,100.0,100.0
50,NEW SALEM CHURCH,exact,100.0,100.0
51,LOWNDES CITY DEV OFFICE,exact,100.0,100.0
52,,unmatched,88.23529411764706,19.814241486068113
53,,unmatched,66.66666666666667,19.60784313725491
54,,unmatched,85.0,23.888888888888886
55,DOUGLAS CROSSROADS,exact,100.0,100.0
56,,unmatched,66.08695652173913,23.662714097496703
57,,unmatched,90.0,21.578947368421055
58,CAPPS POST OFFICE,exact,100.0,100.0
59,JUDSON COMMUNITY,fuzzy,95.0,37.85714285714286
60,,unmatched,55.55555555555556,2.614379084967318
61,LAWRENCEVILLE HOUSE,fuzzy,95.0,34.99999999999999
62,HALEBURG CITY HALL,fuzzy,95.0,53.96
63,SHORTERVILLE HOUSE,exact,100.0,100.0
64,,unmatched,85.5,9.029411764705884
65,GREENSBORO ARMORY,exact,100.0,100.0
66,COUNTY COMMISSION DIST,exact,100.0,100.0
67,,unmatched,90.9090909090909,11.74242424242425
68,,unmatched,85.5,25.499999999999993
69,,unmatched,90.0,37.38461538461539
70,HILLWOOD BAPTIST CHURCH,fuzzy,95.0,9.5
71,FIRST CHURH OF GOD MADISO,fuzzy,96.15384615384616,10.65384615384616
72,SOUTHWOOD PRESBYTERIAN,exact,100.0,100.0
73,COMMUNITY FELLOWSHIP,exact,100.0,100.0
74,WILLOWBROOK BAPTIST,exact,100.0,100.0
75,,unmatched,91.66666666666666,6.166666666666657
76,NEW SHILOH CHURCH,exact,100.0,100.0
77,WEATHERLY HGTS BAPTIST,exact,100.0,100.0
78,MOUNT ZION BAPTIST CHURCH,fuzzy,95.0,26.578947368421055
79,LAKEWOOD COMMUNITY CENTER,exact,100.0,100.0
80,FIRE AND RESCUE TRAINING,exact,100.0,100.0
81,JACKSON WAY BAPTIST,exact,100.0,100.0
82,,unmatched,91.04166666666666,5.541666666666657
83,HARVEST BAPTIST CHURCH,fuzzy,95.0,9.5
84,MERIDANVILLE CHURCH OF CHRIST,fuzzy,98.30508474576271,12.805084745762713
85,WEST HUNTSVILLE BAPTIST,exact,100.0,100.0
86,CHARLES STONE AG CENTER,exact,100.0,100.0
87,LITTLE INDIAN CREEK CHURCH,exact,100.0,100.0
88,MONROVIA COMMUNITY CENTER,exact,100.0,100.0
89,MARY KELLY JOHNSTON GYM,exact,100.0,100.0
90,FIRST BAPTIST MERIDANVILLE,fuzzy,98.11320754716981,23.264722698684963
91,WESTSIDE COMMUNITY CENTER,exact,100.0,100.0
92,PINEVIEW BAPTIST CHURCH,fuzzy,95.0,9.5
93,LEWIS CHAPEL C P CHURCH,fuzzy,97.77777777777777,34.444444444444436
94,LOCUST GROVE BAPTIST,exact,100.0,100.0
95,,unmatched,90.0,4.5
96,MADISON CITY HALL,exact,100.0,100.0
97,PLEASANT SPRINGS BAPTIST,exact,100.0,100.0
98,CLAYHATCHEE COMMUNITY HOUSE,fuzzy,95.0,30.22727272727272
99,,unmatched,72.06896551724137,0.0
100,,unmatched,90.0,4.5
101,CLOPTON COMMUNITY HOUSE,fuzzy,95.0,9.5
102,ARGUTA COMMUNITY CENTER,exact,100.0,100.0
103,,unmatched,73.54838709677419,25.72230014025245
104,ARITON CITY HALL,exact,100.0,100.0
105,PINCKARD TOWN HALL,exact,100.0,100.0
106,BEAR CREEK CITY HALL,exact,100.0,100.0
107,HOWELL SULLINS CHURCH,exact,100.0,100.0
