county_norm,precinct,office,district,dem_allocated,rep_allocated,allocation_method,match_method
SUMTER,WHITFIELD TRAILER,State House,71.0,83.0,5.0,direct_precinct_activity,exact
SUMTER,WHITFIELD TRAILER,State Senate,24.0,83.0,5.0,direct_precinct_activity,exact
SUMTER,WARD COMMUNITY CENTER,State House,71.0,177.0,67.0,direct_precinct_activity,exact
SUMTER,WARD COMMUNITY CENTER,State Senate,24.0,177.0,67.0,direct_precinct_activity,exact
SUMTER,CUBA COMMUNITY CENTER,State House,71.0,535.0,223.0,direct_precinct_activity,exact
SUMTER,CUBA COMMUNITY CENTER,State Senate,24.0,535.0,223.0,direct_precinct_activity,exact
SUMTER,YORK - SUMTER RESCUE SQUAD,State House,71.0,1142.0,245.0,direct_precinct_activity,fuzzy
SUMTER,YORK - SUMTER RESCUE SQUAD,State Senate,24.0,1142.0,245.0,direct_precinct_activity,fuzzy
SUMTER,BELLAMY COMMUNITY CENTER,State House,71.0,290.0,22.0,direct_precinct_activity,exact
SUMTER,BELLAMY COMMUNITY CENTER,State Senate,24.0,290.0,22.0,direct_precinct_activity,exact
SUMTER,COATOPA BEL FIRE DEPT.,State House,71.0,127.56521739130436,86.08695652173914,direct_precinct_activity,exact
SUMTER,COATOPA BEL FIRE DEPT.,State House,72.0,35.43478260869565,23.913043478260867,direct_precinct_activity,exact
SUMTER,COATOPA BEL FIRE DEPT.,State Senate,24.0,163.0,110.0,direct_precinct_activity,exact
SUMTER,LIVINGSTON CIVIC CENTER,State House,71.0,104.2174688057041,48.869875222816404,direct_precinct_activity,exact
SUMTER,LIVINGSTON CIVIC CENTER,State House,72.0,1166.7825311942959,547.1301247771836,direct_precinct_activity,exact
SUMTER,LIVINGSTON CIVIC CENTER,State Senate,24.0,1271.0,596.0,direct_precinct_activity,exact
SUMTER,BOYD TRAILER,State House,71.0,146.0,37.0,direct_precinct_activity,exact
SUMTER,BOYD TRAILER,State Senate,24.0,146.0,37.0,direct_precinct_activity,exact
SUMTER,EMELLE SUMT. TOWN HALL,State House,71.0,207.0,71.0,direct_precinct_activity,exact
SUMTER,EMELLE SUMT. TOWN HALL,State Senate,24.0,207.0,71.0,direct_precinct_activity,exact
SUMTER,EPES COMMUNITY CENTER,State House,71.0,240.33862433862433,30.925925925925927,direct_precinct_activity,exact
