district,pres_2012_dem_votes,pres_2012_rep_votes,pres_2012_two_party_votes,pres_2012_dem_margin,pres_2012_fallback_share,pres_2012_source_complete,chamber,pres_2016_dem_votes,pres_2016_rep_votes,pres_2016_two_party_votes,pres_2016_dem_margin,pres_2016_fallback_share,pres_2016_source_complete,cycle,pres_swing_2012_2016
1.0,6877.1685193938165,10863.605214000136,17740.77373339395,-22.47047820187537,0.4192440806460474,True,house,5407.0807419061675,11519.651265046852,16926.732006953018,-36.111935373170766,0.3212332567171277,True,2018,-13.641457171295396
2.0,4753.487582706454,12016.84164725231,16770.329229958763,-43.31074223379284,0.4290658730024704,True,house,3888.402011447306,14950.325670055025,18838.72768150233,-58.719059193521744,0.3028998757129389,True,2018,-15.408316959728907
3.0,8449.194099282347,11248.636645324483,19697.83074460683,-14.211933193753374,0.1526615465644412,True,house,7779.767801730871,13105.042047658575,20884.809849389447,-25.498313292440077,0.052939303054563895,True,2018,-11.286380098686703
4.0,6459.229665055657,18067.37121671515,24526.600881770806,-47.32878236008296,0.46003097055655595,True,house,4810.198587221064,14422.24113303422,19232.439720255286,-49.97827985229514,0.15999706577724243,True,2018,-2.649497492212177
5.0,3812.1314215633447,9672.8343787183,13484.965800281645,-43.46101461401222,0.49318544708029194,True,house,4440.9591376639955,15459.58379319686,19900.542930860855,-55.368462527952865,0.1479174776177501,True,2018,-11.907447913940644
6.0,8262.523852230768,14916.409114146716,23178.932966377484,-28.706607295373914,0.3063040954873777,True,house,6940.478890426068,13766.036596586242,20706.515487012308,-32.963333258274915,0.09818938640261987,True,2018,-4.256725962901001
7.0,5159.788046331684,10683.220199930718,15843.008246262401,-34.863531393427714,0.5022890776669635,True,house,2936.6627354719035,14235.402415313043,17172.065150784947,-65.79720948312769,0.09383585957973913,True,2018,-30.933678089699974
8.0,5980.451385432062,10601.47010663255,16581.92149206461,-27.867812083249262,0.4449723530616424,True,house,5933.270104130018,11827.681088073774,17760.951192203793,-33.187473577040855,0.16602379975379564,True,2018,-5.3196614937915925
9.0,3187.3044196302308,12645.156428333321,15832.460847963552,-59.73709393331363,0.3803622501674191,True,house,2517.4269201403686,16552.147112047263,19069.574032187633,-73.59744988649257,0.1538526354317173,True,2018,-13.860355953178939
10.0,7178.093804337017,10995.65234080857,18173.74614514559,-21.005897771336848,0.24252201913681048,True,house,9070.658417530878,13102.86555207754,22173.523969608417,-18.184782626673613,0.07753607015793411,True,2018,2.821115144663235
11.0,2444.5882151479464,13831.016243681936,16275.604458829883,-69.96009307879557,0.17243189892490804,True,house,2007.1923172458648,18546.67705938164,20553.869376627506,-80.46895909995115,0.09641132396273991,True,2018,-10.508866021155583
12.0,3149.1196075773223,17467.329770440767,20616.44937801809,-69.45041748134368,0.20836392470118356,True,house,2412.8240933221655,19000.881766740215,21413.70586006238,-77.4646751095783,0.10095957811183298,True,2018,-8.014257628234617
13.0,3900.963894997271,14817.14079052012,18718.10468551739,-58.318815280314865,0.23193839751102055,True,house,2995.6359027551034,17028.86108637825,20024.496989133353,-70.0802881152946,0.10664627805005093,True,2018,-11.761472834979728
14.0,5306.402688407277,17904.139913061674,23210.54260146895,-54.275927284255346,0.43399368334203614,True,house,3430.7477070082705,17066.542440030436,20497.290147038708,-66.52486565397115,0.25193132473515245,True,2018,-12.248938369715802
15.0,12614.95895084156,14536.514757366582,27151.47370820814,-7.077169464816631,0.8884122652785287,True,house,12071.967158408002,12836.53795812005,24908.505116528053,-3.0695170028678946,0.8687607214458427,True,2018,4.007652461948736
16.0,6375.646556405639,13609.692150787838,19985.338707193478,-36.19676253862234,0.42353219317188273,True,house,5231.982248032539,15066.885099919686,20298.867347952226,-48.450500627954014,0.33287555355820997,True,2018,-12.253738089331677
17.0,3001.417074596959,12463.640964439968,15465.058039036927,-61.18453526626572,0.3068447433271086,True,house,2127.0789829298737,16532.823305008216,18659.90228793809,-77.20160641671919,0.2420506001882744,True,2018,-16.017071150453468
