district,pres_2016_dem_votes,pres_2016_rep_votes,pres_2016_two_party_votes,pres_2016_dem_margin,pres_2016_fallback_share,chamber,pres_2020_dem_votes,pres_2020_rep_votes,pres_2020_two_party_votes,pres_2020_dem_margin,pres_2020_fallback_share,cycle,pres_swing_2016_2020
1.0,4152.784036943828,11951.630020811002,16104.414057754831,-48.42676024038118,0.41853688604970435,house,4945.828284864687,15968.016741311865,20913.845026176554,-52.70283127110961,0.05315414439903594,2022,-4.276071030728431
2.0,4506.464575803508,17446.224054686565,21952.688630490073,-58.94384827611063,0.37012348293565805,house,3529.1637617589527,18675.76195806531,22204.925719824263,-68.21278480019268,0.04680328149494904,2022,-9.26893652408205
3.0,7269.113899780694,13784.844358302584,21053.95825808328,-30.947769434378426,0.26681747870686606,house,6467.748815257308,11610.065292457088,18077.814107714396,-28.445455001140793,0.0637866234705944,2022,2.5023144332376326
4.0,4978.610048932131,12132.09756942179,17110.70761835392,-41.807081741122275,0.3739325489404278,house,4951.966990859814,13522.931709271521,18474.898700131336,-46.392485596420485,0.1109907415403559,2022,-4.58540385529821
5.0,3286.3736470208764,11148.679002188108,14435.052649208985,-54.46675911915064,0.29609631119314583,house,4649.554084262092,15449.098961168267,20098.653045430357,-53.73267975965965,0.03729244613992615,2022,0.734079359490984
6.0,5736.414194540211,11433.701052956112,17170.115247496324,-33.181413032429454,0.31288789261133837,house,6224.982197274688,14414.396159221198,20639.378356495887,-39.67858828155565,0.13790668054325808,2022,-6.497175249126194
7.0,4921.655346396463,12899.667202205452,17821.322548601915,-44.76666551571317,0.3885414525054499,house,4670.835570244506,15572.049818360705,20242.88538860521,-53.852077106816644,0.02300062595818166,2022,-9.085411591103473
8.0,5656.271842562778,15420.279883958974,21076.551726521753,-46.326401814152646,0.4339610555982578,house,4986.081642293275,9601.998179354683,14588.079821647958,-31.64170057673818,0.12858100184285476,2022,14.684701237414465
9.0,2706.258268410807,13482.889417243903,16189.14768565471,-66.56700746749209,0.4339610555982577,house,3002.8597723403473,17648.20540013726,20651.065172477607,-70.918112482233,0.12858100184285473,2022,-4.351105014740909
10.0,6191.622934702538,9140.736407006767,15332.359341709305,-19.234570535283655,0.3226447854822449,house,6348.157133265256,9238.106137082517,15586.263270347772,-18.541641147017394,0.17316477630749844,2022,0.6929293882662613
