cycle,county_key,precinct_key,dem_candidate,rep_candidate,dem_votes,rep_votes,source_file
1996,AUTAUGA,EAST MEMORIAL BAPTIST CHURCH,Bill Clinton,Bob Dole,352.0,1105.0,1996 Compiled Results.xls
1996,AUTAUGA,NEWTON PARK #1,Bill Clinton,Bob Dole,211.0,781.0,1996 Compiled Results.xls
1996,AUTAUGA,NEWTON PARK #2,Bill Clinton,Bob Dole,249.0,847.0,1996 Compiled Results.xls
1996,AUTAUGA,CAMELLIA BAPTIST CHURCH,Bill Clinton,Bob Dole,301.0,683.0,1996 Compiled Results.xls
1996,AUTAUGA,AUTAUGA COUNTY VOTING SITE,Bill Clinton,Bob Dole,80.0,140.0,1996 Compiled Results.xls
1996,AUTAUGA,PRATTMONT BAPTIST CHURCH,Bill Clinton,Bob Dole,381.0,911.0,1996 Compiled Results.xls
1996,AUTAUGA,NATIONAL GUARD ARMORY #1,Bill Clinton,Bob Dole,151.0,496.0,1996 Compiled Results.xls
1996,AUTAUGA,NATIONAL GUARD ARMORY #2,Bill Clinton,Bob Dole,252.0,769.0,1996 Compiled Results.xls
1996,AUTAUGA,BOOTH POST OFFICE,Bill Clinton,Bob Dole,142.0,261.0,1996 Compiled Results.xls
1996,AUTAUGA,WHITE CITY FIRE STATION,Bill Clinton,Bob Dole,81.0,200.0,1996 Compiled Results.xls
1996,AUTAUGA,HAYNES COMMUNITY CENTER,Bill Clinton,Bob Dole,45.0,116.0,1996 Compiled Results.xls
1996,AUTAUGA,JONES COMMUNITY CENTER,Bill Clinton,Bob Dole,110.0,92.0,1996 Compiled Results.xls
1996,AUTAUGA,PINE LEVEL COMMUNITY CENTER,Bill Clinton,Bob Dole,195.0,738.0,1996 Compiled Results.xls
1996,AUTAUGA,VOCATIONAL CENTER,Bill Clinton,Bob Dole,294.0,855.0,1996 Compiled Results.xls
1996,AUTAUGA,MARBURY COMMUNITY CENTER,Bill Clinton,Bob Dole,200.0,290.0,1996 Compiled Results.xls
1996,AUTAUGA,BILLINGSLEY GOVERNMENT CENTER,Bill Clinton,Bob Dole,58.0,179.0,1996 Compiled Results.xls
1996,AUTAUGA,COURTHOUSE,Bill Clinton,Bob Dole,716.0,395.0,1996 Compiled Results.xls
1996,AUTAUGA,OLD KINGSTONE FIRE STATION,Bill Clinton,Bob Dole,335.0,106.0,1996 Compiled Results.xls
1996,AUTAUGA,AUTAUGAVILLE TOWN HALL,Bill Clinton,Bob Dole,277.0,101.0,1996 Compiled Results.xls
1996,AUTAUGA,INDEPENDENCE VOTING HOUSE,Bill Clinton,Bob Dole,229.0,86.0,1996 Compiled Results.xls
1996,AUTAUGA,MULBERRY-STATESVILLE,Bill Clinton,Bob Dole,199.0,55.0,1996 Compiled Results.xls
1996,AUTAUGA,ABSENTEE VOTERS,Bill Clinton,Bob Dole,157.0,303.0,1996 Compiled Results.xls
1996,BALDWIN,FERGUSON STORE - LITTLE RIVER,Bill Clinton,Bob Dole,42.0,18.0,1996 Compiled Results.xls
1996,BALDWIN,TENSAW COMMUNITY CENTER,Bill Clinton,Bob Dole,78.0,11.0,1996 Compiled Results.xls
1996,BALDWIN,VAUGHN COMMUNITY CENTER,Bill Clinton,Bob Dole,179.0,110.0,1996 Compiled Results.xls
1996,BALDWIN,CROSSROADS SCHOOL,Bill Clinton,Bob Dole,187.0,307.0,1996 Compiled Results.xls
1996,BALDWIN,BAY MINETTE INTERMEDIATE SCHOOL,Bill Clinton,Bob Dole,403.0,50.0,1996 Compiled Results.xls
1996,BALDWIN,ELLISVILLE COMMUNITY CENTER,Bill Clinton,Bob Dole,120.0,65.0,1996 Compiled Results.xls
1996,BALDWIN,DAPHNE INTERMEDIATE SCHOOL,Bill Clinton,Bob Dole,905.0,839.0,1996 Compiled Results.xls
1996,BALDWIN,FAIRHOPE AREA INSTRUCTIONAL,Bill Clinton,Bob Dole,477.0,273.0,1996 Compiled Results.xls
1996,BALDWIN,LITTLE RIVER RESTAURANT,Bill Clinton,Bob Dole,23.0,22.0,1996 Compiled Results.xls
1996,BALDWIN,LOTTIE FIREHOUSE,Bill Clinton,Bob Dole,21.0,50.0,1996 Compiled Results.xls
1996,BALDWIN,STOCKTON FIRE HOUSE,Bill Clinton,Bob Dole,95.0,188.0,1996 Compiled Results.xls
1996,BALDWIN,RABUN FIRE HOUSE,Bill Clinton,Bob Dole,95.0,124.0,1996 Compiled Results.xls
1996,BALDWIN,PERDIDO SCHOOL,Bill Clinton,Bob Dole,148.0,168.0,1996 Compiled Results.xls
1996,BALDWIN,BAY MINETTE 1ST METH. GYM 1,Bill Clinton,Bob Dole,115.0,324.0,1996 Compiled Results.xls
1996,BALDWIN,BAY MINETTE 1ST METH. GYM 2,Bill Clinton,Bob Dole,290.0,712.0,1996 Compiled Results.xls
1996,BALDWIN,BAY MINETTE 1ST METH. GYM 3,Bill Clinton,Bob Dole,295.0,568.0,1996 Compiled Results.xls
1996,BALDWIN,PINE GROVE SCHOOL,Bill Clinton,Bob Dole,228.0,397.0,1996 Compiled Results.xls
1996,BALDWIN,WHITE HOUSE DELTA SCHOOL,Bill Clinton,Bob Dole,182.0,307.0,1996 Compiled Results.xls
1996,BALDWIN,STAPELTON COMMUNITY HALL,Bill Clinton,Bob Dole,101.0,296.0,1996 Compiled Results.xls
1996,BALDWIN,GATESWOOD SCHOOL,Bill Clinton,Bob Dole,54.0,131.0,1996 Compiled Results.xls
1996,BALDWIN,LOXLEY COMMUNITY HALL,Bill Clinton,Bob Dole,237.0,666.0,1996 Compiled Results.xls
1996,BALDWIN,ROSINTON SCHOOL,Bill Clinton,Bob Dole,138.0,448.0,1996 Compiled Results.xls
1996,BALDWIN,SILVERHILL CITY HALL,Bill Clinton,Bob Dole,213.0,693.0,1996 Compiled Results.xls
1996,BALDWIN,ROBERTSDALE CITY HALL,Bill Clinton,Bob Dole,327.0,818.0,1996 Compiled Results.xls
1996,BALDWIN,ELSANOR COMMUNITY CENTER,Bill Clinton,Bob Dole,133.0,308.0,1996 Compiled Results.xls
1996,BALDWIN,SEMINOLE FIRE HOUSE,Bill Clinton,Bob Dole,50.0,140.0,1996 Compiled Results.xls
1996,BALDWIN,BAPTIST CHURCH LILLIAN,Bill Clinton,Bob Dole,126.0,214.0,1996 Compiled Results.xls
1996,BALDWIN,SUMMERDALE COMMUNITY HALL,Bill Clinton,Bob Dole,225.0,577.0,1996 Compiled Results.xls
1996,BALDWIN,ELBERTA FIRE HOUSE,Bill Clinton,Bob Dole,324.0,820.0,1996 Compiled Results.xls
1996,BALDWIN,MAGNOLIA SPRINGS WESLEYAN,Bill Clinton,Bob Dole,369.0,853.0,1996 Compiled Results.xls
1996,BALDWIN,PERDIDO BEACH FIRE HOUSE,Bill Clinton,Bob Dole,118.0,324.0,1996 Compiled Results.xls
1996,BALDWIN,LILLIAN COMMUNITY HALL,Bill Clinton,Bob Dole,444.0,984.0,1996 Compiled Results.xls
1996,BALDWIN,BON SECOUR SWIFT SCHOOL,Bill Clinton,Bob Dole,135.0,327.0,1996 Compiled Results.xls
