office,allocation_method,dem_allocated,rep_allocated,two_party_allocated,share
State House,county_distribution_fallback,252840.0,381322.0,634162.0,0.3186111299515925
State House,direct_precinct_activity,517504.0,838729.0,1356233.0,0.6813888700484074
State Senate,county_distribution_fallback,251081.0,369758.0,620839.0,0.3119174837155439
State Senate,direct_precinct_activity,519263.0,850293.0,1369556.0,0.688082516284456
