source_row_id,target_match_norm,match_method,match_score,score_margin
1,10 JONES COMMUNITY CENTER,exact,100.0,100.0
2,TRINITY METHODIST,exact,100.0,100.0
3,CENTRAL AL ELECTRIC,exact,100.0,100.0
4,AUTAUGAVILLE VOLUNTEER FIRE DEPARTMENT,exact,100.0,100.0
5,PRATTMONT BAPTIST,fuzzy,95.0,9.5
6,DOSTER COMMUNITY CENTER,exact,100.0,100.0
7,CAMELLIA BAPTIST,fuzzy,95.0,37.173913043478265
8,OLD KINGSTON VOLUNTEER FIRE DEPARTMENT,exact,100.0,100.0
9,20 HERITAGE BAPTIST,exact,100.0,100.0
10,UPPER KINGSTON,exact,100.0,100.0
11,,unmatched,64.40677966101696,25.031779661016955
12,,unmatched,47.61904761904761,4.761904761904759
13,50 WHITE CITY VOLUNTEER FIRE DEPARTMENT,exact,100.0,100.0
14,60 MARBURY MIDDLE SCHOOL,exact,100.0,100.0
15,,unmatched,47.61904761904761,0.1190476190476133
16,,unmatched,85.5,4.991525423728817
17,90 BOOTH VOLUNTEER FIRE DEPARTMENT,exact,100.0,100.0
18,BARNWELL VOLUNTEER FIRE DEPARTMENT,exact,100.0,100.0
19,BAY MINETTE CIVIC CENTER,exact,100.0,100.0
20,,unmatched,76.36363636363637,0.36363636363637397
21,BON SECOUR MORG CHAPEL,fuzzy,95.65217391304348,50.05217391304349
22,,unmatched,87.08333333333333,1.5833333333333286
23,,unmatched,49.761904761904766,4.047619047619051
24,CROSSROADS DURANT,exact,100.0,100.0
25,DAPHNE CIVIC CENTER,exact,100.0,100.0
26,,unmatched,54.054054054054056,10.151615029663816
27,DOUGLASVILLE BOYKIN,fuzzy,95.0,38.39622641509434
28,ELBERTA CIVIC CENTER,exact,100.0,100.0
29,,unmatched,85.5,4.018518518518505
30,,unmatched,85.5,0.0
31,FAIRHOPE 3 CIRCLE CHURCH,exact,100.0,100.0
32,FAIRHOPE CIVIC CENTER,exact,100.0,100.0
33,FOLEY CIVIC CENTER,exact,100.0,100.0
34,FT MORGAN VOLUNTEER FIRE DEPARTMENT,exact,100.0,100.0
35,GATESWOOD VOLUNTEER FIRE DEPARTMENT,exact,100.0,100.0
36,GULF SHORES CIVIC CENTER,exact,100.0,100.0
37,JOSEPHINE VOLUNTEER FIRE DEPARTMENT,exact,100.0,100.0
38,LILLIAN COMMUNITY CLUB,fuzzy,95.0,9.5
39,LITTLE RIVER VOLUNTEER FIRE DEPARTMENT,exact,100.0,100.0
40,LOTTIE VOLUNTEER FIRE DEPARTMENT,exact,100.0,100.0
41,,unmatched,51.81818181818182,1.8181818181818201
42,MAG SPGS WESLEYAN CHURCH,exact,100.0,100.0
43,MARLOW FISH RIVER VOLUNTEER FIRE DEPARTMENT,fuzzy,95.0,7.121212121212125
44,,unmatched,80.0,2.051282051282058
45,NEW LIFE ASSEMBLY OF GOD,exact,100.0,100.0
46,ORANGE BEACH COMMUNITY CENTER,fuzzy,95.0,9.5
47,PERDIDO BEACH VOLUNTEER FIRE DEPARTMENT,exact,100.0,100.0
48,PERDIDO VOLUNTEER FIRE DEPARTMENT,exact,100.0,100.0
49,PINEGROVE VOLUNTEER FIRE DEPARTMENT,exact,100.0,100.0
