source_row_id,target_match_norm,match_method,match_score,score_margin
1,,county_level_ballot,0.0,0.0
2,,unmatched,83.125,30.509615384615387
3,AUTAUGAVILLE TOWN HALL,exact,100.0,100.0
4,BILLINGSLEY GOVERNMENTAL,fuzzy,95.0,9.5
5,,unmatched,90.0,36.0
6,CAMELLIA BAPTIST CHURCH,exact,100.0,100.0
7,COURTHOUSE,exact,100.0,100.0
8,E MEMORIAL BAPTIST CHURCH,fuzzy,94.33962264150944,15.908250092489823
9,HAYNES COMMUNITY CENTER,exact,100.0,100.0
10,,unmatched,81.42857142857142,24.155844155844143
11,JONES COMMUNITY CENTER,exact,100.0,100.0
12,MARBURY COMMUNITY CENTER,exact,100.0,100.0
13,MULBERRY STATESVILLE,exact,100.0,100.0
14,NATIONAL GUARD ARMORY,exact,100.0,100.0
15,NEWTON PARK,exact,100.0,100.0
16,,unmatched,91.66666666666666,24.999999999999986
17,PINE LEVEL COMMUNITY CENTER,exact,100.0,100.0
18,PRATTMONT BAPTIST CHURCH,exact,100.0,100.0
19,WHITE CITY FIRE STATION,exact,100.0,100.0
20,,county_level_ballot,0.0,0.0
21,GULF SHORES ACTIVITY CENTER,fuzzy,95.0,9.5
22,,unmatched,75.55555555555556,22.725366876310275
23,BAY MINETTE CITY HALL,fuzzy,95.0,28.913043478260875
24,,unmatched,95.0,0.0
25,ROBERTSDALE CITY HALL,fuzzy,95.0,28.913043478260875
26,SILVERHILL CITY HALL,fuzzy,95.0,30.0
27,FOLEY CIVIC CENTER,fuzzy,95.0,9.5
28,BELFOREST COMMUNITY CENTER,fuzzy,95.0,15.200000000000003
29,ELLISVILLE COMMUNITY CENTER,fuzzy,95.0,9.5
30,ELSANOR COMMUNITY CENTER,fuzzy,95.0,14.148936170212778
31,,unmatched,85.5,0.0
32,TENSAW COMMUNITY CENTER,fuzzy,95.0,14.148936170212778
33,BARNWELL COMMUNITY HALL,fuzzy,95.0,19.0
34,LILLIAN COMMUNITY HALL,fuzzy,95.0,19.0
35,LOXLEY COMMUNITY HALL,fuzzy,95.0,19.0
36,,unmatched,91.04166666666667,15.041666666666671
37,,unmatched,80.85106382978722,4.851063829787222
38,SUMMERDALE COMMUNITY HALL,fuzzy,95.0,19.0
39,FERGUSON STORE LITTLE RIVER,exact,100.0,100.0
40,ELBERTA FIRE HOUSE,fuzzy,95.0,21.923076923076934
41,PERDIDO BEACH FIRE HOUSE,fuzzy,95.0,9.5
42,RABUN FIRE HOUSE,fuzzy,95.0,9.5
43,SEMINOLE FIRE HOUSE,fuzzy,95.0,21.923076923076934
44,STOCKTON FIRE HOUSE,fuzzy,95.0,21.923076923076934
45,FIRE STATION 3 DAPHNE,fuzzy,95.0,9.5
46,,unmatched,85.5,0.0
47,LITTLE RIVER RESTAURANT,exact,100.0,100.0
48,LOTTIE METHODIST CHURCH,fuzzy,95.0,32.77777777777778
49,BAY MINETTE MIDDLE SCHOOL,fuzzy,95.0,9.5
50,MIFLIN COMMUNITY CENTER,exact,100.0,100.0
51,ORANGE BEACH MUNICIPAL COMPLEX,fuzzy,95.0,48.333333333333336
52,,unmatched,73.88888888888889,19.08119658119658
53,DAPHNE RECREATION CENTER,fuzzy,95.0,28.33333333333333
54,BON SECOUR SCHOOL,fuzzy,95.0,9.5
55,CROSSROADS SCHOOL,fuzzy,95.0,9.5
56,GATESWOOD SCHOOL,fuzzy,95.0,9.5
57,PERDIDO SCHOOL,fuzzy,95.0,9.5
58,PINE GROVE SCHOOL,fuzzy,95.0,9.5
59,,unmatched,86.36363636363636,17.272727272727266
60,ROSINTON SCHOOL,fuzzy,95.0,9.5
61,SPANISH FORT OLD SCHOOL,fuzzy,95.0,21.451612903225808
62,,unmatched,85.5,20.35714285714286
63,SAINT PAUL EPISCOPAL CHURCH,fuzzy,95.0,9.5
64,,county_level_ballot,0.0,0.0
65,BAKERHILL,exact,100.0,100.0
66,BLUE SPRINGS CITY HALL,exact,100.0,100.0
67,CHAMPION S,exact,100.0,100.0
68,CLAYTON COURTHOUSE,fuzzy,97.2972972972973,47.297297297297305
69,CLIO CITY HALL,exact,100.0,100.0
70,,unmatched,50.0,3.3333333333333357
71,COGGIN S STORE,exact,100.0,100.0
72,COWIKEE FIRE DEPARTMENT,exact,100.0,100.0
73,DAVIS CHEVROLET COUNTY,fuzzy,95.0,35.74074074074075
74,ELAMVILLE,exact,100.0,100.0
75,FLOYD TEW S STORE,exact,100.0,100.0
76,,unmatched,54.0,0.0
77,GREEN S CROSSROAD,fuzzy,94.44444444444444,8.944444444444443
78,HARTZOG S STORE,exact,100.0,100.0
79,JOHNNY BOYD S STORE,exact,100.0,100.0
80,LOUISVILLE CITY HALL,exact,100.0,100.0
81,MCCOO SCHOOL COMPLEX,exact,100.0,100.0
82,MOUNT ANDREW,fuzzy,96.0,49.96153846153846
