source_row_id,target_match_norm,match_method,match_score,score_margin,allocation_resolution
1,,county_level_ballot,0.0,0.0,county_level_distribution
2,AUTAUGAVILLE VOLUNTEER FIRE DEPARTMENT,exact,100.0,100.0,direct_precinct_alias
3,,unmatched,81.9607843137255,15.294117647058826,county_distribution_fallback
4,BOOTH VOLUNTEER FIRE,exact,100.0,100.0,direct_precinct_alias
5,CAMELLIA BAPTIST CHURCH,exact,100.0,100.0,direct_precinct_alias
6,CAMELLIA BAPTIST CHURCH,exact,100.0,100.0,direct_precinct_alias
7,,unmatched,90.0,38.27586206896552,county_distribution_fallback
8,CHURCH OF LIVING WATER,exact,100.0,100.0,direct_precinct_alias
9,CHURCH OF LIVING WATER,exact,100.0,100.0,direct_precinct_alias
10,INDEPENDENCE VOTING HOUSE,exact,100.0,100.0,direct_precinct_alias
11,JONES COMMUNITY CENTER,exact,100.0,100.0,direct_precinct_alias
12,MARBURY COMMUNITY CENTER,exact,100.0,100.0,direct_precinct_alias
13,OLD KINGSTON VOTING SITE,exact,100.0,100.0,direct_precinct_alias
14,,unmatched,95.83333333333334,0.0,county_distribution_fallback
15,,unmatched,95.83333333333334,0.0,county_distribution_fallback
16,PRATTMONT BAPTIST CHURCH,exact,100.0,100.0,direct_precinct_alias
17,,unmatched,90.0,38.57142857142858,county_distribution_fallback
18,,county_level_ballot,0.0,0.0,county_level_distribution
19,SAFE HARBOR MINISTRIES,exact,100.0,100.0,direct_precinct_alias
20,SAFE HARBOR MINISTRIES,exact,100.0,100.0,direct_precinct_alias
21,SAFE HARBOR MINISTRIES,exact,100.0,100.0,direct_precinct_alias
22,TRINITY UNITED METHODIST 1,fuzzy_equivalent_allocation,96.0,0.0,direct_precinct_alias
23,TRINITY UNITED METHODIST 1,fuzzy_equivalent_allocation,96.0,0.0,direct_precinct_alias
24,TRINITY UNITED METHODIST 1,fuzzy_equivalent_allocation,96.0,0.0,direct_precinct_alias
