district,pres_2012_dem_votes,pres_2012_rep_votes,pres_2012_two_party_votes,pres_2012_dem_margin,pres_2012_fallback_share,pres_2012_source_complete,chamber,cycle
69.0,7739.492610374311,5018.161080822573,12757.653691196883,21.33097194376367,0.5102578321340535,False,house,2014
30.0,16714.98216042552,40819.9256169582,57534.90777738372,-41.896205951698846,0.3342937170207507,True,senate,2014
88.0,4581.1651235870095,11358.348234461568,15939.513358048578,-42.518130626945734,0.44518070223288086,True,house,2014
42.0,4148.569336094284,15275.344373256989,19423.913709351273,-57.28389861928768,0.3244592987853434,True,house,2014
31.0,5146.405073625279,18823.85322372402,23970.2582973493,-57.06007828714651,0.22600460711543385,True,house,2014
64.0,4605.044896303724,16097.18576850985,20702.230664813575,-55.51160673588028,0.2455820971006105,True,house,2014
66.0,5680.895097299973,11722.989307750373,17403.884405050347,-34.71692910518915,0.15030262975115677,True,house,2014
68.0,12082.24083092618,9164.897974748965,21247.138805675146,13.730521002658426,0.3477089171585815,True,house,2014
94.0,3900.8887076473916,12866.1981833026,16767.08689094999,-53.46969055485852,0.23577603120058027,True,house,2014
95.0,4895.196873588184,19720.247510837326,24615.444384425507,-60.22662197652272,0.2357760312005803,True,house,2014
96.0,5922.359010708171,17534.158662793612,23456.51767350178,-49.5035103407655,0.2557604991783898,True,house,2014
22.0,18580.048205576473,39706.29262265626,58286.34082823274,-36.24561795590822,0.25026879554773684,True,senate,2014
32.0,14629.793137928293,51741.61875377294,66371.41189170124,-55.91537765747745,0.2357760312005803,True,senate,2014
84.0,7980.361238766751,6750.329556121389,14730.69079488814,8.350128991046427,0.16973870128422883,False,house,2014
28.0,32015.05025704805,23598.281086671315,55613.331343719365,15.134445225654106,0.2038936210994923,False,senate,2014
49.0,2733.286076027439,10215.491091341088,12948.777167368527,-57.783101204097676,0.10953299977240147,True,house,2014
72.0,10345.774908391093,3584.1552047744294,13929.930113165523,48.54022704124041,0.10590125030116547,False,house,2014
14.0,20183.88463307695,45892.21494442954,66076.0995775065,-38.90715474389802,0.36889017111883604,False,senate,2014
11.0,3637.147035442707,22607.454774866867,26244.601810309574,-72.2827036071552,0.45834048446523823,True,house,2014
13.0,5316.141143125955,21346.348494691865,26662.48963781782,-60.12269510206885,0.2767509066617242,True,house,2014
9.0,3788.859203200501,12842.5070983801,16631.3663015806,-54.43718652459217,0.13997615676739206,True,senate,2014
17.0,28078.496742320465,54014.749915926106,82093.24665824657,-31.5936501836479,0.5552168299553343,True,senate,2014
90.0,3243.482290691835,6217.746802840373,9461.229093532207,-31.43634386975975,0.1079157095775232,False,house,2014
23.0,36258.32099910442,18801.518824514907,55059.83982361933,31.705145221110815,0.2257383722623141,False,senate,2014
29.0,3280.987201476196,11995.378670440217,15276.365871916412,-57.044925095596746,0.2496197732996556,True,house,2014
32.0,10429.743666699731,7515.949717355168,17945.6933840549,16.23673093586635,0.12017647600420463,True,house,2014
36.0,6088.533232827317,15676.709998442971,21765.243231270288,-44.05269752207616,0.2310533584478002,True,house,2014
39.0,3721.8565646488123,13973.359524747611,17695.216089396425,-57.93375400621328,0.31640906482042314,True,house,2014
40.0,5240.549388874008,13473.455984832488,18714.005373706495,-43.99328968626811,0.21299047452591105,True,house,2014
12.0,17287.113914566504,35042.906544130696,52330.020458697196,-33.93041407957867,0.1281502160052992,True,senate,2014
37.0,7268.617902046385,12172.438191844969,19441.056093891355,-25.22404269662815,0.11307574211714974,True,house,2014
38.0,6861.0646505401155,13313.012324828866,20174.076975368982,-31.981377300017684,0.24822270450591638,True,house,2014
13.0,19923.51878981969,40039.29828921825,59962.81707903794,-33.54708881152737,0.24645610407733382,True,senate,2014
10.0,15084.967060204419,38769.83291195745,53854.79997216187,-43.979117671954945,0.25257606404198224,True,senate,2014
