cycle,chamber,district,pres_2012_dem_votes,pres_2012_rep_votes,pres_2012_two_party_votes,pres_2012_dem_margin,pres_2012_fallback_share,pres_2012_source_complete
2018,house,1,7170.433690531774,11628.52855148097,18798.96224201274,-23.714579579217677,0.4756084161951327,False
2018,house,2,3464.4662764704117,8814.85580124626,12279.322077716672,-43.5723526992196,0.47560841619585,False
2018,house,3,8770.483270259538,11511.866563778512,20282.34983403805,-13.516102995710865,0.5840288046971385,False
2018,house,4,7365.668839839271,19027.557679743164,26393.226519582437,-44.18515800351792,0.7376465966879401,False
2018,house,5,5217.323460001014,14185.500038203023,19402.823498204038,-46.220987265240645,0.825131158759124,False
2018,house,6,6312.365135764709,9883.534989835272,16195.900125599981,-22.049838702239274,0.4803418130783508,False
2018,house,7,4865.7783397337325,10825.947930363602,15691.726270097333,-37.98288020093597,0.6672261570584305,False
2018,house,8,3776.3976384298603,7433.614426406113,11210.012064835973,-32.62455710862579,0.6098387036513303,False
2018,house,9,6313.685937875286,19914.718393969826,26228.40433184511,-51.85611859575042,0.5782164634879773,False
2018,house,10,9352.60082787679,15824.200455142563,25176.801283019355,-25.70461415855311,0.48034182102381007,False
2018,house,11,2805.671894227736,16367.600487399755,19173.272381627492,-70.73351029095868,0.2907737141008719,False
2018,house,12,2819.476348768936,15901.904919913013,18721.38126868195,-69.87961189075834,0.3480073994823367,False
2018,house,13,4068.1486727489537,14333.73371961064,18401.882392359592,-55.78551600310155,0.23499678794759815,False
2018,house,14,3993.7737222944725,16192.561482733905,20186.33520502838,-60.43091842347262,0.3840874785101156,False
2018,house,15,4309.025337665133,7974.865276755587,12283.89061442072,-29.842661858181376,0.6306921564294857,False
2018,house,16,5496.289005816149,14069.19755898637,19565.48656480252,-43.81648534410854,0.6270056580168741,False
2018,house,17,3332.050424656929,14543.167416987917,17875.217841644844,-62.71877127120574,0.5234755898865137,False
2018,house,18,6571.804650080399,14006.13008062492,20577.934730705318,-36.12765580139298,0.4066541948332096,False
2018,house,19,15255.695328461723,10446.183677845447,25701.879006307172,18.712684973094902,0.4803418130783507,False
2018,house,20,4739.562820403373,10405.7184417643,15145.281262167673,-37.41201977882553,0.4803418130783508,False
2018,house,21,6258.112920535603,12350.399259905724,18608.51218044133,-32.73924470852367,0.4803418130783507,False
2018,house,22,7398.833240691503,17803.131797458533,25201.965038150036,-41.283679828208996,0.49423598372105293,False
