state,election_year,election_date,official_url,retrieved_at,local_path,media_type,size_bytes,sha256,duplicate_of,coverage
AR,,,https://www.sos.arkansas.gov/elections/research/election-results,2026-08-22T05:47:55+00:00,data/raw/southern_sos_elections/AR/archive_pages/index_719c46894cdd.html,text/html,112045,719c46894cdd8640b74929001e7b4110b3293ff5325d2ba586ee482de0356d4e,,archive_page
AR,2008,,https://www.sos.arkansas.gov/uploads/elections/2008_Primary__Runoff_Election_Results.pdf,2026-08-22T05:47:55+00:00,data/raw/southern_sos_elections/AR/archive_pages/2008_2008_Primary__Runoff_Election_Results.pdf.html,application/pdf,744022,a3a280985b510ab9c51773252a2f52bfda3668095bce70f286413b880683a2c5,,election_page
AR,2008,,https://www.sos.arkansas.gov/uploads/elections/Presidential_Primary_Elections_Results.pdf,2026-08-22T05:47:55+00:00,data/raw/southern_sos_elections/AR/archive_pages/2008_Presidential_Primary_Elections_Results.pdf.html,application/pdf,290187,86b9bae84be32a4950bcddcdf6b3d084bbdc205de97808b4c72e66dcfccce67d,,election_page
AR,2006,,https://www.sos.arkansas.gov/uploads/elections/2006_PP__GE_Election_Results.pdf,2026-08-22T05:47:55+00:00,data/raw/southern_sos_elections/AR/archive_pages/2006_2006_PP__GE_Election_Results.pdf.html,application/pdf,5042614,5c89aeb631bbdbe168aa3c9ea66dab772db27dea083a3ec68be7e702caf74a82,,election_page
AR,2002,,https://www.sos.arkansas.gov/uploads/elections/2002_General.pdf,2026-08-22T05:47:56+00:00,data/raw/southern_sos_elections/AR/archive_pages/2002_2002_General.pdf.html,application/pdf,12580294,82c135280e33ca1bc42e90393a3ca54ac4f617ae32161dd5a2894ebe6adb7f14,,election_page
AR,2000,,https://www.sos.arkansas.gov/uploads/elections/0710_2k_primary.xls,2026-08-22T05:47:57+00:00,data/raw/southern_sos_elections/AR/archive_pages/2000_0710_2k_primary.xls.html,application/vnd.ms-excel,2176512,fe9d438071225f173d69d31f04b63950dec2d48b28d403fab5a117115302052e,,election_page
AR,2000,,https://www.sos.arkansas.gov/uploads/elections/0710_2k_primaryrunoff.xls,2026-08-22T05:47:57+00:00,data/raw/southern_sos_elections/AR/archive_pages/2000_0710_2k_primaryrunoff.xls.html,application/vnd.ms-excel,564224,8eecc214d57f455731e48b39f94875a5d66855f1f2214ff81c06a1072967e152,,election_page
AR,1998,,https://www.sos.arkansas.gov/uploads/elections/prim98.zip,2026-08-22T05:47:58+00:00,data/raw/southern_sos_elections/AR/archive_pages/1998_prim98.zip.html,application/zip,293606,7f6e817b70e11c75f7ded41c5410e84532879c2940ca6cbbd60b7ae19aff9af4,,election_page
AR,1998,,https://www.sos.arkansas.gov/uploads/elections/runoff.zip,2026-08-22T05:47:58+00:00,data/raw/southern_sos_elections/AR/archive_pages/1998_runoff.zip.html,application/zip,231690,aa77715edb764bc757273fefa851f6cb49ae92ad38f63ea79e9e17da97e8a453,,election_page
AR,1998,,https://www.sos.arkansas.gov/uploads/elections/Gen98Ver5.zip,2026-08-22T05:47:58+00:00,data/raw/southern_sos_elections/AR/archive_pages/1998_Gen98Ver5.zip.html,application/zip,536721,042122238b735e15e2e202daa8c35d548841e7126ab0983208c9679640156248,,election_page
AR,1996,,https://www.sos.arkansas.gov/uploads/elections/1996_Official_Ballot_Results.pdf,2026-08-22T05:47:58+00:00,data/raw/southern_sos_elections/AR/archive_pages/1996_1996_Official_Ballot_Results.pdf.html,application/pdf,85270,3b28274f3195496c8e6e1a1fc7ec6f68c1db3539d11fdbb7ec98ffb7c729dd7e,,election_page
AR,2010,,https://www.sos.arkansas.gov/uploads/elections/2010_General_Election_Results_-_Fed%2C_State_-_by_Polling_Location.xlsx,2026-08-22T05:47:58+00:00,data/raw/southern_sos_elections/AR/2010/2010_General_Election_Results_-_Fed__State_-_by_Polling_Location.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,2202070,4e68e1d897dedc96dff14328aa1fa4e6debf2b01347fa2501f2105b8b1023d39,,precinct
AR,2006,,https://www.sos.arkansas.gov/uploads/elections/20070308_ARSOS_2006_Elections_Publication_Final__Revised.xls,2026-08-22T05:47:58+00:00,data/raw/southern_sos_elections/AR/2006/20070308_ARSOS_2006_Elections_Publication_Final__Revised.xls,application/vnd.ms-excel,1647104,f8d90a6154ce81edfccbf2cf824cf2b8805eceeaedb0b1bd68a96384df1683ec,,unknown
AR,2000,,https://www.sos.arkansas.gov/uploads/elections/general2000c.zip,2026-08-22T05:47:58+00:00,data/raw/southern_sos_elections/AR/2000/general2000c.zip,application/zip,7647,b26ef7d21a4090a75a1b38c8310e8bb6d48c6089d529b864f6d86cf1840f1cc0,,county
AR,2000,,https://www.sos.arkansas.gov/uploads/elections/general2000p.zip,2026-08-22T05:47:58+00:00,data/raw/southern_sos_elections/AR/2000/general2000p.zip,application/zip,157886,db8404a87d921c455494429a22194e0331330980d1053902cf5fa55dad54d9c9,,precinct
