state,election_year,status,download_count,discovered_link_count,archive_url
AR,1994,downloaded_precinct,1,1,https://www.sos.arkansas.gov/elections/research/election-results
AR,1996,downloaded_precinct,2,2,https://www.sos.arkansas.gov/elections/research/election-results
AR,1998,downloaded_precinct,1,1,https://www.sos.arkansas.gov/elections/research/election-results
AR,2000,downloaded_precinct,4,4,https://www.sos.arkansas.gov/elections/research/election-results
AR,2002,downloaded_unknown_granularity,1,1,https://www.sos.arkansas.gov/elections/research/election-results
AR,2004,downloaded_unknown_granularity,1,1,https://www.sos.arkansas.gov/elections/research/election-results
AR,2006,downloaded_unknown_granularity,2,2,https://www.sos.arkansas.gov/elections/research/election-results
AR,2008,not_found_on_archive,0,0,https://www.sos.arkansas.gov/elections/research/election-results
AR,2010,downloaded_precinct,2,2,https://www.sos.arkansas.gov/elections/research/election-results
AR,2012,downloaded_precinct,1,1,https://www.sos.arkansas.gov/elections/research/election-results
AR,2014,downloaded_precinct,1,1,https://www.sos.arkansas.gov/elections/research/election-results
AR,2016,downloaded_precinct,1,1,https://www.sos.arkansas.gov/elections/research/election-results
FL,1994,not_found_on_archive,0,0,https://dos.fl.gov/elections/data-statistics/elections-data/precinct-level-election-results
FL,1996,not_found_on_archive,0,0,https://dos.fl.gov/elections/data-statistics/elections-data/precinct-level-election-results
FL,1998,not_found_on_archive,0,0,https://dos.fl.gov/elections/data-statistics/elections-data/precinct-level-election-results
FL,2000,not_found_on_archive,0,0,https://dos.fl.gov/elections/data-statistics/elections-data/precinct-level-election-results
FL,2002,not_found_on_archive,0,0,https://dos.fl.gov/elections/data-statistics/elections-data/precinct-level-election-results
FL,2004,not_found_on_archive,0,0,https://dos.fl.gov/elections/data-statistics/elections-data/precinct-level-election-results
FL,2006,not_found_on_archive,0,0,https://dos.fl.gov/elections/data-statistics/elections-data/precinct-level-election-results
FL,2008,not_found_on_archive,0,0,https://dos.fl.gov/elections/data-statistics/elections-data/precinct-level-election-results
FL,2010,not_found_on_archive,0,0,https://dos.fl.gov/elections/data-statistics/elections-data/precinct-level-election-results
FL,2012,downloaded_precinct,1,1,https://dos.fl.gov/elections/data-statistics/elections-data/precinct-level-election-results
FL,2014,downloaded_precinct,1,1,https://dos.fl.gov/elections/data-statistics/elections-data/precinct-level-election-results
FL,2016,downloaded_precinct,1,1,https://dos.fl.gov/elections/data-statistics/elections-data/precinct-level-election-results
GA,1994,not_found_on_archive,0,0,https://sos.ga.gov/page/historical-elections-results
GA,1996,not_found_on_archive,0,0,https://sos.ga.gov/page/historical-elections-results
GA,1998,not_found_on_archive,0,0,https://sos.ga.gov/page/historical-elections-results
GA,2000,not_found_on_archive,0,0,https://sos.ga.gov/page/historical-elections-results
GA,2002,not_found_on_archive,0,0,https://sos.ga.gov/page/historical-elections-results
GA,2004,not_found_on_archive,0,0,https://sos.ga.gov/page/historical-elections-results
GA,2006,not_found_on_archive,0,0,https://sos.ga.gov/page/historical-elections-results
GA,2008,not_found_on_archive,0,0,https://sos.ga.gov/page/historical-elections-results
GA,2010,not_found_on_archive,0,0,https://sos.ga.gov/page/historical-elections-results
GA,2012,not_found_on_archive,0,0,https://sos.ga.gov/page/historical-elections-results
GA,2014,not_found_on_archive,0,0,https://sos.ga.gov/page/historical-elections-results
GA,2016,not_found_on_archive,0,0,https://sos.ga.gov/page/historical-elections-results
KY,1994,downloaded_unknown_granularity,7,7,https://elect.ky.gov/results/Pages/default.aspx
KY,1996,downloaded_unknown_granularity,11,11,https://elect.ky.gov/results/Pages/default.aspx
KY,1998,downloaded_unknown_granularity,8,8,https://elect.ky.gov/results/Pages/default.aspx
KY,2000,downloaded_unknown_granularity,507,507,https://elect.ky.gov/results/Pages/default.aspx
KY,2002,downloaded_precinct,247,247,https://elect.ky.gov/results/Pages/default.aspx
KY,2004,downloaded_precinct,247,247,https://elect.ky.gov/results/Pages/default.aspx
KY,2006,downloaded_precinct,247,120,https://elect.ky.gov/results/Pages/default.aspx
KY,2008,downloaded_precinct,249,249,https://elect.ky.gov/results/Pages/default.aspx
KY,2010,downloaded_precinct,139,139,https://elect.ky.gov/results/Pages/default.aspx
KY,2012,downloaded_precinct,126,126,https://elect.ky.gov/results/Pages/default.aspx
KY,2014,downloaded_precinct,124,124,https://elect.ky.gov/results/Pages/default.aspx
KY,2016,downloaded_precinct,118,118,https://elect.ky.gov/results/Pages/default.aspx
LA,1995,downloaded_precinct,111,111,https://www.sos.la.gov/elections-voting/post-election-statistic-files
LA,1999,downloaded_precinct,80,80,https://www.sos.la.gov/elections-voting/post-election-statistic-files
LA,2003,downloaded_precinct,88,88,https://www.sos.la.gov/elections-voting/post-election-statistic-files
LA,2007,downloaded_precinct,110,110,https://www.sos.la.gov/elections-voting/post-election-statistic-files
LA,2011,downloaded_precinct,81,81,https://www.sos.la.gov/elections-voting/post-election-statistic-files
LA,2015,downloaded_precinct,70,70,https://www.sos.la.gov/elections-voting/post-election-statistic-files
MS,1995,not_found_on_archive,0,0,https://www.sos.ms.gov/elections-voting/election-results
MS,1999,not_found_on_archive,0,0,https://www.sos.ms.gov/elections-voting/election-results
MS,2003,downloaded_precinct,82,82,https://www.sos.ms.gov/elections-voting/election-results
MS,2007,downloaded_precinct,82,82,https://www.sos.ms.gov/elections-voting/election-results
MS,2011,downloaded_precinct,82,82,https://www.sos.ms.gov/elections-voting/election-results
MS,2015,downloaded_precinct,82,82,https://www.sos.ms.gov/elections-voting/election-results
MO,1994,not_found_on_archive,0,0,https://www.sos.mo.gov/elections/s_default
MO,1996,not_found_on_archive,0,0,https://www.sos.mo.gov/elections/s_default
MO,1998,not_found_on_archive,0,0,https://www.sos.mo.gov/elections/s_default
MO,2000,not_found_on_archive,0,0,https://www.sos.mo.gov/elections/s_default
MO,2002,not_found_on_archive,0,0,https://www.sos.mo.gov/elections/s_default
MO,2004,not_found_on_archive,0,0,https://www.sos.mo.gov/elections/s_default
MO,2006,not_found_on_archive,0,0,https://www.sos.mo.gov/elections/s_default
MO,2008,not_found_on_archive,0,0,https://www.sos.mo.gov/elections/s_default
MO,2010,not_found_on_archive,0,0,https://www.sos.mo.gov/elections/s_default
MO,2012,not_found_on_archive,0,0,https://www.sos.mo.gov/elections/s_default
MO,2014,not_found_on_archive,0,0,https://www.sos.mo.gov/elections/s_default
MO,2016,not_found_on_archive,0,0,https://www.sos.mo.gov/elections/s_default
NC,1994,not_found_on_archive,0,0,https://www.ncsbe.gov/results-data/election-results/historical-election-results-data
NC,1996,not_found_on_archive,0,0,https://www.ncsbe.gov/results-data/election-results/historical-election-results-data
NC,1998,not_found_on_archive,0,0,https://www.ncsbe.gov/results-data/election-results/historical-election-results-data
NC,2000,downloaded_precinct,1,1,https://www.ncsbe.gov/results-data/election-results/historical-election-results-data
NC,2002,downloaded_precinct,2,2,https://www.ncsbe.gov/results-data/election-results/historical-election-results-data
NC,2004,downloaded_precinct,3,3,https://www.ncsbe.gov/results-data/election-results/historical-election-results-data
NC,2006,downloaded_precinct,4,4,https://www.ncsbe.gov/results-data/election-results/historical-election-results-data
NC,2008,downloaded_precinct,3,3,https://www.ncsbe.gov/results-data/election-results/historical-election-results-data
NC,2010,downloaded_precinct,3,3,https://www.ncsbe.gov/results-data/election-results/historical-election-results-data
NC,2012,downloaded_precinct,3,3,https://www.ncsbe.gov/results-data/election-results/historical-election-results-data
NC,2014,downloaded_precinct,3,3,https://www.ncsbe.gov/results-data/election-results/historical-election-results-data
NC,2016,downloaded_precinct,3,3,https://www.ncsbe.gov/results-data/election-results/historical-election-results-data
OK,1994,not_found_on_archive,0,0,https://oklahoma.gov/elections/elections-results/election-results.html
OK,1996,not_found_on_archive,0,0,https://oklahoma.gov/elections/elections-results/election-results.html
OK,1998,not_found_on_archive,0,0,https://oklahoma.gov/elections/elections-results/election-results.html
OK,2000,not_found_on_archive,0,0,https://oklahoma.gov/elections/elections-results/election-results.html
OK,2002,not_found_on_archive,0,0,https://oklahoma.gov/elections/elections-results/election-results.html
OK,2004,not_found_on_archive,0,0,https://oklahoma.gov/elections/elections-results/election-results.html
OK,2006,not_found_on_archive,0,0,https://oklahoma.gov/elections/elections-results/election-results.html
OK,2008,not_found_on_archive,0,0,https://oklahoma.gov/elections/elections-results/election-results.html
OK,2010,downloaded_precinct,1,1,https://oklahoma.gov/elections/elections-results/election-results.html
OK,2012,downloaded_precinct,1,1,https://oklahoma.gov/elections/elections-results/election-results.html
OK,2014,downloaded_precinct,1,1,https://oklahoma.gov/elections/elections-results/election-results.html
OK,2016,downloaded_precinct,1,1,https://oklahoma.gov/elections/elections-results/election-results.html
