state_code,cycle,geography_type,geography_rows,validated_rows,total_votes
FL,2012,precinct,6319,6319,8486746.0
GA,2012,precinct,2819,2819,3897839.0
MS,2012,precinct,1867,1867,1285584.0
NC,2012,precinct,3054,3054,4505372.0
VA,2012,precinct,2723,0,3864880.0
AL,2020,census_block,185976,185976,2315969.640000038
AR,2020,census_block,136422,136422,1197713.0300000084
FL,2020,census_block,390066,390066,11036098.590000048
GA,2020,census_block,232717,232717,4998480.410000133
KY,2020,census_block,132662,132662,2125353.169999964
LA,2020,census_block,142874,142874,2133456.310000003
MO,2020,census_block,253632,253632,3012952.259999988
MS,2020,census_block,112241,112241,1304188.349999997
NC,2020,census_block,236638,236638,5491746.370000017
OK,2020,census_block,180154,180154,1548901.3399999961
SC,2020,census_block,146844,146844,2504559.2499999595
TN,2020,census_block,179717,179717,3026062.220000078
TX,2020,census_block,668757,668757,11276116.949999453
VA,2020,census_block,163491,163491,4440759.930000111
AL,2024,precinct,1945,1945,2263975.0
AR,2024,precinct,2681,2681,1181720.0
FL,2024,precinct,5583,5583,10933177.0
GA,2024,precinct,2680,2680,5243208.0
KY,2024,precinct,3207,3207,2074526.0
LA,2024,precinct,3646,3646,2006975.0
MO,2024,precinct,3061,3061,2994837.0
MS,2024,precinct,1730,1730,1227385.0
NC,2024,precinct,2655,2655,5695832.0
OK,2024,precinct,1439,1439,1020311.0
SC,2024,precinct,2308,2308,2541877.0
TN,2024,precinct,1858,1858,3063942.0
TX,2024,precinct,9718,9718,11394783.0
VA,2024,precinct,2536,2536,4504905.0
