state,election_year,url,link_text,reason
AR,2004,https://www.sos.arkansas.gov/elections/research/ee-sos-site.ark.org/uploads/elections/2004_General_Election_and_Non-Partisan_Judicial_Runoff_Certification_Report.pdf,2004 General Election and Non-Partisan Judicial Runoff,detail_fetch_failed: 404 Client Error: Not Found for url: https://www.sos.arkansas.gov/elections/research/ee-sos-site.ark.org/uploads/elections/2004_General_Election_and_Non-Partisan_Judicial_Runoff_Certification_Report.pdf
GA,,https://sos.ga.gov/page/historical-elections-results,archive page,archive_fetch_failed: 403 Client Error: Forbidden for url: https://sos.ga.gov/page/historical-elections-results
MS,,https://www.sos.ms.gov/elections-voting/election-results,archive page,archive_fetch_failed: 403 Client Error: Forbidden for url: https://www.sos.ms.gov/elections-voting/election-results
