state,cycle,target_candidates,matched_candidates,match_coverage,selected_report_details,acquisition_status
FL,2016,233,233,1.0,0,source_measure_includes_in_kind_and_loan_records
FL,2018,236,236,1.0,0,source_measure_includes_in_kind_and_loan_records
FL,2020,252,251,0.996031746031746,0,source_measure_includes_in_kind_and_loan_records
FL,2022,250,250,1.0,0,source_measure_includes_in_kind_and_loan_records
FL,2024,238,236,0.9915966386554622,0,source_measure_includes_in_kind_and_loan_records
MO,2016,255,0,0.0,0,legacy_election_index_unavailable_in_current_portal
MO,2018,313,0,0.0,0,legacy_election_index_unavailable_in_current_portal
MO,2020,270,255,0.9444444444444444,0,candidate_committees_acquired_report_download_blocked_by_recaptcha
MO,2022,260,250,0.9615384615384616,0,candidate_committees_acquired_report_download_blocked_by_recaptcha
MO,2024,248,229,0.9233870967741936,0,candidate_committees_acquired_report_download_blocked_by_recaptcha
MS,2019,213,93,0.4366197183098591,142,selected_electronic_and_scanned_filing_pdfs_acquired
MS,2023,50,20,0.4,31,selected_electronic_and_scanned_filing_pdfs_acquired
TN,2016,171,169,0.9883040935672516,1180,candidate_report_lists_acquired
TN,2018,201,201,1.0,1352,candidate_report_lists_acquired
TN,2020,162,162,1.0,1159,candidate_report_lists_acquired
TN,2022,160,160,1.0,1126,candidate_report_lists_acquired
TN,2024,140,139,0.9928571428571428,953,candidate_report_lists_acquired
NC,2016,262,257,0.9809160305343512,104020,exact_candidate_committee_cycle_transaction_batches_acquired
NC,2018,337,334,0.9910979228486648,178956,exact_candidate_committee_cycle_transaction_batches_acquired
NC,2020,326,325,0.9969325153374232,686195,exact_candidate_committee_cycle_transaction_batches_acquired
NC,2022,286,281,0.9825174825174824,156003,exact_candidate_committee_cycle_transaction_batches_acquired
NC,2024,264,259,0.981060606060606,162176,exact_candidate_committee_cycle_transaction_batches_acquired
GA,2016,28,5,0.1785714285714285,0,targeted_legacy_candidate_registration
GA,2018,32,5,0.15625,0,targeted_legacy_candidate_registration
GA,2020,46,12,0.2608695652173913,0,targeted_legacy_candidate_registration
GA,2022,10,0,0.0,0,targeted_recordsearch_candidate_registration
GA,2024,16,8,0.5,0,targeted_recordsearch_candidate_registration
VA,2017,160,159,0.99375,2198,scheduled_report_indexes_and_selected_xml_acquired
VA,2019,226,224,0.991150442477876,3003,scheduled_report_indexes_and_selected_xml_acquired
VA,2021,191,190,0.9947643979057592,2577,scheduled_report_indexes_and_selected_xml_acquired
VA,2023,198,195,0.9848484848484848,2386,scheduled_report_indexes_and_selected_xml_acquired
KY,2016,189,187,0.9894179894179894,0,candidate_election_totals_acquired
KY,2018,220,213,0.968181818181818,0,candidate_election_totals_acquired
KY,2020,187,180,0.962566844919786,0,candidate_election_totals_acquired
KY,2022,173,168,0.9710982658959536,0,candidate_election_totals_acquired
KY,2024,102,101,0.9901960784313726,0,candidate_election_totals_acquired
AR,2016,145,132,0.9103448275862068,132,candidate_match_review_required
AR,2018,165,149,0.9030303030303032,145,candidate_match_review_required
AR,2020,163,145,0.8895705521472392,143,candidate_match_review_required
AR,2022,183,166,0.907103825136612,166,candidate_match_review_required
AR,2024,108,99,0.9166666666666666,0,candidate_match_review_required
SC,2016,209,205,0.9808612440191388,1475,candidate_match_review_required
SC,2018,169,164,0.9704142011834319,1135,candidate_match_review_required
SC,2020,251,246,0.9800796812749004,1733,candidate_match_review_required
SC,2022,174,172,0.9885057471264368,1199,candidate_match_review_required
SC,2024,138,138,1.0,895,complete_candidate_match
