state_code,cycle,acquisition_status,normalization_status,source_files,candidate_results,limitation,build_run_id
NC,2006.0,downloaded,parsed,4,418,,RUN-35590D9B96854406956CCF248F60CB6A
NC,2008.0,downloaded,parsed,3,324,,RUN-35590D9B96854406956CCF248F60CB6A
NC,2010.0,downloaded,parsed,3,589,,RUN-35590D9B96854406956CCF248F60CB6A
NC,2012.0,downloaded,parsed,3,635,,RUN-35590D9B96854406956CCF248F60CB6A
NC,2014.0,downloaded,parsed,3,501,,RUN-35590D9B96854406956CCF248F60CB6A
NC,2016.0,downloaded,parsed,4,551,,RUN-35590D9B96854406956CCF248F60CB6A
OK,1994.0,downloaded,registered_unparsed,1,0,No validated adapter for the acquired artifact format,RUN-35590D9B96854406956CCF248F60CB6A
OK,1996.0,downloaded,registered_unparsed,1,0,No validated adapter for the acquired artifact format,RUN-35590D9B96854406956CCF248F60CB6A
OK,1998.0,downloaded,registered_unparsed,1,0,No validated adapter for the acquired artifact format,RUN-35590D9B96854406956CCF248F60CB6A
OK,2000.0,downloaded,registered_unparsed,1,0,No validated adapter for the acquired artifact format,RUN-35590D9B96854406956CCF248F60CB6A
OK,2002.0,downloaded,registered_unparsed,1,0,No validated adapter for the acquired artifact format,RUN-35590D9B96854406956CCF248F60CB6A
OK,2004.0,downloaded,registered_unparsed,1,0,No validated adapter for the acquired artifact format,RUN-35590D9B96854406956CCF248F60CB6A
OK,2006.0,downloaded,registered_unparsed,1,0,No validated adapter for the acquired artifact format,RUN-35590D9B96854406956CCF248F60CB6A
OK,2008.0,downloaded,registered_unparsed,1,0,No validated adapter for the acquired artifact format,RUN-35590D9B96854406956CCF248F60CB6A
OK,2010.0,downloaded,registered_unparsed,2,0,No validated adapter for the acquired artifact format,RUN-35590D9B96854406956CCF248F60CB6A
OK,2012.0,downloaded,parsed,2,95,,RUN-35590D9B96854406956CCF248F60CB6A
OK,2014.0,downloaded,parsed,2,111,,RUN-35590D9B96854406956CCF248F60CB6A
OK,2016.0,downloaded,parsed,2,210,,RUN-35590D9B96854406956CCF248F60CB6A
SC,1994.0,downloaded,registered_unparsed,1,0,No validated adapter for the acquired artifact format,RUN-35590D9B96854406956CCF248F60CB6A
SC,1996.0,downloaded,registered_unparsed,1,0,No validated adapter for the acquired artifact format,RUN-35590D9B96854406956CCF248F60CB6A
SC,1998.0,downloaded,registered_unparsed,1,0,No validated adapter for the acquired artifact format,RUN-35590D9B96854406956CCF248F60CB6A
SC,2000.0,downloaded,registered_unparsed,1,0,No validated adapter for the acquired artifact format,RUN-35590D9B96854406956CCF248F60CB6A
SC,2002.0,downloaded,registered_unparsed,1,0,No validated adapter for the acquired artifact format,RUN-35590D9B96854406956CCF248F60CB6A
SC,2004.0,downloaded,registered_unparsed,1,0,No validated adapter for the acquired artifact format,RUN-35590D9B96854406956CCF248F60CB6A
SC,2006.0,downloaded,registered_unparsed,2,0,No validated adapter for the acquired artifact format,RUN-35590D9B96854406956CCF248F60CB6A
SC,2008.0,downloaded,parsed,49,429,,RUN-35590D9B96854406956CCF248F60CB6A
SC,2010.0,downloaded,parsed,49,341,,RUN-35590D9B96854406956CCF248F60CB6A
SC,2012.0,downloaded,parsed,50,446,,RUN-35590D9B96854406956CCF248F60CB6A
SC,2014.0,downloaded,parsed,49,316,,RUN-35590D9B96854406956CCF248F60CB6A
SC,2016.0,downloaded,parsed,49,429,,RUN-35590D9B96854406956CCF248F60CB6A
TN,1994.0,not_found_on_archive,registered_unparsed,0,0,No validated adapter for the acquired artifact format,RUN-35590D9B96854406956CCF248F60CB6A
TN,1996.0,downloaded,registered_unparsed,1,0,No validated adapter for the acquired artifact format,RUN-35590D9B96854406956CCF248F60CB6A
TN,1998.0,downloaded,registered_unparsed,25,0,No validated adapter for the acquired artifact format,RUN-35590D9B96854406956CCF248F60CB6A
TN,2000.0,downloaded,registered_unparsed,42,0,No validated adapter for the acquired artifact format,RUN-35590D9B96854406956CCF248F60CB6A
TN,2002.0,downloaded,registered_unparsed,47,0,No validated adapter for the acquired artifact format,RUN-35590D9B96854406956CCF248F60CB6A
TN,2004.0,downloaded,registered_unparsed,38,0,No validated adapter for the acquired artifact format,RUN-35590D9B96854406956CCF248F60CB6A
TN,2006.0,downloaded,registered_unparsed,65,0,No validated adapter for the acquired artifact format,RUN-35590D9B96854406956CCF248F60CB6A
TN,2008.0,downloaded,parsed,51,230,,RUN-35590D9B96854406956CCF248F60CB6A
TN,2010.0,downloaded,parsed,40,282,,RUN-35590D9B96854406956CCF248F60CB6A
TN,2012.0,downloaded,parsed,30,267,,RUN-35590D9B96854406956CCF248F60CB6A
TN,2014.0,downloaded,parsed,3,240,,RUN-35590D9B96854406956CCF248F60CB6A
TN,2016.0,downloaded,parsed,3,608,,RUN-35590D9B96854406956CCF248F60CB6A
TX,,external_or_missing,external_repository,0,0,Texas results remain in the companion Texas repository,RUN-35590D9B96854406956CCF248F60CB6A
VA,1995.0,not_found_on_archive,registered_unparsed,0,0,No validated adapter for the acquired artifact format,RUN-35590D9B96854406956CCF248F60CB6A
VA,1997.0,not_found_on_archive,registered_unparsed,0,0,No validated adapter for the acquired artifact format,RUN-35590D9B96854406956CCF248F60CB6A
VA,1999.0,not_found_on_archive,registered_unparsed,0,0,No validated adapter for the acquired artifact format,RUN-35590D9B96854406956CCF248F60CB6A
VA,2001.0,not_found_on_archive,registered_unparsed,0,0,No validated adapter for the acquired artifact format,RUN-35590D9B96854406956CCF248F60CB6A
VA,2003.0,not_found_on_archive,registered_unparsed,0,0,No validated adapter for the acquired artifact format,RUN-35590D9B96854406956CCF248F60CB6A
VA,2005.0,downloaded,parsed,1,261,,RUN-35590D9B96854406956CCF248F60CB6A
VA,2007.0,downloaded,parsed,1,245,,RUN-35590D9B96854406956CCF248F60CB6A
VA,2009.0,downloaded,parsed,1,284,,RUN-35590D9B96854406956CCF248F60CB6A
VA,2011.0,downloaded,parsed,1,241,,RUN-35590D9B96854406956CCF248F60CB6A
VA,2013.0,downloaded,parsed,1,266,,RUN-35590D9B96854406956CCF248F60CB6A
VA,2015.0,downloaded,parsed,1,243,,RUN-35590D9B96854406956CCF248F60CB6A
