state,cycle,chamber,district,party,candidate,provider_candidate,provider_identity,candidate_filer_id,campaign_id,match_score,match_margin,candidates_considered,match_status,event_target,committee_names,committee_name,source_path,registration_cycle,source_reported_total,match_method,adjudication_id,record_count,total_contributions
FL,2016,house,1,R,"ingram, clay",Clay Ingram,house|1|CLAY INGRAM|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,2,D,"guillory, ray",Ray Guillory,house|2|RAY GUILLORY|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,2,R,"white, frank",Frank White,house|2|FRANK WHITE|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,3,R,"williamson, jayer",Jayer Williamson,house|3|JAYER WILLIAMSON|R,,,100.0,65.51724137931035,2,accepted_automatic,,,,,,,,,,
FL,2016,house,4,R,"ponder, mel",Mel Ponder,house|4|MEL PONDER|R,,,100.0,68.42105263157895,5,accepted_automatic,,,,,,,,,,
FL,2016,house,5,R,"drake, brad",Brad Drake,house|5|BRAD DRAKE|R,,,100.0,60.0,2,accepted_automatic,,,,,,,,,,
FL,2016,house,6,R,"trumbull, jay",Jay Trumbull,house|6|JAY TRUMBULL|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,7,R,"beshears, halsey w",Halsey Beshears,house|7|HALSEY BESHEARS|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,8,D,"alexander, ramon",Ramon Alexander,house|8|RAMON ALEXANDER|D,,,100.0,48.38709677419355,4,accepted_automatic,,,,,,,,,,
FL,2016,house,9,D,"ausley, loranne",Loranne Ausley,house|9|LORANNE AUSLEY|D,,,100.0,58.97435897435898,3,accepted_automatic,,,,,,,,,,
FL,2016,house,9,R,"messer, jim",Jim Messer,house|9|JIM MESSER|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,10,D,"bullard, jerry l",Jerry Lawrence Bullard,house|10|JERRY LAWRENCE BULLARD|D,,,100.0,69.23076923076923,2,accepted_automatic,,,,,,,,,,
FL,2016,house,10,R,"porter, elizabeth w",Elizabeth Porter,house|10|ELIZABETH PORTER|R,,,100.0,67.74193548387096,2,accepted_automatic,,,,,,,,,,
FL,2016,house,11,R,"byrd, cord",Cord Byrd,house|11|CORD BYRD|R,,,100.0,61.90476190476191,7,accepted_automatic,,,,,,,,,,
FL,2016,house,12,R,"yarborough, clay",Clay Yarborough,house|12|CLAY YARBOROUGH|R,,,100.0,57.142857142857146,6,accepted_automatic,,,,,,,,,,
FL,2016,house,13,D,"davis, tracie",Tracie Davis,house|13|TRACIE DAVIS|D,,,100.0,62.96296296296296,4,accepted_automatic,,,,,,,,,,
FL,2016,house,13,R,"griffin, mark l",Mark L. Griffin,house|13|MARK L GRIFFIN|R,,,100.0,65.71428571428571,5,accepted_automatic,,,,,,,,,,
FL,2016,house,14,D,"daniels, kimberly",Kimberly Daniels,house|14|KIMBERLY DANIELS|D,,,100.0,46.66666666666666,5,accepted_automatic,,,,,,,,,,
FL,2016,house,14,R,"whitfield, christian m",Christian M. Whitfield,house|14|CHRISTIAN M WHITFIELD|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,15,R,"fant, jay",Jay Fant,house|15|JAY FANT|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,16,R,"fischer, jason",Jason Fischer,house|16|JASON FISCHER|R,,,100.0,68.0,2,accepted_automatic,,,,,,,,,,
FL,2016,house,17,R,"stevenson, cyndi",Cyndi Stevenson,house|17|CYNDI STEVENSON|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,18,R,"cummings, travis",Travis Cummings,house|18|TRAVIS CUMMINGS|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,19,D,"snodgrass, hubert (joe)","Hubert ""Joe"" Snodgrass",house|19|HUBERT JOE SNODGRASS|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,19,R,"payne, bobby",Bobby Payne,house|19|BOBBY PAYNE|R,,,100.0,76.0,3,accepted_automatic,,,,,,,,,,
FL,2016,house,20,D,"watson, clovis, jr",Clovis Watson Jr.,house|20|CLOVIS WATSON|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,21,D,"wheeler, marihelen",Marihelen Wheeler,house|21|MARIHELEN WHEELER|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,21,R,"clemons, chuck",Chuck Clemons,house|21|CHUCK CLEMONS|R,,,100.0,71.42857142857143,3,accepted_automatic,,,,,,,,,,
FL,2016,house,22,R,"stone, charlie",Charlie Stone,house|22|CHARLIE STONE|R,,,100.0,68.42105263157895,2,accepted_automatic,,,,,,,,,,
FL,2016,house,23,D,"perry, rick",Rick Perry,house|23|RICK PERRY|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,23,R,"mcclain, stan",Stan McClain,house|23|STAN MC CLAIN|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,24,D,"morley, adam",Adam Morley,house|24|ADAM MORLEY|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,24,R,"renner, paul",Paul Renner,house|24|PAUL RENNER|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,25,D,"bickford, noel c",Noel Cheryl Bickford,house|25|NOEL CHERYL BICKFORD|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,25,R,"leek, tom",Tom Leek,house|25|TOM LEEK|R,,,100.0,77.77777777777777,4,accepted_automatic,,,,,,,,,,
FL,2016,house,26,D,"henry, patrick",Patrick Henry,house|26|PATRICK HENRY|D,,,100.0,65.21739130434783,2,accepted_automatic,,,,,,,,,,
FL,2016,house,26,R,"cantu, michael",Michael Cantu,house|26|MICHAEL CANTU|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,27,D,"mann, robert l",Robert L. Mann,house|27|ROBERT L MANN|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,27,R,"santiago, david",David Santiago,house|27|DAVID SANTIAGO|R,,,100.0,48.14814814814814,2,accepted_automatic,,,,,,,,,,
FL,2016,house,28,R,"brodeur, jason",Jason Brodeur,house|28|JASON BRODEUR|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,29,R,"plakon, scott",Scott Plakon,house|29|SCOTT PLAKON|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,30,D,"yadav, ryan n",Ryan Neal Yadav,house|30|RYAN NEAL YADAV|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,30,R,"cortes, bob",Bob Cortes,house|30|BOB CORTES|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
