historical_war_run_id,cycle,lag_context_available,n,missing_context_share,headline_mean_abs_lag_component,no_lag_spec_n,no_lag_spec_mean_diff,no_lag_spec_median_diff,no_lag_spec_sd_diff,no_lag_spec_min_diff,no_lag_spec_max_diff,no_lag_spec_p05_diff,no_lag_spec_p95_diff,no_lag_spec_mae,no_lag_spec_max_abs_diff,no_lag_spec_headline_mae,no_lag_spec_alternative_mae,no_lag_spec_sign_change_share,no_lag_spec_pearson,no_lag_spec_spearman,no_lag_spec_sign_changes,lag_available_fit_n,lag_available_fit_mean_diff,lag_available_fit_median_diff,lag_available_fit_sd_diff,lag_available_fit_min_diff,lag_available_fit_max_diff,lag_available_fit_p05_diff,lag_available_fit_p95_diff,lag_available_fit_mae,lag_available_fit_max_abs_diff,lag_available_fit_headline_mae,lag_available_fit_alternative_mae,lag_available_fit_sign_change_share,lag_available_fit_pearson,lag_available_fit_spearman,lag_available_fit_sign_changes
AL-HIST-WAR-V1-76814789B2F7641E4255,all,all,412,0.043689320388349516,3.477228028272471,412,2.446184542648837,2.1073840689259056,4.661953388068198,-25.55087764303508,16.71316030505276,-5.138844571724247,10.224429189915092,4.0259190473782684,25.55087764303508,24.614565190323972,26.954751589443838,0.04854368932038835,0.9819623649772705,0.9822188071984782,20,412,-6.864116604455198,-4.792307067545863,9.907642541480731,-45.06906739797347,19.38196091263729,-23.977378495441215,5.124352251820645,8.597395240715352,45.06906739797347,24.614565190323972,22.913816078993282,0.1529126213592233,0.930576139910772,0.9156307059061131,63
AL-HIST-WAR-V1-76814789B2F7641E4255,all,available,394,0.0,3.636086161543802,394,2.3809599647660065,1.9999178923721166,4.751741675775904,-25.55087764303508,16.71316030505276,-5.265738304784911,10.256004981794439,4.032865081386631,25.55087764303508,25.07523506815866,27.430895147555468,0.048223350253807105,0.9817170128097876,0.9819568137974536,19,394,-6.761195208870412,-4.723281556017311,10.057345676892117,-45.06906739797347,19.38196091263729,-24.363914735547812,5.422027225564513,8.573659163538391,45.06906739797347,25.07523506815866,23.4355758352756,0.1446700507614213,0.9298979476701067,0.9155956606808181,57
AL-HIST-WAR-V1-76814789B2F7641E4255,all,missing,18,1.0,0.0,18,3.873878080750784,4.0329462181285685,1.102502229660922,2.00841094724023,5.8640553323501035,2.0922423769577954,5.325597874102199,3.873878080750784,5.8640553323501035,14.531013419942553,16.532498150778295,0.05555555555555555,0.9979233099654974,0.9896800825593396,1,18,-9.11695159669993,-9.038467835550476,5.405714410833725,-17.186933014783058,-0.045407443937351744,-16.899800215911664,-1.2148519897448014,9.11695159669993,17.186933014783058,14.531013419942553,11.49307474703591,0.3333333333333333,0.9425152313916636,0.9298245614035088,6
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,all,72,0.06944444444444445,3.893446831844503,72,3.7127621175093375,4.003710181226195,5.667802107020737,-9.304396340691785,16.71316030505276,-7.281434882872935,13.082001105700067,5.555950876854215,16.71316030505276,23.15645707920433,26.325476714526676,0.08333333333333333,0.9738372416280441,0.9774905138594123,6,72,-14.686091927228587,-15.445836998064998,15.710282125889474,-45.06906739797347,19.38196091263729,-41.64983536845776,15.620803708648905,18.628760803872574,45.06906739797347,23.15645707920433,20.24704861845058,0.2916666666666667,0.8434672190505204,0.7643899929255902,21
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,available,67,0.0,4.184002565564241,67,3.6379816488345798,3.6150773057200354,5.8678584960947004,-9.304396340691785,16.71316030505276,-7.372663211093341,13.113663269831077,5.618721808130569,16.71316030505276,24.27953239305047,27.33319376251993,0.08955223880597014,0.9735106490033751,0.9766142549285659,6,67,-14.768673340392866,-15.630958110470905,16.240087900102452,-45.06906739797347,19.38196091263729,-41.84527774971937,15.964155063108175,19.005571237681924,45.06906739797347,24.27953239305047,21.188870868370973,0.2537313432835821,0.8425825585203264,0.7571633809561819,17
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,missing,5,1.0,0.0,5,4.71482039775109,4.669676482874198,0.8530790866008445,3.8333376729581943,5.8640553323501035,3.861961444540044,5.737359459821184,4.71482039775109,5.8640553323501035,8.107247873666042,12.822068271417132,0.0,0.9954793273603054,0.9999999999999999,0,5,-13.57950099082726,-15.104011159557023,5.250495472029091,-17.186933014783058,-4.431522147232945,-17.11937235622508,-6.410399499900376,13.57950099082726,17.186933014783058,8.107247873666042,7.626630469517326,0.8,0.8179585335476032,0.8999999999999998,4
AL-HIST-WAR-V1-76814789B2F7641E4255,1998,all,85,0.023529411764705882,2.9407272864549348,85,6.42678644158975,6.707631973525935,3.340802170371218,-1.6233317451487537,15.636342018424207,1.1690112850064975,11.79423343297196,6.476332792754074,15.636342018424207,29.116821605697837,34.985782332443456,0.047058823529411764,0.9847858242471473,0.9828219659957007,4,85,-4.158797661159726,-2.6447340187121995,7.94026670832914,-20.663645617163578,16.37308563624301,-18.01596136973808,7.681608839063597,6.8007099838710126,20.663645617163578,29.116821605697837,26.24540145072794,0.11764705882352941,0.9291216977139324,0.9199726402188783,10
AL-HIST-WAR-V1-76814789B2F7641E4255,1998,available,83,0.0,3.0115881849237285,83,6.484649524294497,6.772624321728742,3.359805128148547,-1.6233317451487537,15.636342018424207,1.1551335971409502,11.807223936611654,6.535389763438684,15.636342018424207,29.23952073496226,35.152902960922404,0.04819277108433735,0.9847751821067425,0.9824734477981613,4,83,-4.000488074528975,-2.535910213213164,7.967422184382955,-20.663645617163578,16.37308563624301,-18.073641340045516,7.799385756734157,6.706060935136919,20.663645617163578,29.23952073496226,26.53498802263233,0.10843373493975904,0.9290988684642962,0.9207002224927585,9
AL-HIST-WAR-V1-76814789B2F7641E4255,1998,missing,2,1.0,0.0,2,4.025468509342804,4.025468509342804,0.26494531921458386,3.8381238774825377,4.212813141203071,3.8568583406685644,4.1940786780170445,4.025468509342804,4.212813141203071,24.024807741223967,28.05027625056677,0.0,,,0,2,-10.728645506335887,-10.728645506335887,1.50575518417605,-11.793375207873572,-9.663915804798204,-11.686902237719803,-9.770388774951973,10.728645506335887,11.793375207873572,24.024807741223967,14.227558716695501,0.5,,,1
AL-HIST-WAR-V1-76814789B2F7641E4255,2002,all,74,0.0945945945945946,3.2210554038375694,74,1.0545859454678073,2.0164333119614413,3.8534490415836364,-6.764610476655587,9.037787548677972,-5.808948778765148,6.252497303716173,3.513909731451006,9.037787548677972,22.17507217221173,22.991336636503835,0.08108108108108109,0.9877185565705117,0.9844502036282856,6,74,-10.802515987363618,-9.47910826836761,7.859366886028929,-27.738787829288782,7.2007293274353685,-23.812617732649468,2.0223061792292425,11.325159795685122,27.738787829288782,22.17507217221173,22.035228436979743,0.25675675675675674,0.9632133108807526,0.953113661606812,19
AL-HIST-WAR-V1-76814789B2F7641E4255,2002,available,67,0.0,3.557583580357913,67,0.8078867766562337,1.8966318811041276,3.9521779920091618,-6.764610476655587,9.037787548677972,-5.815808462040699,6.3865314485349405,3.5241548387869304,9.037787548677972,22.711692046277147,23.637316418167543,0.07462686567164178,0.9877663198045539,0.9839173118365394,5,67,-10.98779248426713,-9.551450301771094,8.15621302295391,-27.738787829288782,7.2007293274353685,-23.8276009131098,2.053970890975264,11.565040869577444,27.738787829288782,22.711692046277147,22.874101648791267,0.26865671641791045,0.96438067404417,0.9532684172719292,18
AL-HIST-WAR-V1-76814789B2F7641E4255,2002,missing,7,1.0,0.0,7,3.4158494183785844,3.894853991862263,1.2893504881171367,2.00841094724023,4.850567048478915,2.0379985106699587,4.827218461588602,3.4158494183785844,4.850567048478915,17.038853377585642,16.808387297722593,0.14285714285714285,0.9985854018595239,1.0,1,7,-9.029155231287143,-8.413019866302747,3.9644079446668394,-13.853059653404749,-4.152256975555213,-13.845848711591023,-4.4682806867603135,9.029155231287143,13.853059653404749,17.038853377585642,14.006013409640905,0.14285714285714285,0.9864817255159579,1.0,1
AL-HIST-WAR-V1-76814789B2F7641E4255,2006,all,62,0.06451612903225806,4.277401014539149,62,0.20996549878854798,0.6910885566074718,4.374942993224645,-25.55087764303508,8.607813611041095,-5.038903205711285,4.244948033160997,2.6638156456213533,25.55087764303508,34.21064441909975,35.16987532675431,0.0,0.9885698926631507,0.9935534234846769,0,62,-5.591764480828508,-5.116267445118128,6.263361038552777,-35.1138673660282,9.444013610805428,-14.728198780051768,1.6441834363050487,6.236893090904897,35.1138673660282,34.21064441909975,31.00526729485826,0.08064516129032258,0.9830563695770335,0.9845382891390295,5
AL-HIST-WAR-V1-76814789B2F7641E4255,2006,available,58,0.0,4.572394187955641,58,-0.020275165388499758,0.5662337760374272,4.428094245514302,-25.55087764303508,8.607813611041095,-5.053308590124401,4.193969083935977,2.602806026053464,25.55087764303508,35.644130015846486,36.565808767017856,0.0,0.9890433288241696,0.9934787289673629,0,58,-5.778330200975635,-5.319175479581676,6.396105333912805,-35.1138673660282,9.444013610805428,-14.970309555937858,1.7430734414970657,6.467950439333155,35.1138673660282,35.644130015846486,32.41519983591431,0.08620689655172414,0.9841660630211743,0.9853579008889847,5
AL-HIST-WAR-V1-76814789B2F7641E4255,2006,missing,4,1.0,0.0,4,3.5484551293557405,3.7966880852387135,0.8629327147909789,2.347311464954469,4.253132881991066,2.5208057849744585,4.228578335500861,3.5484551293557405,4.253132881991066,13.425103266272085,14.92884044293298,0.0,0.9991537610080754,1.0,0,4,-2.8865615386951613,-2.0931790648021797,3.15386434179239,-7.314480581238934,-0.045407443937351744,-6.632078529995948,-0.2517800108445489,2.8865615386951613,7.314480581238934,13.425103266272085,10.561245449545602,0.0,0.9827815813744954,0.7999999999999999,0
AL-HIST-WAR-V1-76814789B2F7641E4255,2010,all,63,0.0,3.761376658087094,63,0.22730458392038502,0.25723180808985546,3.416199540632014,-8.846835211487821,10.510729940609785,-5.474228619490133,4.794034898346316,2.3543920502534132,10.510729940609785,20.128069820154167,21.127794377274718,0.047619047619047616,0.9886561058048932,0.9826228878648233,3,63,-3.5931207774813503,-3.268357610082017,4.430563683275629,-17.00789094735358,4.896377810993336,-12.244448104844494,2.594522647326367,4.240067865421203,17.00789094735358,20.128069820154167,19.811409227006887,0.07936507936507936,0.9885950221772726,0.984447004608295,5
