historical_war_run_id,feature,term_family,std_historical_pooled_1994_2014,std_historical_1994_2006,std_historical_2010_2014,coefficient_modern_backcast,coefficient_historical_pooled_1994_2014,coefficient_historical_1994_2006,coefficient_historical_2010_2014,era_drift,pooled_vs_modern_drift,abs_era_drift,era_comparable
AL-HIST-WAR-V1-76814789B2F7641E4255,__intercept__,intercept,,,,0.3602135486136355,11.573507614184606,23.61500810437482,8.17534698832884,-15.43966111604598,11.21329406557097,15.43966111604598,False
AL-HIST-WAR-V1-76814789B2F7641E4255,incumbency_balance,structural,0.7588203186473608,0.7197724845382083,0.8330778979088223,6.161263239424764,13.892805588746914,13.555896520585817,6.603282193468723,-6.952614327117094,7.731542349322149,6.952614327117094,True
AL-HIST-WAR-V1-76814789B2F7641E4255,baseline_dem_margin,structural,30.579047782185217,31.23522675923733,27.277809168109805,-0.13013896105523368,-0.15169091059888515,-0.13840743329589902,-0.10290046920515324,0.03550696409074579,-0.021551949543651472,0.03550696409074579,True
AL-HIST-WAR-V1-76814789B2F7641E4255,baseline_margin_squared,structural,12.92152013422752,13.162036782318323,12.14595491483965,0.11392933243691857,-0.09261292275077146,-0.12395494921143134,-0.0006234125120536753,0.12333153669937766,-0.20654225518769004,0.12333153669937766,True
AL-HIST-WAR-V1-76814789B2F7641E4255,years_since_2016,structural,6.688207102252754,4.307724308560611,1.9965367939384873,0.13390100346120604,-0.339371012031113,0.31356132471980547,-0.7234858384022851,-1.0370471631220906,-0.473272015492319,1.0370471631220906,True
AL-HIST-WAR-V1-76814789B2F7641E4255,odd_year,structural,0.0,0.0,0.0,-3.3196894398647743,0.0,0.0,0.0,0.0,3.3196894398647743,0.0,False
AL-HIST-WAR-V1-76814789B2F7641E4255,presidential_cycle,structural,0.0,0.0,0.0,-7.288672819159002,0.0,0.0,0.0,0.0,7.288672819159002,0.0,False
AL-HIST-WAR-V1-76814789B2F7641E4255,state_code_AL,structural,0.0,0.0,0.0,-0.32434487025859443,0.0,0.0,0.0,0.0,0.32434487025859443,0.0,False
AL-HIST-WAR-V1-76814789B2F7641E4255,state_code_AR,structural,0.0,0.0,0.0,5.155410650838607,0.0,0.0,0.0,0.0,-5.155410650838607,0.0,False
AL-HIST-WAR-V1-76814789B2F7641E4255,state_code_FL,structural,0.0,0.0,0.0,1.2045033841488735,0.0,0.0,0.0,0.0,-1.2045033841488735,0.0,False
AL-HIST-WAR-V1-76814789B2F7641E4255,state_code_GA,structural,0.0,0.0,0.0,-1.5883287716774916,0.0,0.0,0.0,0.0,1.5883287716774916,0.0,False
AL-HIST-WAR-V1-76814789B2F7641E4255,state_code_KY,structural,0.0,0.0,0.0,3.978500684721858,0.0,0.0,0.0,0.0,-3.978500684721858,0.0,False
AL-HIST-WAR-V1-76814789B2F7641E4255,state_code_LA,structural,0.0,0.0,0.0,-3.7421957547134994,0.0,0.0,0.0,0.0,3.7421957547134994,0.0,False
AL-HIST-WAR-V1-76814789B2F7641E4255,state_code_MO,structural,0.0,0.0,0.0,-0.48257976377023404,0.0,0.0,0.0,0.0,0.48257976377023404,0.0,False
AL-HIST-WAR-V1-76814789B2F7641E4255,state_code_MS,structural,0.0,0.0,0.0,-7.876424378787094,0.0,0.0,0.0,0.0,7.876424378787094,0.0,False
AL-HIST-WAR-V1-76814789B2F7641E4255,state_code_NC,structural,0.0,0.0,0.0,-1.7962952984069656,0.0,0.0,0.0,0.0,1.7962952984069656,0.0,False
