historical_war_run_id,cycle,chamber,district,lag_context_available,prior_presidential_margin,raw_gap,war,war_party,headline_expected_gap,headline_zero_fill_lag_component,expected_gap_no_lag_spec,war_no_lag_spec,diff_no_lag_spec,war_party_no_lag_spec,sign_change_no_lag_spec,expected_gap_lag_available_fit,war_lag_available_fit,diff_lag_available_fit,war_party_lag_available_fit,sign_change_lag_available_fit
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,1,True,0.0234780158846421,40.27466053766787,36.12727226286624,D,4.147388274801626,4.327824291754794,-5.2653912891511325,45.540051826819,9.41277956395276,D,False,6.300762290968441,33.97389824669943,-2.153374016166815,D,False
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,3,True,19.32716970240104,20.70193604119564,22.849630183603633,D,-2.1476941424079916,2.6877606107077483,-9.076457911812161,29.7783939530078,6.928763769404167,D,False,9.641309407576511,11.06062663361913,-11.789003549984503,D,False
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,4,True,-15.774621307005514,-16.37785463820417,-13.328549189541416,R,-3.0493054486627535,-1.6503847189776772,-6.315422446208958,-10.062432191995212,3.266116997546204,R,False,12.211410436996335,-28.589265075200505,-15.260715885659089,R,False
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,6,True,-23.05528691729972,7.757056296230493,13.87955186147374,D,-6.122495565243247,-4.287754508495166,-6.684720272504354,14.441776568734847,0.5622247072611071,D,False,14.8032660546159,-7.046209758385407,-20.925761619859145,R,True
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,7,True,15.794245841577087,-2.9254723025280347,1.4157820664592942,D,-4.341254368987329,2.861647555532615,-13.11230160146051,10.186829298932476,8.771047232473183,D,False,3.8658864148451695,-6.791358717373204,-8.207140783832498,R,True
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,8,True,-16.541311801791835,58.15275011822506,64.23604525024301,D,-6.0832951320179545,-3.5061454367125977,-7.304367364097535,65.45711748232259,1.2210722320795782,D,False,14.340342517588855,43.812407600636206,-20.423637649606803,D,False
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,12,True,-15.310655898706926,17.253303499057317,23.26100055409509,D,-6.007697055037773,-1.5935452011879505,-10.840578147943072,28.093881647000387,4.832881092905296,D,False,6.8900352374448435,10.363268261612474,-12.897732292482617,D,False
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,15,True,-18.043910357655257,17.686329495109042,2.4076763880442265,D,15.278653107064816,7.178043209001961,2.2536438968005683,15.432685598308474,13.025009210264248,D,False,2.086803676712041,15.599525818397002,13.191849430352775,D,False
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,17,True,-5.164061471836247,17.808928505477446,27.759683649272553,D,-9.950755143795108,-2.8531308209993362,-13.031595406233068,30.840523911710513,3.0808402624379596,D,False,9.120958025306852,8.687970480170595,-19.071713169101958,D,False
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,19,True,23.6438976760469,20.754133142413814,32.62540574702832,D,-11.871272604614504,-4.836115252661525,-10.020785537398853,30.774918679812664,-1.8504870672156528,D,False,19.419287127229154,1.3348460151846595,-31.290559731843658,D,False
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,26,True,-6.321686525113438,21.156631856424163,27.791492582092445,D,-6.6348607256682826,-0.9085446529271817,-11.938191806700319,33.09482366312448,5.303331081032034,D,False,6.713322668632593,14.44330918779157,-13.348183394300875,D,False
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,27,True,-24.093608103388053,26.741201986702663,33.20283389329076,D,-6.461631906588098,-2.937500376566395,-10.076709212308131,36.817911199010794,3.6150773057200354,D,False,7.870378855523647,18.870823131179016,-14.332010762111743,D,False
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,28,True,8.37462221263277,20.51169079076965,28.823145030319516,D,-8.31145423954987,-0.4794798762345618,-13.580975278385633,34.092666069155285,5.269521038835769,D,False,7.319503870921038,13.192186919848611,-15.630958110470905,D,False
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,29,True,14.816197418308027,34.47109144945283,41.06968089339957,D,-6.598589443946742,1.2664468287911275,-13.60485685964361,48.07594830909644,7.006267415696868,D,False,5.717777481821981,28.753313967630845,-12.316366925768726,D,False
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,30,True,-21.84224415232079,15.83509011048188,25.75619683453526,D,-9.921106724053379,-4.63547335069097,-11.57403561107011,27.40912572155199,1.6529288870167314,D,False,10.010884512370053,5.824205598111828,-19.931991236423432,D,False
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,32,True,16.849555134393572,-32.12751555993621,-16.00267995661727,R,-16.124835603318935,-9.17302275941508,-9.547934028402958,-22.57958153153325,-6.576901574915979,R,False,24.327179047011988,-56.454694606948195,-40.45201465033092,R,False
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,33,False,,-2.8668417971304656,3.172909479185323,D,-6.039751276315789,0.0,-9.873088949273983,7.0062471521435175,3.8333376729581943,D,False,11.147181738467271,-14.014023535597737,-17.186933014783058,R,True
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,35,True,-19.232914048672026,-38.67867543450733,-19.379055168322985,R,-19.29962026618435,-12.811889916993493,-10.093634618901307,-28.58504081560603,-9.205985647283043,R,False,25.440238288338218,-64.11891372284555,-44.73985855452256,R,False
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,36,True,-17.471320278235673,-50.07397241215239,-30.634385173063666,R,-19.439587239088727,-12.834838590752708,-10.13519089839694,-39.93878151375545,-9.304396340691785,R,False,25.629480158884746,-75.70345257103713,-45.06906739797347,R,False
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,40,True,-18.675064049970366,11.440769100109373,5.911519990740295,D,5.529249109369077,2.508218792878713,-2.419075820272555,13.859844920381928,7.9483249296416325,D,False,7.248994133087006,4.191774967022367,-1.7197450237179286,D,False
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,42,True,-28.66810048639233,32.58942802956143,45.27160002656618,D,-12.682171997004751,-8.880321354496306,-8.292523308010928,40.88195133757236,-4.389648688993823,D,False,19.843230367363415,12.746197662198018,-32.52540236436816,D,False
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,43,True,-8.599645192939754,12.294305308031923,-5.822244945091228,R,18.11655025312315,9.918818488636232,2.3442665090218746,9.950038799010049,15.772283744101276,D,True,-0.4720123356109909,12.766317643642914,18.588562588734142,D,True
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,46,True,-38.70042197014753,7.430769173096607,-10.954832273993457,R,18.385601447090064,5.164537320009082,7.0778406839266506,0.35292848916995645,11.307760763163413,D,True,3.3828301764678628,4.047938996628744,15.002771270622201,D,True
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,48,True,-28.70655048396529,7.276332702163458,-12.805846068522559,R,20.082178770686017,7.520899473355534,6.451546819681369,0.8247858824820895,13.630631951004649,D,True,1.2574303398428412,6.018902362320617,18.824748430843176,D,True
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,49,False,,-2.749286337960083,0.14974526912211727,D,-2.8990316070822004,0.0,-7.568708089956399,4.819421751996316,4.669676482874198,D,False,11.426877303487892,-14.176163641447975,-14.325908910570092,R,True
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,50,True,-26.219003462899664,9.45184843425261,-8.707935006387483,R,18.159783440640094,7.1242486583389155,5.008125573851803,4.443722860400808,13.151657866788291,D,True,1.7836067521807806,7.66824168207183,16.376176688459314,D,True
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,53,True,-0.5979406128514565,-15.773160321408447,1.4906061544671232,D,-17.26376647587557,-10.3133980225892,-10.146542583799368,-5.626617737609079,-7.117223892076202,R,True,24.034272606311273,-39.80743292771972,-41.29803908218684,R,True
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,54,True,10.727772034298583,4.933568584766917,13.962369704463638,D,-9.028801119696721,-2.934417268662081,-9.903580990606985,14.837149575373902,0.8747798709102632,D,False,15.813973458077555,-10.880404873310638,-24.84277457777428,R,True
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,55,True,24.76318725042256,7.836525274864009,16.362674379547983,D,-8.526149104683975,-1.7621926993526547,-10.171246356586133,18.00777163145014,1.6450972519021576,D,False,15.618594215029258,-7.782068940165249,-24.144743319713232,R,True
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,58,True,0.5523338280808421,25.37556640487264,42.96128065870691,D,-17.58571425383427,-10.586405282115194,-10.10357704887644,35.47914345374908,-7.48213720495783,D,False,24.494094353399042,0.8814720514735974,-42.07980860723332,D,False
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,60,True,0.8444584815842909,-5.97133842262701,8.205737481699574,D,-14.177075904326584,-7.58961685952819,-10.129691895496327,4.158353472869317,-4.047384008830257,D,False,20.730875162805123,-26.702213585432133,-34.907951067131705,R,True
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,62,True,-12.109803006718568,17.837816048065772,23.643957795377744,D,-5.806141747311974,-2.8418217111853172,-7.621964590999166,25.459780639064938,1.8158228436871937,D,False,13.872976359788371,3.964839688277401,-19.679118107100344,D,False
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,64,True,-13.038710529943732,37.38759892684951,44.34982532573976,D,-6.962226398890244,-1.8732485183244636,-11.409970238997252,48.79756916584677,4.447743840107009,D,False,7.375160328152273,30.01243859869724,-14.337386727042517,D,False
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,65,True,1.6808630682245795,20.47860924761392,29.823595335419498,D,-9.344986087805578,-1.7924082996816004,-13.375949919390527,33.854559167004446,4.030963831584948,D,False,8.376590617073838,12.102018630540083,-17.721576704879414,D,False
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,66,True,-12.872433665766716,19.26725688636002,28.895219446308282,D,-9.62796255994826,-3.452644074165459,-12.303595417134913,31.57085230349493,2.675632857186649,D,False,9.256780236574357,10.010476649785662,-18.88474279652262,D,False
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,67,True,24.37780381914587,-6.152847284203233,1.8937766415372685,D,-8.046623925740501,-1.373138022637459,-10.154355904919653,4.00150862071642,2.1077319791791513,D,False,15.093029525718407,-21.24587680992164,-23.13965345145891,R,True
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,69,True,25.582226354241936,27.71669532833584,34.230859755209245,D,-6.514164426873402,-0.055457448169505597,-10.081938432939017,37.79863376127486,3.567774006065612,D,False,13.552116344857403,14.164578983478439,-20.066280771730806,D,False
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,72,True,24.38233277030339,2.384698897515598,12.583623498789471,D,-10.198924601273873,-3.250451102708542,-10.147612199206927,12.532311096722525,-0.051312402066946206,D,False,17.466770184410745,-15.082071286895147,-27.665694785684618,R,True
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,73,False,,12.56816516024248,4.210907687790916,D,8.357257472451563,0.0,2.4932021401014595,10.07496302014102,5.8640553323501035,D,False,12.788779619684508,-0.22061445944202873,-4.431522147232945,R,True
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,75,True,-28.22137157872638,25.34833337901213,12.720067142649418,D,12.62826623636271,4.405890079586516,2.3672680031967985,22.98106537581533,10.260998233165912,D,False,4.6457596780492345,20.702573700962894,7.982506558313476,D,False
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,76,False,,16.5558366368998,22.23507310288345,D,-5.6792364659836485,0.0,-9.655692996851089,26.211529633750892,3.9764565308674413,D,False,11.169893256009534,5.385943380890268,-16.849129721993183,D,False
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,lower,79,True,-10.161474473984676,14.935627371305966,20.57322265854215,D,-5.637595287236185,-2.5245730828828856,-7.74277849595201,22.678405867257975,2.1051832087158253,D,False,13.6384184799625,1.297208891343466,-19.276013767198684,D,False
