historical_war_run_id,state_code,state_name,scheduled_slices,empty_scheduled_slices,scored_races,backcast_2016_races,published_post2016_races,strict_races_registered_source_file,strict_races_source_file_unresolved,excluded_research_outcomes,excluded_baseline_not_strict,excluded_incumbency_experimental,finance_complete_races,plan_provenance,upstream_model_run_id,warehouse_build_run_id
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,AL,Alabama,4,0,97,0,97,97,0,0,0,0,97,provider-reported; plan vintage unverified,WAR-POST2016-V3-530FBD4238CC483E557C,RUN-504CE4C4DF904D88A5A40D268F3FCEAB
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,AR,Arkansas,10,0,223,28,195,223,0,0,0,0,219,provider-reported district; plan vintage unverified | provider-reported; plan vintage unverified,WAR-POST2016-V3-530FBD4238CC483E557C,RUN-504CE4C4DF904D88A5A40D268F3FCEAB
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,FL,Florida,10,0,473,73,400,473,0,16,0,16,457,provider-reported district; plan vintage unverified | provider-reported; plan vintage unverified,WAR-POST2016-V3-530FBD4238CC483E557C,RUN-504CE4C4DF904D88A5A40D268F3FCEAB
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,GA,Georgia,10,0,473,44,429,473,0,1,0,1,453,provider-reported district; plan vintage unverified,WAR-POST2016-V3-530FBD4238CC483E557C,RUN-504CE4C4DF904D88A5A40D268F3FCEAB
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,KY,Kentucky,10,0,336,70,266,336,0,8,0,8,320,provider-reported district; plan vintage unverified,WAR-POST2016-V3-530FBD4238CC483E557C,RUN-504CE4C4DF904D88A5A40D268F3FCEAB
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,LA,Louisiana,4,0,36,0,36,36,0,5,0,5,34,provider-reported; plan vintage unverified,WAR-POST2016-V3-530FBD4238CC483E557C,RUN-504CE4C4DF904D88A5A40D268F3FCEAB
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,MO,Missouri,10,0,487,75,412,487,0,15,0,15,0,provider-reported district; plan vintage unverified,WAR-POST2016-V3-530FBD4238CC483E557C,RUN-504CE4C4DF904D88A5A40D268F3FCEAB
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,MS,Mississippi,4,0,56,0,56,56,0,9,0,9,0,provider-reported district; plan vintage unverified,WAR-POST2016-V3-530FBD4238CC483E557C,RUN-504CE4C4DF904D88A5A40D268F3FCEAB
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,NC,North Carolina,10,0,622,92,530,622,0,41,0,41,622,provider-reported district; plan vintage unverified | provider-reported; plan vintage unverified,WAR-POST2016-V3-530FBD4238CC483E557C,RUN-504CE4C4DF904D88A5A40D268F3FCEAB
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,OK,Oklahoma,10,0,291,87,204,291,0,5,0,5,277,provider-reported district; plan vintage unverified | provider-reported; plan vintage unverified,WAR-POST2016-V3-530FBD4238CC483E557C,RUN-504CE4C4DF904D88A5A40D268F3FCEAB
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,SC,South Carolina,8,0,275,39,236,275,0,9,0,9,261,provider-reported district; plan vintage unverified,WAR-POST2016-V3-530FBD4238CC483E557C,RUN-504CE4C4DF904D88A5A40D268F3FCEAB
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,TN,Tennessee,10,0,302,56,246,302,0,0,0,0,301,provider-reported district; plan vintage unverified | provider-reported; plan vintage unverified,WAR-POST2016-V3-530FBD4238CC483E557C,RUN-504CE4C4DF904D88A5A40D268F3FCEAB
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,TX,Texas,10,0,467,56,411,467,0,0,0,0,456,provider-reported district; plan vintage unverified | provider-reported; plan vintage unverified,WAR-POST2016-V3-530FBD4238CC483E557C,RUN-504CE4C4DF904D88A5A40D268F3FCEAB
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,VA,Virginia,6,2,142,0,142,142,0,193,151,42,138,provider-reported district; plan vintage unverified,WAR-POST2016-V3-530FBD4238CC483E557C,RUN-504CE4C4DF904D88A5A40D268F3FCEAB
