historical_war_run_id,state_code,cycle,chamber,scored_races,finance_complete_races,lag_context_races,mean_absolute_war,finance_coverage_rate
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,LA,2019,upper,4,4,0,3.8458170216124974,1.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,LA,2023,lower,12,12,0,5.768132628356612,1.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,LA,2023,upper,5,4,0,9.601602466702465,0.8
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,MO,2016,lower,66,0,0,10.101812525530624,0.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,MO,2016,upper,9,0,0,7.622869560187117,0.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,MO,2018,lower,117,0,0,5.477929295426269,0.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,MO,2018,upper,16,0,0,6.259549721198796,0.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,MO,2020,lower,80,0,0,4.398380965142374,0.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,MO,2020,upper,10,0,0,3.0538476517706905,0.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,MO,2022,lower,69,0,0,3.694317479521681,0.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,MO,2022,upper,11,0,0,2.891985200990615,0.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,MO,2024,lower,103,0,0,3.717354884433517,0.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,MO,2024,upper,6,0,0,4.068427002631152,0.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,MS,2019,lower,24,0,0,13.458360418206206,0.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,MS,2019,upper,16,0,0,6.19862214348451,0.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,MS,2023,lower,9,0,0,8.671081646807743,0.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,MS,2023,upper,7,0,0,7.09760073017893,0.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,NC,2016,lower,60,60,0,7.265998987858356,1.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,NC,2016,upper,32,32,0,6.093094584580553,1.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,NC,2018,lower,117,117,0,8.172686570927036,1.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,NC,2018,upper,50,50,0,7.754959800837461,1.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,NC,2020,lower,107,107,0,4.556830881294234,1.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,NC,2020,upper,49,49,0,3.4924995411007558,1.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,NC,2022,lower,81,81,0,2.9462645012637405,1.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,NC,2022,upper,35,35,0,2.428740481413196,1.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,NC,2024,lower,68,68,0,5.269478589937692,1.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,NC,2024,upper,23,23,0,4.491452261457804,1.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,OK,2016,lower,70,62,0,18.61140973033433,0.8857142857142857
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,OK,2016,upper,17,17,0,17.54904480790378,1.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,OK,2018,lower,73,73,0,9.16316021098484,1.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,OK,2018,upper,18,17,0,7.424703703240916,0.9444444444444444
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,OK,2020,lower,36,35,0,8.427296954065271,0.9722222222222222
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,OK,2020,upper,12,12,0,8.660013662380736,1.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,OK,2022,lower,29,27,0,3.9816143114159153,0.9310344827586207
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,OK,2022,upper,7,7,0,6.380789869296057,1.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,OK,2024,lower,24,23,0,5.702449397887932,0.9583333333333334
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,OK,2024,upper,5,4,0,5.389732859976403,0.8
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,SC,2016,lower,32,30,0,10.614468729160787,0.9375
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,SC,2016,upper,7,7,0,15.242494102192486,1.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,SC,2018,lower,45,40,0,7.03826633171534,0.8888888888888888
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,SC,2020,lower,51,47,0,4.570518003081142,0.9215686274509803
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,SC,2020,upper,30,29,0,3.951293760668398,0.9666666666666667
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,SC,2022,lower,50,48,0,4.008748879529949,0.96
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,SC,2024,lower,42,42,0,4.023725964948229,1.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,SC,2024,upper,18,18,0,4.097648946571053,1.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,TN,2016,lower,51,51,0,8.06515998489163,1.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,TN,2016,upper,5,5,0,6.035827177793447,1.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,TN,2018,lower,73,73,73,5.091045581461705,1.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,TN,2018,upper,12,12,12,2.6060585476542655,1.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,TN,2020,lower,38,37,38,2.926081756261429,0.9736842105263158
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,TN,2020,upper,9,9,9,3.1999835573179363,1.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,TN,2022,lower,36,36,36,3.1210477251614717,1.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,TN,2022,upper,8,8,8,2.306907361050694,1.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,TN,2024,lower,60,60,60,2.556820972698069,1.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,TN,2024,upper,10,10,10,1.6110978500771762,1.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,TX,2016,lower,52,51,0,5.211343580373332,0.9807692307692307
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,TX,2016,upper,4,4,0,3.1607077537666557,1.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,TX,2018,lower,94,92,94,5.190293589767449,0.9787234042553191
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,TX,2018,upper,13,13,13,5.512204100794991,1.0
WAR-SOUTH-HIST-V1-6D84680E7B757B057AF1,TX,2020,lower,94,91,94,3.3052527117108768,0.9680851063829787
