graph_node,cycle,county_key,precinct_key,donor_vtd_id,donor_name,donor_vintage,path_length_to_seed,match_method,confidence,verification_status
1994|MONTGOMERY|ALCAZAR SHRINE TEMP,1994,MONTGMRY,ALCAZAR SHRINE TEMP,VTD2000-101-3-G,Alcazar Shrine Temple,2000,0,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
2002|MONTGOMERY|ALCAZAR SHRINE TEMPLE,2002,MONTGOMERY,ALCAZAR SHRINE TEMPLE,VTD2000-101-3-G,Alcazar Shrine Temple,2000,0,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
1998|MONTGOMERY|3G ALCAZAR SHRINE TEMP.,1998,MONTGOMERY,3G ALCAZAR SHRINE TEMP.,VTD2000-101-3-G,Alcazar Shrine Temple,2000,1,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
2002|CALHOUN|DEARMANVILLE SCHOOL,2002,CALHOUN,DEARMANVILLE SCHOOL,VTD2000-015-12,DeArmanville School,2000,0,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
1998|CALHOUN|230 DEARMANVILLE SCHOOL,1998,CALHOUN,230 DEARMANVILLE SCHOOL,VTD2000-015-12,DeArmanville School,2000,0,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
1994|CALHOUN|DEARMANVILLE SCHOOL,1994,CALHOUN,DEARMANVILLE SCHOOL,VTD2000-015-12,DeArmanville School,2000,0,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
1998|ETOWAH|0420 HIGHLAND SCHOOL,1998,ETOWAH,0420 HIGHLAND SCHOOL,VTD2000-055-12,Highland School,2000,0,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
1994|ETOWAH|HIGHLAND SCHOOL,1994,ETOWAH,HIGHLAND SCHOOL,VTD2000-055-12,Highland School,2000,0,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
2002|ETOWAH|HIGHLAND SCHOOL,2002,ETOWAH,HIGHLAND SCHOOL,VTD2000-055-12,Highland School,2000,0,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
2006|JEFFERSON|4704 ST MARK UMC,2006,JEFFERSON,4704 ST MARK UMC,VTD2010-073-4704,Saint Mark United Methodist Church,2010,0,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
2010|JEFFERSON|4704 ST MARK UMC,2010,JEFFERSON,4704 ST MARK UMC,VTD2010-073-4704,Saint Mark United Methodist Church,2010,0,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
2008|JEFFERSON|4704 ST MARK UMC,2008,JEFFERSON,4704 ST MARK UMC,VTD2010-073-4704,Saint Mark United Methodist Church,2010,1,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
2008|BALDWIN|SPANISH FORT FIRE DEPT,2008,BALDWIN,SPANISH FORT FIRE DEPT,VTD2010-003-0460,Spanish Fort Fire Department,2010,1,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
2006|BALDWIN|SPANISH FORT FIRE DEPARTMENT,2006,BALDWIN,SPANISH FORT FIRE DEPARTMENT,VTD2010-003-0460,Spanish Fort Fire Department,2010,0,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
2006|ESCAMBIA|0401-ATMORE CITY HALL #1,2006,ESCAMBIA,0401-ATMORE CITY HALL #1,VTD2010-053-0310,Atmore City Hall,2010,2,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
2010|ESCAMBIA|ATMORE CITY HALL,2010,ESCAMBIA,ATMORE CITY HALL,VTD2010-053-0310,Atmore City Hall,2010,0,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
2008|ESCAMBIA|ATMORE CITY HALL #1,2008,ESCAMBIA,ATMORE CITY HALL #1,VTD2010-053-0310,Atmore City Hall,2010,1,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
2006|ESCAMBIA|0402-ATMORE CITY HALL #2,2006,ESCAMBIA,0402-ATMORE CITY HALL #2,VTD2010-053-0310,Atmore City Hall,2010,2,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
2008|ESCAMBIA|ATMORE CITY HALL #2,2008,ESCAMBIA,ATMORE CITY HALL #2,VTD2010-053-0310,Atmore City Hall,2010,1,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
2008|JEFFERSON|4807 LIBERTY PARK BAP,2008,JEFFERSON,4807 LIBERTY PARK BAP,VTD2010-073-4807,Liberty Park Baptist Church,2010,1,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
2010|JEFFERSON|4807 LIBERTY PARK BAP,2010,JEFFERSON,4807 LIBERTY PARK BAP,VTD2010-073-4807,Liberty Park Baptist Church,2010,0,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
2006|JEFFERSON|4807 LIBERTY PARK BAP,2006,JEFFERSON,4807 LIBERTY PARK BAP,VTD2010-073-4807,Liberty Park Baptist Church,2010,0,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
2010|MOBILE|MAE EANES SCHOOL,2010,MOBILE,MAE EANES SCHOOL,VTD2010-097-72,Mae Eanes School,2010,0,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
2006|MOBILE|MAE EANES SCHOOL .2,2006,MOBILE,MAE EANES SCHOOL .2,VTD2010-097-72,Mae Eanes School,2010,0,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
2008|MOBILE|MAE EANES SCHOOL  #1,2008,MOBILE,MAE EANES SCHOOL  #1,VTD2010-097-72,Mae Eanes School,2010,1,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
2008|MOBILE|MAE EANES SCHOOL  #2,2008,MOBILE,MAE EANES SCHOOL  #2,VTD2010-097-72,Mae Eanes School,2010,1,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
2006|MOBILE|MAE EANES SCHOOL .1,2006,MOBILE,MAE EANES SCHOOL .1,VTD2010-097-72,Mae Eanes School,2010,0,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
1994|LAWRENCE|LINDSEY HALL CHURCH,1994,LAWRENCE,LINDSEY HALL CHURCH,VTD2000-079-22-1,Lindsey Hall Church,2000,0,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
1998|LAWRENCE|0480 LINDSEY HALL CHURCH,1998,LAWRENCE,0480 LINDSEY HALL CHURCH,VTD2000-079-22-1,Lindsey Hall Church,2000,0,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
2006|JEFFERSON|4806 BROOKWOOD BAP CHR,2006,JEFFERSON,4806 BROOKWOOD BAP CHR,VTD2010-073-4806,Brookwood Baptist Church,2010,0,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
2010|JEFFERSON|4806 BROOKWOOD BAP CHR,2010,JEFFERSON,4806 BROOKWOOD BAP CHR,VTD2010-073-4806,Brookwood Baptist Church,2010,0,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
2008|JEFFERSON|4806 BROOKWOOD BAP CHR,2008,JEFFERSON,4806 BROOKWOOD BAP CHR,VTD2010-073-4806,Brookwood Baptist Church,2010,1,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
2008|JEFFERSON|6013 WOODROW WILSON ELEM,2008,JEFFERSON,6013 WOODROW WILSON ELEM,VTD2010-073-6013,Woodrow Wilson Elementary School,2010,1,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
2006|JEFFERSON|6013 WOODROW WILSON ELEM,2006,JEFFERSON,6013 WOODROW WILSON ELEM,VTD2010-073-6013,Woodrow Wilson Elementary School,2010,0,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
2010|JEFFERSON|6013 WOODROW WILSON ELEM,2010,JEFFERSON,6013 WOODROW WILSON ELEM,VTD2010-073-6013,Woodrow Wilson Elementary School,2010,0,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
2002|BALDWIN|SUMMERDALE COMMUNITY HALL,2002,BALDWIN,SUMMERDALE COMMUNITY HALL,VTD2000-003-31,Summerdale Community Hall,2000,0,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
1994|BALDWIN|SUMMERDALE-COMMUNITY HALL,1994,BALDWIN,SUMMERDALE-COMMUNITY HALL,VTD2000-003-31,Summerdale Community Hall,2000,0,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
1998|BALDWIN|0260 SUMMERDALE COMMUNITY HALL,1998,BALDWIN,0260 SUMMERDALE COMMUNITY HALL,VTD2000-003-31,Summerdale Community Hall,2000,0,adjacent_cycle_alias_graph,medium,inferred_from_adjacent_cycle_aliases
