component_size,donor_count,donor_vtd_ids,nodes
3,2,VTD2000-021-170|VTD2000-021-260,1994|CHILTON|CLANTON FACILITY BLDG.|1998|CHILTON|0170 CLANTON FACILITY BLDG.|2002|CHILTON|CLANTON FACILITY BLDG_
21,6,VTD2000-073-4309|VTD2000-073-4504|VTD2000-073-5007|VTD2000-073-5301|VTD2000-073-5803|VTD2000-073-6010,1994|JEFFERSON|FIRE STATION #18|1994|JEFFERSON|FIRE STATION #2|1994|JEFFERSON|FIRE STATION #22|1994|JEFFERSON|FIRE STATION #29|1994|JEFFERSON|FIRE STATION #30|1994|JEFFERSON|FIRE STATION #31|1994|JEFFERSON|FIRE STATION #32|1998|JEFFERSON|0039 FIRE STATION #31|1998|JEFFERSON|0040 FIRE STATION #31|1998|JEFFERSON|0059 FIRE STATION #30|1998|JEFFERSON|0060 FIRE STATION #30|1998|JEFFERSON|0075 FIRE STATION #32|1998|JEFFERSON|0076 FIRE STATION #32|1998|JEFFERSON|0079 FIRE STATION #2|1998|JEFFERSON|0080 FIRE STATION #2|1998|JEFFERSON|0130 FIRE STATION #28|1998|JEFFERSON|0131 FIRE STATION #28|1998|JEFFERSON|0192 FIRE STATION #22|1998|JEFFERSON|0193 FIRE STATION #22|1998|JEFFERSON|0314 FIRE STATION #29|1998|JEFFERSON|0315 FIRE STATION #29
2,2,VTD2000-125-18|VTD2000-125-19,1994|TUSCALOOSA|COALING COMM. CENTER|1998|TUSCALOOSA|019 COALING COMM. CENTER
7,2,VTD2000-127-13|VTD2000-127-14,1998|WALKER|012 FARMSTEAD SCHOOL|1998|WALKER|013 FARMSTEAD SCHOOL|1998|WALKER|014 FARMSTEAD SCHOOL|2002|WALKER|12-FARMSTEAD SCH.|2002|WALKER|13-FARMSTEAD SCH.|2002|WALKER|14-FARMSTEAD SCH.|2002|WALKER|15-FARMSTEAD SCHOOL
3,2,VTD2000-075-13|VTD2000-075-16,1994|LAMAR|VAILS|1998|LAMAR|016 VAILS|2002|LAMAR|VAILS
5,2,VTD2000-069-3-1|VTD2000-069-4-1,1994|HOUSTON|JOHNSON HOMES|1998|HOUSTON|0040 JOHNSON HOMES #1|1998|HOUSTON|0041 JOHNSON HOMES #2|2002|HOUSTON|JOHNSON HOMES .1|2002|HOUSTON|JOHNSON HOMES .2
3,2,VTD2000-073-5406|VTD2000-073-5408,1994|JEFFERSON|COURT HOUSE|1998|JEFFERSON|0222 COURT HOUSE LOBBY|2002|JEFFERSON|5406 COURTHOUSE-LOBBY 02
6,2,VTD2000-107-2200|VTD2000-107-5500A,1994|PICKENS|ALICEVILLE 2|1994|PICKENS|ALICEVILLE 5|1998|PICKENS|2200 ALICEVILLE - 2|1998|PICKENS|5500 ALICEVILLE - 5|2002|PICKENS|ALICEVILLE - 5|2002|PICKENS|ALICEVILLE -2
3,2,VTD2000-075-11|VTD2000-075-14,1994|LAMAR|BETTS|1998|LAMAR|014 MOLLOY BETTS|2002|LAMAR|MOLLOY-BETTS
6,2,VTD2010-073-4301|VTD2010-073-4703,2006|JEFFERSON|4301 ST PETER CAT CHR|2006|JEFFERSON|4703 ST PETER CAT CHR|2008|JEFFERSON|4301 ST PETER CAT CHR|2008|JEFFERSON|4703 ST PETER CAT CHR|2010|JEFFERSON|4301 ST PETER CAT CHR|2010|JEFFERSON|4703 ST PETER CAT CHR
3,2,VTD2000-031-20|VTD2000-031-3,1994|COFFEE|LEE COMMUNITY|1998|COFFEE|0020 LEE COMMUNITY|2002|COFFEE|LEE COMMUNITY
2,2,VTD2000-125-12-2|VTD2000-125-13,1994|TUSCALOOSA|WOOD VILLAGE COMM.|1998|TUSCALOOSA|013 WOOD VILLAGE COMM.
3,2,VTD2000-017-4|VTD2000-017-6,1994|CHAMBERS|UNION HILL|1998|CHAMBERS|006 UNION HILL|2002|CHAMBERS|UNION HALL
2,2,VTD2000-125-19|VTD2000-125-20,1994|TUSCALOOSA|VANCE COMM. CENTER|1998|TUSCALOOSA|020 VANCE COMM. CENTER
6,2,VTD2000-069-11-1|VTD2000-069-3-3,1998|HOUSTON|0110 DOUG TEW COMM. CENTER #1|1998|HOUSTON|0111 DOUG TEW COMM. CENTER #2|1998|HOUSTON|0112 DOUG TEW COMM. CENTER #3|2002|HOUSTON|DOUG TEW COMMUNITY CENTER .1|2002|HOUSTON|DOUG TEW COMMUNITY CENTER .2|2002|HOUSTON|DOUG TEW COMMUNITY CENTER .3
3,2,VTD2000-021-140|VTD2000-021-220,1994|CHILTON|ISABELLA- FIRE STATION|1998|CHILTON|0140 ISABELLA FIRE STATION|2002|CHILTON|ISABELLA-FIRE STATION
2,2,VTD2000-085-1|VTD2000-085-10,1998|LOWNDES|0010 WHITEHALL TOWN HALL|2002|LOWNDES|WHITEHALL TOWN HALL
3,2,VTD2000-021-120|VTD2000-021-200,1994|CHILTON|THORSBY TOWN HALL|1998|CHILTON|0120 THORSBY TOWN HALL|2002|CHILTON|THORSBY TOWN HALL
2,2,VTD2000-005-4|VTD2000-005-7,1994|BARBOUR|BAKERHILL|1998|BARBOUR|007 BAKERHILL FIRE
3,2,VTD2000-053-0260|VTD2000-053-0300,1994|ESCAMBIA|MCCULLOUGH VFD|1998|ESCAMBIA|0260 MCCULLOGH VFD|2002|ESCAMBIA|MCCULLOGH VFD
3,2,VTD2000-021-30|VTD2000-021-50,1994|CHILTON|FAIRVIEW- FIRE STATION|1998|CHILTON|0030 FAIRVIEW FIRE STATION|2002|CHILTON|FAIRVIEW-FIRE STATION
4,2,VTD2000-073-5802|VTD2000-073-5910,1998|JEFFERSON|0312 TARRANT CITY HALL|1998|JEFFERSON|0313 TARRANT CITY HALL|2002|JEFFERSON|5910 TARRANT CITY HALL 01|2002|JEFFERSON|5910 TARRANT CITY HALL 02
6,2,VTD2000-111-2|VTD2000-111-4,1994|RANDOLPH|CORINTH|1998|RANDOLPH|2-1A CEDRON|1998|RANDOLPH|2-1B CEDRON|1998|RANDOLPH|2-2 CORINTH|2002|RANDOLPH|002- CEDRON|2002|RANDOLPH|004- CORINTH
3,2,VTD2000-075-21|VTD2000-075-23,1994|LAMAR|GUIN|1998|LAMAR|023 MT. OLIVE GUIN|2002|LAMAR|MT OLIVE-GUIN
6,2,VTD2000-107-1500|VTD2000-107-3300,1994|PICKENS|REFORM 1|1994|PICKENS|REFORM 3|1998|PICKENS|1500 REFORM - 1|1998|PICKENS|3300 REFORM - 3|2002|PICKENS|REFORM - 1|2002|PICKENS|REFORM - 3
4,2,VTD2000-091-5-10|VTD2000-091-5-2,1994|MARENGO|OCTAGON VOTING BOOTH|1994|MARENGO|OCTAGON VOTING BOOTH 2|1998|MARENGO|0510 OCTAGON VOTING BOOTH|2002|MARENGO|OCTAGON VOTING BOOTH
3,2,VTD2000-021-50|VTD2000-021-90,1994|CHILTON|VERBENA- FIRE STATION|1998|CHILTON|0050 VERBENA FIRE STATION|2002|CHILTON|VERBENA-FIRE STATION
6,2,VTD2000-055-34-1|VTD2000-055-5-1,1994|ETOWAH|HOKES BLUFF COMM. CTR.|1994|ETOWAH|HOKES BLUFF COMM. CTR. 2|1998|ETOWAH|0340 HOKES BLUFF COMMUNITY CENTER #1|1998|ETOWAH|0341 HOKES BLUFF COMMUNITY CENTER #2|2002|ETOWAH|HOKES BLUFF COMMUNITY CNTR .1|2002|ETOWAH|HOKES BLUFF COMMUNITY CNTR .2
3,2,VTD2000-041-1|VTD2000-041-10,1994|CRENSHAW|PANOLA|1998|CRENSHAW|0010 PANOLA COMMUNITY CENTER|2002|CRENSHAW|PANOLA COMMUNITY CENTER
6,2,VTD2000-107-1600|VTD2000-107-4300,1994|PICKENS|PINE GROVE 1|1994|PICKENS|PINE GROVE 4|1998|PICKENS|1600 PINE GROVE - 1|1998|PICKENS|4300 PINE GROVE - 4|2002|PICKENS|PINE GROVE|2002|PICKENS|PINE GROVE - 4
3,2,VTD2000-111-3|VTD2000-111-5,1998|RANDOLPH|3-1 CAVER'S GROVE|2002|RANDOLPH|003- CEDRON|2002|RANDOLPH|005- CAVER'S GROVE
5,2,VTD2000-073-5405|VTD2000-073-5409,1994|JEFFERSON|AVONDALE LIBRARY|1998|JEFFERSON|0216 AVONDALE LIBRARY|1998|JEFFERSON|0217 AVONDALE LIBRARY|2002|JEFFERSON|5409 AVONDALE LIBRARY 01|2002|JEFFERSON|5409 AVONDALE LIBRARY 02
4,2,VTD2000-073-5605|VTD2000-073-5607,1998|JEFFERSON|0266 BESSEMER CITY HALL|1998|JEFFERSON|0267 BESSEMER CITY HALL|2002|JEFFERSON|5607 BESSEMER CITY HALL 01|2002|JEFFERSON|5607 BESSEMER CITY HALL 02
3,2,VTD2000-021-180|VTD2000-021-270,1994|CHILTON|COURTHOUSE- CLANTON|1998|CHILTON|0180 COURTHOUSE CLANTON|2002|CHILTON|COURTHOUSE-CLANTON
5,2,VTD2000-069-3-2|VTD2000-069-8-1,1994|HOUSTON|FARM CENTER|1998|HOUSTON|0080 FARM CENTER #1|1998|HOUSTON|0081 FARM CENTER #2|2002|HOUSTON|FARM CENTER .1|2002|HOUSTON|FARM CENTER .2
2,2,VTD2000-023-10|VTD2000-023-6,1998|CHOCTAW|010 BOGUELOOSA|2002|CHOCTAW|BOGUELOOSA
3,2,VTD2000-075-18|VTD2000-075-21,1994|LAMAR|RIDGE|1998|LAMAR|021 HIGHTOGY RIDGE|2002|LAMAR|HIGHTOGY-RIDGE
5,2,VTD2000-073-5803|VTD2000-073-5807,1994|JEFFERSON|OPORTO ARMORY|1998|JEFFERSON|0322 OPORTO ARMORY|1998|JEFFERSON|0323 OPORTO ARMORY|2002|JEFFERSON|5803 OPORTO ARMORY 01|2002|JEFFERSON|5803 OPORTO ARMORY 02
6,2,VTD2000-107-1700|VTD2000-107-4200,1994|PICKENS|CARROLLTON 1|1994|PICKENS|CARROLLTON 4|1998|PICKENS|1700 CARROLLTON - 1|1998|PICKENS|4200 CARROLLTON - 4|2002|PICKENS|CARROLLTON|2002|PICKENS|CARROLLTON - 4
3,2,VTD2000-075-20|VTD2000-075-22,1994|LAMAR|CURRY|1998|LAMAR|022 MT. PLEASANT CURRY|2002|LAMAR|MT PLEASANT-CURRY
2,2,VTD2000-065-6|VTD2000-065-6B,1998|HALE|0110 SAWYERVILLE|2002|HALE|SAWYERVILLE-HEAD START SCHOOL
3,2,VTD2000-075-12|VTD2000-075-15,1994|LAMAR|TRULL|1998|LAMAR|015 TRULL|2002|LAMAR|TRULL
2,2,VTD2000-009-1|VTD2000-009-10,1998|BLOUNT|0010 MT. HIGH|2002|BLOUNT|MT_ HIGH
3,2,VTD2000-075-10|VTD2000-075-13,1994|LAMAR|MILITARY|1998|LAMAR|013 BEDFORD MILITARY|2002|LAMAR|BEDFORD-MILITARY
3,2,VTD2000-075-17|VTD2000-075-20,1994|LAMAR|WILSON|1998|LAMAR|020 FERNBANK WILSON|2002|LAMAR|FERNBANK-WILSON
3,2,VTD2000-017-11|VTD2000-017-7,1994|CHAMBERS|LANETT|1998|CHAMBERS|011 LANETT|2002|CHAMBERS|LANETT
3,2,VTD2000-053-0140|VTD2000-053-0150,1994|ESCAMBIA|FLOMATON CITY HALL|1998|ESCAMBIA|0140 FLOMATON CITY HALL|2002|ESCAMBIA|FLOMATON CITY HALL
3,2,VTD2000-053-0190|VTD2000-053-0200,1994|ESCAMBIA|HUXFORD MASONIC LODGE|1998|ESCAMBIA|0200 HUXFORD MASONIC LODGE|2002|ESCAMBIA|HUXFORD MASONIC LODGE
2,2,VTD2000-053-0010|VTD2000-053-0110,1998|ESCAMBIA|0010 DIXIE VOLUNTEER FIRE DEPT.|2002|ESCAMBIA|DIXIE VOLUNTEER FIRE DEPT_
3,2,VTD2000-111-1|VTD2000-111-11,1994|RANDOLPH|GRAHAM|1998|RANDOLPH|1-1 GRAHAM|2002|RANDOLPH|001- GRAHAM
