path,snapshot_date,election_date,source_type,coverage,apparent_valid_from,apparent_valid_to,notes,available,bytes,feature_count,crs,geometry_types,snapshot_id
data/raw/alabama_elections_and_geography/tl_2012_01_vtd10.zip,2010-04-01,,census_vtd,statewide,,,2010 Census VTD geography distributed in the 2012 TIGER/Line release; not assumed valid for a decade.,True,15921971,1993,EPSG:4269,"{""MultiPolygon"": 43, ""Polygon"": 1950}",SNAP-934C1B11D48B61CD4C36
data/raw/alabama_elections_and_geography/al_vest_16.zip,2016-11-08,2016-11-08,vest_election_precinct,statewide,2016-11-08,2016-11-08,VEST election-specific precinct geometry.,True,18769688,2000,EPSG:4269,"{""MultiPolygon"": 47, ""Polygon"": 1953}",SNAP-79F79FE1613E8007FFAF
data/raw/alabama_elections_and_geography/al_vest_18.zip,2018-11-06,2018-11-06,vest_election_precinct,statewide,2018-11-06,2018-11-06,VEST election-specific precinct geometry.,True,18912263,1992,EPSG:4269,"{""MultiPolygon"": 48, ""Polygon"": 1944}",SNAP-85B56907CD439CF725AD
data/raw/alabama_elections_and_geography/al_vest_20.zip,2020-11-03,2020-11-03,vest_election_precinct,statewide,2020-11-03,2020-11-03,VEST election-specific precinct geometry.,True,18742358,1972,EPSG:4269,"{""MultiPolygon"": 48, ""Polygon"": 1924}",SNAP-B8B5A435625D6D068646
