cycle,donor_linked_blocks,precinct_allocated_blocks,coverage
1994,148835,146861,0.9867369906272047
1998,155739,154573,0.9925131148909393
2002,150128,148732,0.9907012682510924
2006,176625,175336,0.9927020523708422
