priority_rank,top_200,case_id,cycle,county_key,precinct_key,priority_activity,legislative_activity_proxy,turnout_proxy,observed_contests,physical_adjudication_candidate,administrative_likelihood,known_race_assignments,is_split_precinct,house_district_count,senate_district_count,suggested_donor_vtd_id,suggested_donor_name,name_match_score,name_match_margin,alias_evidence,adjacent_name_evidence,geocoder_query,geocoder_evidence,intervening_submission_numbers,doj_evidence,precinct_name_norm,precinct_split_base,donor_vintage,donor_vtd_id,donor_name,name_match_method,physical_precinct_count,donor_vtd_count,vtd_inventory_relation,iterative_match_round,frozen_one_to_one,intervening_doj_candidates,intervening_geometry_candidates
11,True,PCT-26C418B1BC14,1994,MADISON,HARVEST FIRE STATION,1903.0,1903.0,1968.0,30,True,none,house-6|senate-2,False,1,1,VTD2000-089-62,Keel Mt Volunteer Fire Dept,85.5,0.0,,1998:0810 MERIDIANSVILLE FIRE DEPT. score=85.5 code_exact=0 base_exact=0 donor=VTD2000-089-76 || 2002:MAYSVILLE CENTRAL FIRE STATION score=85.5 code_exact=0 base_exact=0 donor=VTD2000-089-56 || 2002:NEW MARKET FIRE STATION score=79.1 code_exact=0 base_exact=0 donor=VTD2000-089-55 || 2002:TONEY FIRE STATION score=76.0 code_exact=0 base_exact=0 donor=VTD2000-089-65 || 2002:PLEVNA FIRE STATION score=73.5 code_exact=0 base_exact=0 donor=VTD2000-089-73,,,,,HARVEST FIRE STATION,HARVEST FIRE STATION,2000,,,ambiguous_fuzzy_name,82,98,underflow,0,False,0,0
12,True,PCT-CE70E17B988C,2002,SHELBY,CALERA RECREATION CENTER .2,1893.0,1893.0,1943.0,30,True,none,house-41|senate-14,False,1,1,VTD2000-117-20,Pea Ridge Community Center,57.692307692307686,2.790346907993957,,,"CALERA RECREATION CENTER, SHELBY County, Alabama","Calera, Alabama score=83.55 type=Locality county=Shelby County lon=-86.760616 lat=33.107202 || Shelby County, Alabama score=78.54 type=Locality county=Shelby County lon=-86.660647084902 lat=33.264280427334",2000-3501,2000-3501: Precinct (Consolidation); Polling place (Consolidation) [Submission received],CALERA RECREATION CENTER 2,CALERA RECREATION CENTER,2000,,,unmatched_name,59,22,overflow,0,False,4,1
13,True,PCT-324C32A7E2EE,1994,MARSHALL,GUNTERSVILLE RECREATION CENTER,1878.0,1878.0,1952.0,26,True,none,house-25|senate-9,False,1,1,VTD2000-095-1-5,Guntersville Rec Center,100.0,0.0,1998:0012 GUNTERSVILLE REC CENTER #3 score=86.3 conf=high rel=split_or_merge_candidate || 1998:0011 GUNTERSVILLE REC CENTER #2 score=85.9 conf=high rel=split_or_merge_candidate || 1998:0010 GUNTERSVILLE REC CENTER #1 score=85.2 conf=high rel=split_or_merge_candidate,1998:0010 GUNTERSVILLE REC CENTER #1 score=75.4 code_exact=0 base_exact=1 donor=[unresolved] || 1998:0011 GUNTERSVILLE REC CENTER #2 score=75.4 code_exact=0 base_exact=1 donor=[unresolved] || 1998:0012 GUNTERSVILLE REC CENTER #3 score=75.4 code_exact=0 base_exact=1 donor=[unresolved] || 1998:0480 ARAB NEW RECREATION CENTER #1 score=68.7 code_exact=0 base_exact=0 donor=VTD2000-095-4-8-1 || 1998:0481 ARAB NEW RECREATION CENTER #2 score=68.7 code_exact=0 base_exact=0 donor=VTD2000-095-4-8-1,,,,,GUNTERSVILLE RECREATION CENTER,GUNTERSVILLE RECREATION CENTER,2000,,,ambiguous_exact_name,42,63,underflow,0,False,0,0
14,True,PCT-5BB7CF7EC296,1994,SHELBY,RIVERCHASE CHURCH,1838.0,1838.0,2101.0,31,True,none,house-47|senate-16,False,1,1,VTD2000-117-7,Camp Branch United Methodist Church,85.5,0.0,1998:023 RIVERCHASE score=81.4 conf=medium rel=one_to_one_candidate,2002:RIVERCHASE CHURCH OF CHRIST .1 score=90.0 code_exact=0 base_exact=0 donor=VTD2000-117-12 || 2002:RIVERCHASE CHURCH OF CHRIST .2 score=90.0 code_exact=0 base_exact=0 donor=VTD2000-117-12 || 2002:RIVERCHASE CHURCH OF CHRIST .3 score=90.0 code_exact=0 base_exact=0 donor=VTD2000-117-12 || 2002:ELLIOTSVILLE PRESBYT_ CHURCH 1 score=85.5 code_exact=0 base_exact=0 donor=[unresolved] || 2002:ELLIOTSVILLE PRESBYT_ CHURCH 2 score=85.5 code_exact=0 base_exact=0 donor=[unresolved],"RIVERCHASE CHURCH, SHELBY County, Alabama",Church Of The Way International score=98.65 type=POI county=Shelby County lon=-86.790513 lat=33.353667 || Christ the King Lutheran Church LCMC score=98.14 type=POI county=Shelby County lon=-86.796523 lat=33.36311 || Riverchase Presbyterian Church score=98.14 type=POI county=Shelby County lon=-86.797189 lat=33.364781,,,RIVERCHASE CHURCH,RIVERCHASE CHURCH,2000,,,ambiguous_fuzzy_name,39,22,overflow,0,False,4,0
15,True,PCT-44F8FAFAF7DA,2002,MONTGOMERY,BELL RD. YMCA,1829.0,1829.0,2492.0,31,True,none,house-73|senate-25|senate-26,True,1,2,VTD2000-101-2-G,Hayneville Road Community Center,52.5,1.0714285714285765,,1998:2G HAYNEVILLE RD. COMM. score=85.5 code_exact=0 base_exact=0 donor=VTD2000-101-2-G || 2006:4E CLEVELAND AVE YMCA 1 score=85.5 code_exact=0 base_exact=0 donor=VTD2010-101-0405 || 2006:4E CLEVELAND AVE YMCA 2 score=85.5 code_exact=0 base_exact=0 donor=VTD2010-101-0405 || 2006:5M BELL ROAD YMCA 1 score=77.7 code_exact=0 base_exact=0 donor=VTD2010-101-0513 || 2006:5M BELL ROAD YMCA 2 score=77.7 code_exact=0 base_exact=0 donor=VTD2010-101-0513,"BELL RD YMCA, MONTGOMERY County, Alabama",YMCA score=100 type=POI county=Montgomery County lon=-86.1931187 lat=32.3459331 || YMCA score=100 type=POI county=Montgomery County lon=-86.192865 lat=32.345905,,,BELL RD YMCA,BELL RD YMCA,2000,,,unmatched_name,57,56,overflow,0,False,0,0
16,True,PCT-189E87DD0826,1998,MADISON,0220 FARLEY SCHOOL,1786.0,1786.0,3704.0,38,True,none,house-10|senate-4,False,1,1,VTD2000-089-30,Ed White Middle School,85.5,0.0,1994:FARLEY SCHOOL score=97.9 conf=high rel=split_or_merge_candidate,1994:FARLEY SCHOOL score=95.0 code_exact=0 base_exact=1 donor=[unresolved] || 1994:WEST HUNTSVILLE ELEM. SCHOOL score=85.5 code_exact=0 base_exact=0 donor=VTD2000-089-47 || 2002:WEST HUNTSVILLE ELEM SCHOOL score=85.5 code_exact=0 base_exact=0 donor=VTD2000-089-47 || 2006:WEST HUNTSVILLE ELEM SCHOOL score=85.5 code_exact=0 base_exact=0 donor=VTD2010-089-47,"FARLEY SCHOOL, MADISON County, Alabama","Farley, Alabama score=91.58 type=Locality county=Madison County lon=-86.556453 lat=34.5952928 || Farley, Huntsville, Alabama score=91.58 type=Locality county=Madison County lon=-86.56221 lat=34.59537 || School Rd, Gurley, Alabama, 35748 score=87.08 type=StreetName county=Madison County lon=-86.448326836673 lat=34.63400478359",,,FARLEY SCHOOL,FARLEY SCHOOL,2000,,,ambiguous_fuzzy_name,90,98,underflow,0,False,0,0
17,True,PCT-024928D8D297,2002,MADISON,ABUNDANT LIFE CHURCH #1,1774.0,1774.0,1847.0,36,True,none,house-10|senate-3|senate-9,True,1,2,VTD2000-089-11-C,Episcopal Church In The Cove C,85.5,0.0,,1994:THE CHURCH OF JESUS CHRIST OF LATTER. score=85.5 code_exact=0 base_exact=0 donor=[unresolved] || 1994:UNION HILL PRIMITIVE BAPTIST CHURCH score=85.5 code_exact=0 base_exact=0 donor=VTD2000-089-40,,,,,ABUNDANT LIFE CHURCH,ABUNDANT LIFE CHURCH,2000,,,ambiguous_fuzzy_name,91,98,underflow,0,False,0,0
18,True,PCT-99BB0589219D,2002,MADISON,PINEVIEW BAPTIST CHURCH #2,1767.0,1767.0,1815.0,36,True,none,house-25|house-6|senate-2,True,2,1,VTD2000-089-8,Mountainview Baptist Church,84.0,10.08695652173914,,2006:PINEVIEW BAPTIST CHURCH .2 score=96.2 code_exact=0 base_exact=1 donor=VTD2010-089-64 || 2006:PINEVIEW BAPTIST CHURCH .1 score=92.3 code_exact=0 base_exact=1 donor=VTD2010-089-64 || 1994:MOUNTAIN VIEW BAPTIST CHURCH score=77.8 code_exact=0 base_exact=0 donor=VTD2000-089-8 || 2006:MOUNTAIN VIEW BAPTIST CHURCH score=77.8 code_exact=0 base_exact=0 donor=VTD2010-089-8 || 2006:HILLWOOD BAPTIST CHURCH .2 score=73.1 code_exact=0 base_exact=0 donor=VTD2010-089-23,"PINEVIEW BAPTIST CHURCH, MADISON County, Alabama",Pineview Baptist Church score=100 type=POI county=Madison County lon=-86.703854 lat=34.838889,,,PINEVIEW BAPTIST CHURCH,PINEVIEW BAPTIST CHURCH,2000,,,unmatched_name,91,98,underflow,0,False,0,0
19,True,PCT-89DB0A39C0D3,1994,HOUSTON,NATIONAL GUARD ARMORY,1737.0,1737.0,1861.0,29,True,none,house-86|senate-29,False,1,1,VTD2000-069-11-1,Harmon,68.4,21.763636363636373,,2002:HARMON score=68.4 code_exact=0 base_exact=0 donor=VTD2000-069-11-1,,,98-1488,98-1488: Precinct (realignment); Polling place (changed) [Additional information received | Submission received],NATIONAL GUARD ARMORY,NATIONAL GUARD ARMORY,2000,,,unmatched_name,27,28,underflow,0,False,1,1
20,True,PCT-924AB4CA14CB,2002,MADISON,LITTLE INDIAN CREEK CHURCH,1737.0,1737.0,1805.0,36,True,none,house-25|house-6|senate-2,True,2,1,VTD2000-089-83,Church Of Christ Meridianville,61.07142857142856,3.293650793650791,,2006:LITTLE INDIAN CREEK CHURCH score=100.0 code_exact=0 base_exact=1 donor=VTD2010-089-58,,,,,LITTLE INDIAN CREEK CHURCH,LITTLE INDIAN CREEK CHURCH,2000,,,unmatched_name,91,98,underflow,0,False,0,0
