submission_number,affected_cases,affected_activity,affected_cycles,affected_counties,state,county,subjurisdiction,first_activity_date,last_activity_date,first_notice_date,last_notice_date,descriptions,activities,notice_count,entry_count,withdrawn,objected,precinct_candidate,precinct_terms,classification_status,priority_score,requested_materials,retrieval_status
2000-2266,32,12848.0,2002,JEFFERSON,ALABAMA,JEFFERSON,ADAMSVILLE,2000-06-05,2000-06-05,2000-06-16,2000-06-16,Precinct (Consolidation); Polling place (Consolidation),Submission received,1,1,0,0,1,consolidation | polling place | precinct,keyword_candidate,20848.0,submission packet; county resolution; precinct list; map; legal boundary description; determination correspondence,underlying_packet_not_in_local_archive
2001-0204,32,12848.0,2002,JEFFERSON,ALABAMA,JEFFERSON,,2001-01-22,2001-01-22,2001-01-25,2001-01-25,Precinct (Consolidation); Polling place (Consolidation),Submission received,1,1,0,0,1,consolidation | polling place | precinct,keyword_candidate,20848.0,submission packet; county resolution; precinct list; map; legal boundary description; determination correspondence,underlying_packet_not_in_local_archive
2000-1406,50,7274.0,1994|1998,GENEVA,ALABAMA,GENEVA,,2000-03-27,2000-05-23,2000-03-31,2000-05-26,Implementation schedule; Precinct (Deleted); Polling place (Changed) | Precinct (Consolidation); Polling place (Changed); Polling place (Consolidation),Additional information received | Submission received,2,2,0,0,1,consolidation | polling place | precinct,keyword_candidate,19774.0,submission packet; county resolution; precinct list; map; legal boundary description; determination correspondence,underlying_packet_not_in_local_archive
99-2149,43,5486.0,1994|1998,CONECUH,ALABAMA,CONECUH,,1999-08-02,1999-08-02,1999-08-09,1999-08-09,Precinct (Realignment),Submission received,1,1,0,0,1,precinct | realignment,keyword_candidate,16236.0,submission packet; county resolution; precinct list; map; legal boundary description; determination correspondence,underlying_packet_not_in_local_archive
99-2097,43,5486.0,1994|1998,CONECUH,ALABAMA,CONECUH,,1999-07-30,1999-07-30,1999-08-09,1999-08-09,Boundary changes; Precinct (Consolidation),Submission received,1,1,0,0,1,boundary | consolidation | precinct,keyword_candidate,16236.0,submission packet; county resolution; precinct list; map; legal boundary description; determination correspondence,underlying_packet_not_in_local_archive
2007-5786,19,9675.0,2006,MOBILE,ALABAMA,MOBILE,County: MOBILE,2007-11-20,2007-11-20,2007-11-26,2007-11-26,Precinct (Realignment),Submission received,1,1,0,0,1,precinct | realignment,keyword_candidate,14425.0,submission packet; county resolution; precinct list; map; legal boundary description; determination correspondence,underlying_packet_not_in_local_archive
99-0112,15,7707.0,1994|1998,TALLAPOOSA|TALPOOSA,ALABAMA,TALLAPOOSA,DADEVILLE,1999-01-19,1999-01-19,1999-01-22,1999-01-22,Precinct (Consolidation); Polling place (Consolidation),Submission received,1,1,0,0,1,consolidation | polling place | precinct,keyword_candidate,11457.0,submission packet; county resolution; precinct list; map; legal boundary description; determination correspondence,underlying_packet_not_in_local_archive
2000-3501,10,7454.0,2002,SHELBY,ALABAMA,SHELBY,,2000-08-30,2000-08-30,2000-09-01,2000-09-01,Precinct (Consolidation); Polling place (Consolidation),Submission received,1,1,0,0,1,consolidation | polling place | precinct,keyword_candidate,9954.0,submission packet; county resolution; precinct list; map; legal boundary description; determination correspondence,underlying_packet_not_in_local_archive
1999-3821,10,7401.0,1994|1998,LADRDALE|LAUDERDALE,ALABAMA,LAUDERDALE,,1999-12-15,1999-12-15,1999-12-23,1999-12-23,Precinct (Consolidation); Polling place (Consolidation),Submission received,1,1,0,0,1,consolidation | polling place | precinct,keyword_candidate,9901.0,submission packet; county resolution; precinct list; map; legal boundary description; determination correspondence,underlying_packet_not_in_local_archive
1999-3802,10,7401.0,1994|1998,LADRDALE|LAUDERDALE,ALABAMA,LAUDERDALE,,1999-12-13,2000-02-09,1999-12-17,2000-02-11,Precinct (Consolidation); Polling place (Consolidation),Additional information received | Notice of withdrawal | Submission received,2,3,1,0,1,consolidation | polling place | precinct,keyword_candidate,9901.0,submission packet; county resolution; precinct list; map; legal boundary description; determination correspondence,underlying_packet_not_in_local_archive
2000-0265,10,7401.0,1994|1998,LADRDALE|LAUDERDALE,ALABAMA,LAUDERDALE,FLORENCE,2000-01-24,2000-01-24,2000-01-28,2000-01-28,Precinct (Consolidation); Polling place (Consolidation),Submission received,1,1,0,0,1,consolidation | polling place | precinct,keyword_candidate,9901.0,submission packet; county resolution; precinct list; map; legal boundary description; determination correspondence,underlying_packet_not_in_local_archive
1999-3134,18,4558.0,1994|1998,LAWRENCE,ALABAMA,LAWRENCE,,1999-10-07,1999-10-07,1999-10-15,1999-10-15,Precinct (Realignment),Submission received,1,1,0,0,1,precinct | realignment,keyword_candidate,9058.0,submission packet; county resolution; precinct list; map; legal boundary description; determination correspondence,underlying_packet_not_in_local_archive
99-2006,19,2209.0,1994|1998,PERRY,ALABAMA,PERRY,,1999-07-26,1999-08-03,1999-07-28,1999-08-09,Precinct (Deconsolidation),Additional information received | Submission received,2,2,0,0,1,deconsolidation | precinct,keyword_candidate,6959.0,submission packet; county resolution; precinct list; map; legal boundary description; determination correspondence,underlying_packet_not_in_local_archive
1999-2006,19,2209.0,1994|1998,PERRY,ALABAMA,PERRY,,1999-09-21,1999-09-21,1999-09-24,1999-09-24,Precinct (Deconsolidation); Polling place (Location established),Additional information received,1,1,0,0,1,deconsolidation | polling place | precinct,keyword_candidate,6959.0,submission packet; county resolution; precinct list; map; legal boundary description; determination correspondence,underlying_packet_not_in_local_archive
98-1678,9,4331.0,1994,TALPOOSA,ALABAMA,TALLAPOOSA,,1998-04-30,1998-04-30,1998-05-06,1998-05-06,Precinct (realignment); Polling place (changed),Submission received,1,1,0,0,1,polling place | precinct | realignment,keyword_candidate,6581.0,submission packet; county resolution; precinct list; map; legal boundary description; determination correspondence,underlying_packet_not_in_local_archive
