party,clusters,knn_vs_median_ari,absolute_vs_within_era_ari,position_vs_missingness_ari,candidate_cycles,features,minimum_dimensions_observed,median_dimensions_observed
D,2,0.6164867008790533,0.39821221230774123,-0.014071409866554082,115,17,6,9.0
R,3,0.07989418301864058,0.2829991552544607,0.1275816006994531,159,14,5,6.0
