year,chamber,district,canonical_party,canonical_votes,canonical_name,canonical_source,person_id,canonical_candidate_id,incumbent,winner,votesmart_candidate_id,match_method,pct_dimensions_scored,pct_policies_scored,pct_response_items_scored,abortion_position,criminal_justice_position,economic_ideology,education_position,environment_position,government_reform_position,guns_position,healthcare_position,labor_position,social_ideology,immigration_position,pct_available,pct_composite_ideology,cycle,raw_overperformance,legislative_dem_margin,core_index_margin,war_eligible,candidate_margin_overperformance,ideology_v3_issue_count,ideology_v3_scored_issue_count,ideology_v3_evidence_records,ideology_v3_source_type_count,ideology_v3_max_conflict_ratio,ideology_v3_environment_resources,ideology_v3_institutional_reform,ideology_v3_labor_capital,ideology_v3_market_government_direction,ideology_v3_material_support,ideology_v3_order_justice,ideology_v3_social_liberty_equality,ideology_v3_available,ideology_v3_scored_family_count,ideology_v3_model_eligible,cycle_race,contest_status,core_index_margin_race,prior_presidential_year,prior_pres_dem_margin,nonwhite_share,white_college_share,ideal_point,chamber_percentile,distance_from_caucus_median,party_loyalty_rate,cross_party_voting_rate,votes_used,issue__abortion_access,issue__anti_discrimination,issue__business_subsidy,issue__childcare_support,issue__civil_social_liberty,issue__criminal_punishment,issue__education_access,issue__education_accountability,issue__education_market_choice,issue__education_public_funding,issue__environmental_protection,issue__government_ethics_transparency,issue__gun_access,issue__gun_purchase_regulation,issue__healthcare_access,issue__labor_capital_alignment,issue__labor_rights,issue__market_governance,issue__marriage_equality,issue__public_employee_compensation,issue__public_spending,issue__racial_civil_rights,issue__religion_state,issue__renewable_energy_support,issue__tax_burden,issue__voting_access,issue__welfare_conditionality,issue__welfare_generosity,cluster_id,cluster_distance,ideology_map_x,ideology_map_y,expected_cmo_total_oof,candidate_cmo_total_oof,candidate_cmo_resource_adjusted_oof,candidate_cmo_fundraising_adjusted_oof,high_raw_overperformance,unopposed_democrat,republican_top_ticket_district,republican_presidential_district,cluster_label,selection_group
2006,house,92,D,8703.0,SETH HAMMETT,alabama_sos,ALPERSON-SETH-HAMMETT,AL-2006-house-92-D-SETH-HAMMETT,0,1,5654.0,same_race_party,,,,,,,,,,,,,,,False,,2006,86.09379366998382,54.18549030029232,-31.908303369691502,True,86.09379366998382,5.0,4.0,5.0,1.0,0.0,,,,,,,,True,0,False,2006,contested_two_party,-31.908303369691502,2004.0,-52.922569110163664,0.1614950674503159,0.1300248299709716,,,,,,,,,,,,,,,,1.0,,,1.0,,,-1.0,,0.12,-1.0,,,,,,,1.0,,,2,4.464923053859335,1.4400672574256164,-0.22354589421286977,-17.014265740472162,103.10805941045598,63.99288415737162,64.75391026031048,True,False,True,True,Crossover/traditionalist bloc,high_raw_overperformance
2002,house,92,D,8552.0,"Hammett, Seth",alabama_sos,ALPERSON-HAMMETT-SETH,AL-2002-house-92-D-HAMMETT-SETH,0,1,5654.0,same_race_party,,,,,,,,,,,,,,,False,,2002,63.6238386134565,40.76207719529257,-22.86176141816393,True,63.6238386134565,4.0,3.0,6.0,1.0,1.0,,,,,,,,True,0,False,2002,contested_two_party,-22.86176141816393,2000.0,-31.163266231832868,0.1614950674503159,0.1300248299709716,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,-1.0,,,,,,,1.0,,,,2,3.274577043070849,3.0559157590832298,0.9222099345640011,-4.301504813668938,67.92534342712544,42.643050645506506,42.36437261506602,True,False,True,True,Crossover/traditionalist bloc,high_raw_overperformance
2006,house,35,D,7572.0,STEVE HURST,alabama_sos,ALPERSON-STEVE-HURST,AL-2006-house-35-D-STEVE-HURST,0,1,15975.0,same_race_party,,,,,,,,,,,,,,,False,,2006,62.696053369372535,41.03184950642578,-21.66420386294676,True,62.696053369372535,13.0,11.0,43.0,2.0,0.65,,,,,,,-1.0,True,1,False,2006,contested_two_party,-21.664203862946756,2004.0,-45.85267546422686,0.2391769771418578,0.144420851392472,,,,,,,-1.0,,1.0,,-1.0,0.3333333333333333,,,,,,1.0,-1.0,,1.0,-1.0,,-0.4,,1.0,,,1.0,,0.75,,,,2,3.4737994092539317,1.5068805620984893,0.5031949862464916,-20.188471601280103,82.88452497065265,40.96752354821941,42.09291323170351,True,False,True,True,Crossover/traditionalist bloc,high_raw_overperformance
2002,house,81,D,10400.0,"Graham, Betty Carol",alabama_sos,ALPERSON-GRAHAM-BETTY-CAROL,AL-2002-house-81-D-GRAHAM-BETTY-CAROL,0,1,,,,,,,,,,,,,,,,,False,,2002,59.74535361665579,39.99192354287253,-19.753430073783264,True,59.74535361665579,3.0,3.0,3.0,1.0,0.0,,,,,,,,True,0,False,2002,contested_two_party,-19.753430073783264,2000.0,-22.42959432637291,0.2783018711487736,0.1707355006091519,,,,,,,,,,,,,,,,,,,-1.0,,,1.0,,-0.6,,,,,,,,,,,2,3.677415454452866,0.6552029898497238,0.10221571578129174,1.323835747410353,58.42151786924544,40.08944214406463,40.678270228405935,True,False,True,True,Crossover/traditionalist bloc,high_raw_overperformance
2014,house,39,D,7786.0,Richard Lindsey,official_consolidated_candidate_results,ALPERSON-RICHARD-LINDSEY,AL-2014-house-39-D-RICHARD-LINDSEY,1,1,5675.0,same_race_party,,,,,,,,,,,,,,,False,,2014,55.82533174508392,13.54819892081085,-42.27713282427307,True,55.82533174508392,13.0,10.0,43.0,2.0,1.0,,,,,,,,True,0,False,2014,contested_two_party,-42.27713282427307,,,0.1094398571747378,0.1225848971521731,-1.133880814558514,25.925925925925924,0.1828647593139791,0.8260869565217391,0.2392638036809816,299.0,-1.0,,1.0,,,0.75,0.0,,-1.0,1.0,,0.5,1.0,1.0,,,,-0.1,,0.0,,,,,,,,,2,5.414108515020059,3.3623972659888723,-0.8241537330529107,-9.6852593495055,65.51059109458942,41.54001734402488,42.16998967717088,True,False,True,False,Crossover/traditionalist bloc,high_raw_overperformance
2002,house,31,D,8723.0,"Venable, Jack B.",alabama_sos,ALPERSON-VENABLE-JACK-B,AL-2002-house-31-D-VENABLE-JACK-B,0,1,5719.0,same_race_party,,,,,,,,,,,,,,,False,,2002,52.55615006861794,21.30440828813795,-31.251741780479986,True,52.55615006861794,3.0,2.0,4.0,1.0,1.0,,,,,,,,True,0,False,2002,contested_two_party,-31.251741780479986,2000.0,-35.799414798588444,0.2570146764370133,0.1671691103106001,,,,,,,,,,,,,,,,,,,0.0,,,,,-1.0,,,,,,,,1.0,,,2,4.027913493829367,3.96281905545381,-0.8249081905350234,-0.5476730181084584,53.10382308672639,33.43952086767027,33.32874870158709,True,False,True,True,Crossover/traditionalist bloc,high_raw_overperformance
2006,senate,21,D,22017.0,PHIL POOLE,alabama_sos,ALPERSON-PHIL-POOLE,AL-2006-senate-21-D-PHIL-POOLE,0,1,5613.0,same_race_party,,,,,,,,,,,,,,,False,,2006,50.9780649067346,38.85595358224016,-12.12211132449444,True,50.9780649067346,7.0,5.0,19.0,2.0,1.0,,,,,,,0.6,True,1,False,2006,contested_two_party,-12.12211132449444,2004.0,-51.73279588670855,0.2841717627141882,0.2079086386378229,,,,,,,,,,,-1.0,0.5,,,,,,,-1.0,,-1.0,,,-0.26,,,,1.0,,,0.0,,,,2,7.108473964350497,1.4682507615057252,-2.607191057168648,-35.61068456221411,86.58874946894872,32.122169282918705,31.16079577410472,True,False,True,True,Crossover/traditionalist bloc,high_raw_overperformance
2002,senate,27,D,23153.0,"Little, T.D. (Ted)",alabama_sos,ALPERSON-LITTLE-T-D-TED,AL-2002-senate-27-D-LITTLE-T-D-TED,0,1,5608.0,same_race_party,,,,,,,,,,,,,,,False,,2002,47.88831001430525,28.28568262411348,-19.60262739019177,True,47.88831001430525,3.0,3.0,3.0,1.0,0.0,,,,,,,,True,0,False,2002,contested_two_party,-19.60262739019177,2000.0,-17.857785004357613,0.2759635948764792,0.2420641336049184,,,,,,,,,,,,,,,,,,,-1.0,,,-1.0,,-0.28,,,,,,,,,,,1,4.171899444517682,-0.09525370694745318,-0.905432828642396,5.744842385834158,42.14346762847109,30.717516887453066,30.267158665330506,True,False,True,True,Mainstream/progressive bloc,high_raw_overperformance
2006,senate,2,D,13231.0,TOM BUTLER,alabama_sos,ALPERSON-TOM-BUTLER,AL-2006-senate-2-D-TOM-BUTLER,0,1,5594.0,same_race_party,,,,,,,,,,,,,,,False,,2006,47.16340237151266,17.026357686184326,-30.13704468532833,True,47.16340237151266,8.0,7.0,27.0,2.0,1.0,,,,,,,0.3675213675213675,True,1,False,2006,contested_two_party,-30.13704468532833,2004.0,-26.38553072381037,0.2251609545592826,0.2907653623818496,,,,,,,,,,,-1.0,0.4285714285714285,,,,1.0,,,-1.0,,1.0,,,-0.2,,1.0,,1.0,,,0.0,,,,1,3.654881232560521,-0.1117041048488544,1.0074201151814606,7.751513961517961,39.411888409994695,31.829701194231856,31.314986392605547,True,False,True,True,Mainstream/progressive bloc,high_raw_overperformance
1998,house,26,D,8522.0,McDaniel,alabama_sos,ALPERSON-MCDANIEL,AL-1998-house-26-D-MCDANIEL,0,1,5679.0,same_race_party,,,,,,,,,,,,,,,False,,1998,47.05495908265794,43.72206762796189,-3.33289145469605,True,47.05495908265794,9.0,7.0,12.0,2.0,0.65,,,,,,,,True,0,False,1998,contested_two_party,-3.33289145469605,1996.0,-18.97834807966716,0.0163509406044869,0.0924985390869787,,,,,,,,,,,-1.0,1.0,,,,1.0,,,0.0,,1.0,,,1.0,,1.0,,,1.0,,1.0,,,,2,4.122596054863513,-0.03877924276604605,0.0687539883092743,-11.64545662497111,58.70041570762905,30.279982040216844,30.41891216439806,True,False,True,True,Crossover/traditionalist bloc,high_raw_overperformance
