party,cluster_id,cluster_label,era,n,within_cluster_share
D,1,Traditionalist-populist Democrats,2008_2014,6,0.18181818181818182
D,1,Traditionalist-populist Democrats,pre_2008,27,0.8181818181818182
D,2,Bridge-coalition Democrats,2008_2014,10,0.1694915254237288
D,2,Bridge-coalition Democrats,post_2016,5,0.0847457627118644
D,2,Bridge-coalition Democrats,pre_2008,44,0.7457627118644068
D,3,Progressive-modern Democrats,2008_2014,6,0.15384615384615385
D,3,Progressive-modern Democrats,post_2016,21,0.5384615384615384
D,3,Progressive-modern Democrats,pre_2008,12,0.3076923076923077
R,1,Social and institutional conservatives,2008_2014,10,0.11363636363636363
R,1,Social and institutional conservatives,post_2016,32,0.36363636363636365
R,1,Social and institutional conservatives,pre_2008,46,0.5227272727272727
R,2,Moderate pre-realignment Republicans,post_2016,1,0.029411764705882353
R,2,Moderate pre-realignment Republicans,pre_2008,33,0.9705882352941176
R,3,Business conservatives,2008_2014,26,0.4482758620689655
R,3,Business conservatives,post_2016,14,0.2413793103448276
R,3,Business conservatives,pre_2008,18,0.3103448275862069
