party,clusters,silhouette,bootstrap_ari_mean,bootstrap_ari_p10,smallest_cluster,smallest_cluster_share,selected,features
D,2,0.21761130081366048,0.9056574631398078,0.797073060173868,39,0.3391304347826087,True,17
D,3,0.2371172650426772,0.6725673227901373,0.41223748709082114,11,0.09565217391304348,False,17
D,4,0.24871836695401126,0.8415179355645822,0.7075952011893553,11,0.09565217391304348,False,17
D,5,0.20648406288684126,0.7201156541229997,0.6067950130073314,11,0.09565217391304348,False,17
D,6,0.21115012680603684,0.6775747690204024,0.5524588654804883,11,0.09565217391304348,False,17
R,2,0.18274715583523518,0.6609831307508442,0.11568024753814174,62,0.389937106918239,False,14
R,3,0.20097973803142183,0.8236002276681893,0.5856452634482777,30,0.18867924528301888,True,14
R,4,0.21963903469452495,0.836450257961011,0.7258404728260843,8,0.050314465408805034,False,14
R,5,0.2293218436195642,0.7472901936359452,0.579163821146999,7,0.0440251572327044,False,14
R,6,0.2107451617715186,0.6082863375861802,0.42807129971289926,7,0.0440251572327044,False,14
