canonical_candidate_id,cycle,chamber,district,party,candidate,incumbent,prior_candidate_name,prior_party,match_method,match_confidence,review_status
AL-1994-house-30-R-HODGES,1994,house,30,R,Hodges,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-house-31-D-VENABLE,1994,house,31,D,Venable,1,Jack Venable,D,unique_chamber_surname_to_1990_winner+shor_mccarty_1996_serving_roster,medium,supported
AL-1994-house-32-D-BOYD,1994,house,32,D,Boyd,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-house-32-R-MONTGOMERY,1994,house,32,R,Montgomery,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-house-33-D-JOHNSON,1994,house,33,D,Johnson,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-house-33-R-HATTAWAY,1994,house,33,R,Hattaway,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-house-34-D-WILLIS,1994,house,34,D,Willis,1,Gerald Willis,D,unique_chamber_surname_to_1990_winner+shor_mccarty_1996_serving_roster,medium,supported
AL-1994-house-35-D-SHADDIX,1994,house,35,D,Shaddix,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-house-35-R-SIMS,1994,house,35,R,Sims,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-house-36-D-CAMPBELL,1994,house,36,D,Campbell,1,James Campbell,D,unique_chamber_surname_to_1990_winner+1994_ballot_order,medium,supported
AL-1994-house-36-R-ROGERS,1994,house,36,R,Rogers,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-house-37-D-LAIRD,1994,house,37,D,Laird,1,Richard Laird,D,unique_chamber_surname_to_1990_winner+shor_mccarty_1996_serving_roster,medium,supported
AL-1994-house-38-D-FULLER,1994,house,38,D,Fuller,1,Bill Fuller,D,unique_chamber_surname_to_1990_winner+shor_mccarty_1996_serving_roster,medium,supported
AL-1994-house-39-D-LINDSEY,1994,house,39,D,Lindsey,1,Richard Lindsey,D,unique_chamber_surname_to_1990_winner+shor_mccarty_1996_serving_roster,medium,supported
AL-1994-house-40-D-MARTIN,1994,house,40,D,Martin,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-house-40-R-KNIGHT,1994,house,40,R,Knight,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-house-41-D-HILL,1994,house,41,R,Hill,1,Mike Hill,R,unique_chamber_surname_to_1990_winner+shor_mccarty_1996_serving_roster,medium,supported
AL-1994-house-42-D-SMITH,1994,house,42,D,Smith,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-house-42-R-BIALAS,1994,house,42,R,Bialas,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-house-43-D-ROMEI,1994,house,43,D,Romei,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-house-43-R-SANDERSON,1994,house,43,R,Sanderson,1,Allen Sanderson,R,unique_chamber_surname_to_1990_winner+1994_ballot_order,medium,supported
AL-1994-house-44-D-PAYNE,1994,house,44,R,Payne,1,Arthur Payne,R,unique_chamber_surname_to_1990_winner+shor_mccarty_1996_serving_roster,medium,supported
AL-1994-house-45-D-MORTON,1994,house,45,R,Morton,1,Albert Morton,D,unique_chamber_surname_to_1990_winner+shor_mccarty_1996_serving_roster,medium,supported
AL-1994-house-46-D-JONES,1994,house,46,D,Jones,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-house-46-R-CARNS,1994,house,46,R,Carns,1,Jim Carns,R,unique_chamber_surname_to_1990_winner+1994_ballot_order,medium,supported
AL-1994-house-47-D-GAINES,1994,house,47,R,Gaines,1,Mark Gaines,R,unique_chamber_surname_to_1990_winner+shor_mccarty_1996_serving_roster,medium,supported
AL-1994-house-48-D-GULAS,1994,house,48,D,Gulas,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-house-48-R-HAWKINS,1994,house,48,R,Hawkins,1,"John Hawkins, Jr.",D,unique_chamber_surname_to_1990_winner+1994_ballot_order,medium,supported
