result_id,source_file_id,year,office,county,candidate_name,normalized_name,party,votes,source_sheet
HSR-A4A4D8A21AD7EEEFB038,SRC-F8F06AC191F842EEA1D2,1990,Governor,Coosa,Paul Hubbert,PAUL HUBBERT,D,2149.0,Gen.90
HSR-17D30A217E0598C6761A,SRC-F8F06AC191F842EEA1D2,1990,Governor,Coosa,Guy Hunt,GUY HUNT,R,1761.0,Gen.90
HSR-973EEDE468129C896DBA,SRC-F8F06AC191F842EEA1D2,1990,Governor,Covington,Paul Hubbert,PAUL HUBBERT,D,5081.0,Gen.90
HSR-45C90FD48D9BFF22D253,SRC-F8F06AC191F842EEA1D2,1990,Governor,Covington,Guy Hunt,GUY HUNT,R,7010.0,Gen.90
HSR-5CF2E39FE5B61D1BC488,SRC-F8F06AC191F842EEA1D2,1990,Governor,Crenshaw,Paul Hubbert,PAUL HUBBERT,D,2381.0,Gen.90
HSR-9AE2CA0DCDF9AC6683B2,SRC-F8F06AC191F842EEA1D2,1990,Governor,Crenshaw,Guy Hunt,GUY HUNT,R,2462.0,Gen.90
HSR-181D6520E1A4D00AA4A2,SRC-F8F06AC191F842EEA1D2,1990,Governor,Cullman,Paul Hubbert,PAUL HUBBERT,D,9314.0,Gen.90
HSR-8893C6E088D884B19038,SRC-F8F06AC191F842EEA1D2,1990,Governor,Cullman,Guy Hunt,GUY HUNT,R,14139.0,Gen.90
HSR-235C4834EC834E80236E,SRC-F8F06AC191F842EEA1D2,1990,Governor,Dale,Paul Hubbert,PAUL HUBBERT,D,4506.0,Gen.90
HSR-CD3EC9E280CB93B243DA,SRC-F8F06AC191F842EEA1D2,1990,Governor,Dale,Guy Hunt,GUY HUNT,R,6247.0,Gen.90
HSR-DA82E1C2D7B6947EE542,SRC-F8F06AC191F842EEA1D2,1990,Governor,Dallas,Paul Hubbert,PAUL HUBBERT,D,8894.0,Gen.90
HSR-84A10F75E07C46D0F940,SRC-F8F06AC191F842EEA1D2,1990,Governor,Dallas,Guy Hunt,GUY HUNT,R,6660.0,Gen.90
HSR-77B8E09DBA8CEF22516F,SRC-F8F06AC191F842EEA1D2,1990,Governor,Dekalb,Paul Hubbert,PAUL HUBBERT,D,8017.0,Gen.90
HSR-93C48753841DCBA8EC37,SRC-F8F06AC191F842EEA1D2,1990,Governor,Dekalb,Guy Hunt,GUY HUNT,R,9110.0,Gen.90
HSR-E001E181C86AEC7CF4A1,SRC-F8F06AC191F842EEA1D2,1990,Governor,Elmore,Paul Hubbert,PAUL HUBBERT,D,6152.0,Gen.90
HSR-283A4945C3EA1E37724D,SRC-F8F06AC191F842EEA1D2,1990,Governor,Elmore,Guy Hunt,GUY HUNT,R,9692.0,Gen.90
HSR-FE89EBD55910D97D8F96,SRC-F8F06AC191F842EEA1D2,1990,Governor,Escambia,Paul Hubbert,PAUL HUBBERT,D,4424.0,Gen.90
