cycle,chamber,district,us_house_dem_margin,us_senate_dem_margin,us_house_two_party_votes,us_senate_two_party_votes,federal_index_margin,federal_components,contested_federal_votes,all_federal_major_votes,federal_contested_coverage,federal_allocation_method
1994,house,1.0,-20.18809086699791,,19741.181711567548,,-20.18809086699791,1,19741.181711567548,19741.181711567548,1.0,legislative_activity_provisional
1994,house,2.0,4.223849773231158,,10638.818288432452,,4.223849773231158,1,10638.818288432452,10638.818288432452,1.0,legislative_activity_provisional
1994,house,3.0,13.099172759913168,,11708.636488448845,,13.099172759913168,1,11708.636488448845,11708.636488448845,1.0,legislative_activity_provisional
1994,house,4.0,-13.268411504412335,,14814.898096545778,,-13.268411504412335,1,14814.898096545778,14814.89809654578,0.9999999999999999,legislative_activity_provisional
1994,house,5.0,-8.330953081558336,,11082.424905899154,,-8.330953081558336,1,11082.424905899154,11082.424905899154,1.0,legislative_activity_provisional
1994,house,6.0,-10.496262609304322,,13688.715605679825,,-10.496262609304322,1,13688.715605679825,13688.715605679825,1.0,legislative_activity_provisional
1994,house,7.0,51.351351351351354,,1221.0,,51.351351351351354,1,1221.0,8799.422442244224,0.1387591069770931,legislative_activity_provisional
1994,house,8.0,-5.491965982866193,,11830.45863979114,,-5.491965982866193,1,11830.45863979114,11830.45863979114,1.0,legislative_activity_provisional
1994,house,9.0,-12.138227513004571,,12764.832988856862,,-12.138227513004571,1,12764.832988856862,12764.83298885686,1.0000000000000002,legislative_activity_provisional
1994,house,10.0,-15.402886012329558,,13968.663090128755,,-15.402886012329558,1,13968.663090128755,13968.663090128755,1.0,legislative_activity_provisional
1994,house,11.0,-7.645420612690851,,3346.162509218445,,-7.645420612690851,1,3346.162509218445,10143.235200556972,0.32989104985307893,legislative_activity_provisional
1994,house,14.0,-49.669772665549495,,3206.110266159696,,-49.669772665549495,1,3206.110266159696,10348.635828279317,0.3098099420407164,legislative_activity_provisional
1994,house,15.0,-58.175997366622376,,14811.233820093594,,-58.175997366622376,1,14811.233820093594,14811.233820093592,1.0000000000000002,legislative_activity_provisional
1994,house,16.0,43.062755205467546,,475.4698795180723,,43.062755205467546,1,475.4698795180723,8986.223752151463,0.052910977139227836,legislative_activity_provisional
1994,house,18.0,12.639166679320772,,3032.363511551155,,12.639166679320772,1,3032.363511551155,8732.363511551155,0.3472557581392426,legislative_activity_provisional
1994,house,19.0,54.55746800811351,,8960.929232117007,,54.55746800811351,1,8960.929232117007,8960.929232117005,1.0000000000000002,legislative_activity_provisional
1994,house,20.0,-2.5878521726018837,,17439.069971870606,,-2.5878521726018837,1,17439.069971870606,17439.069971870606,1.0,legislative_activity_provisional
1994,house,21.0,9.44845416134577,,10309.669854407195,,9.44845416134577,1,10309.669854407195,10309.669854407197,0.9999999999999998,legislative_activity_provisional
1994,house,22.0,5.755715153951712,,10327.795983204,,5.755715153951712,1,10327.795983204,10327.795983204001,0.9999999999999998,legislative_activity_provisional
1994,house,23.0,19.873179986845418,,7448.379122281231,,19.873179986845418,1,7448.379122281231,7448.3791222812315,0.9999999999999999,legislative_activity_provisional
1994,house,30.0,15.16440928297642,,3983.14421450612,,15.16440928297642,1,3983.14421450612,10589.8270635354,0.37612929754268837,legislative_activity_provisional
1994,house,31.0,-29.850311677096098,,12351.70303430301,,-29.850311677096098,1,12351.70303430301,12351.70303430301,1.0,legislative_activity_provisional
1994,house,32.0,66.67618659202898,,6750.430627557276,,66.67618659202898,1,6750.430627557276,6750.430627557277,0.9999999999999999,legislative_activity_provisional
1994,house,33.0,27.445054669448734,,9612.663723694779,,27.445054669448734,1,9612.663723694779,9612.663723694779,1.0,legislative_activity_provisional
1994,house,34.0,41.791318139489476,,8550.838842975207,,41.791318139489476,1,8550.838842975207,8550.838842975207,1.0,legislative_activity_provisional
1994,house,35.0,34.68662786880681,,10036.120524781001,,34.68662786880681,1,10036.120524781001,10036.120524781001,1.0,legislative_activity_provisional
1994,house,36.0,37.509789241241776,,9597.946280991735,,37.509789241241776,1,9597.946280991735,9597.946280991735,1.0,legislative_activity_provisional
1994,house,37.0,25.796589650871198,,10860.697788671516,,25.796589650871198,1,10860.697788671516,10860.697788671516,1.0,legislative_activity_provisional
1994,house,38.0,22.195918483959293,,9121.915817395073,,22.195918483959293,1,9121.915817395073,9121.915817395073,1.0,legislative_activity_provisional
1994,house,39.0,39.58925750394945,,3165.0,,39.58925750394945,1,3165.0,7162.0977177646355,0.4419096366347581,legislative_activity_provisional
1994,house,40.0,-36.87133766680246,,14071.755504705392,,-36.87133766680246,1,14071.755504705392,14071.755504705392,1.0,legislative_activity_provisional
1994,house,41.0,-59.75324832947568,,12190.809239608476,,-59.75324832947568,1,12190.809239608476,12190.809239608474,1.0000000000000002,legislative_activity_provisional
1994,house,42.0,3.779774480770724,,12760.994117293954,,3.779774480770724,1,12760.994117293954,12760.994117293954,1.0,legislative_activity_provisional
1994,house,43.0,-58.5451156516176,,14092.680272108842,,-58.5451156516176,1,14092.680272108842,14092.680272108844,0.9999999999999999,legislative_activity_provisional
1994,house,44.0,-71.47633960063389,,12662.72619047619,,-71.47633960063389,1,12662.72619047619,12662.72619047619,1.0,legislative_activity_provisional
1994,house,45.0,-57.511973592392046,,13643.420789279568,,-57.511973592392046,1,13643.420789279568,13643.420789279568,1.0,legislative_activity_provisional
1994,house,46.0,-76.25091222130268,,17649.927713087174,,-76.25091222130268,1,17649.927713087174,17649.927713087174,1.0,legislative_activity_provisional
1994,house,47.0,-67.77451266008869,,16482.278557312482,,-67.77451266008869,1,16482.278557312482,16482.27855731248,1.0000000000000002,legislative_activity_provisional
1994,house,48.0,-74.06176660517693,,17096.516875981164,,-74.06176660517693,1,17096.516875981164,17096.51687598116,1.0000000000000002,legislative_activity_provisional
1994,house,49.0,-3.194960357612463,,12363.85578549388,,-3.194960357612463,1,12363.85578549388,12363.855785493879,1.0000000000000002,legislative_activity_provisional
1994,house,50.0,-68.85376619794512,,12492.005102040815,,-68.85376619794512,1,12492.005102040815,12492.005102040815,1.0,legislative_activity_provisional
1994,house,51.0,-55.98302322118145,,12494.776295133439,,-55.98302322118145,1,12494.776295133439,12494.776295133437,1.0000000000000002,legislative_activity_provisional
1994,house,52.0,44.122401072259386,,9433.96842696307,,44.122401072259386,1,9433.96842696307,9433.96842696307,1.0,legislative_activity_provisional
1994,house,53.0,48.11624720994989,,9325.450262273585,,48.11624720994989,1,9325.450262273585,9325.450262273584,1.0000000000000002,legislative_activity_provisional
1994,house,54.0,28.264509365046216,,9538.498487828867,,28.264509365046216,1,9538.498487828867,9538.498487828867,1.0,legislative_activity_provisional
1994,house,55.0,40.371495849053126,,9252.123003808852,,40.371495849053126,1,9252.123003808852,9252.123003808852,1.0,legislative_activity_provisional
1994,house,56.0,55.11732778498128,,9603.728115990472,,55.11732778498128,1,9603.728115990472,9603.728115990474,0.9999999999999998,legislative_activity_provisional
1994,house,57.0,55.05773894668515,,9766.798792279125,,55.05773894668515,1,9766.798792279125,9766.798792279125,1.0,legislative_activity_provisional
1994,house,58.0,50.9494190348478,,7633.330120481927,,50.9494190348478,1,7633.330120481927,7633.330120481927,1.0,legislative_activity_provisional
1994,house,59.0,44.995809624630596,,9068.4,,44.995809624630596,1,9068.4,9068.4,1.0,legislative_activity_provisional
1994,house,60.0,37.12648176158148,,10960.578313253012,,37.12648176158148,1,10960.578313253012,10960.578313253012,1.0,legislative_activity_provisional
1994,house,61.0,-33.51250890940605,,6385.492845385973,,-33.51250890940605,1,6385.492845385973,11549.738972752582,0.5528690181180913,legislative_activity_provisional
1994,house,62.0,-2.7163654835772326,,11489.49739917796,,-2.7163654835772326,1,11489.49739917796,11489.497399177959,1.0000000000000002,legislative_activity_provisional
1994,house,63.0,-29.433148149056397,,10603.376207619036,,-29.433148149056397,1,10603.376207619036,10603.376207619034,1.0000000000000002,legislative_activity_provisional
1994,house,64.0,-16.045141923517196,,3383.4481872287934,,-16.045141923517196,1,3383.4481872287934,12288.125761446847,0.2753429003668021,legislative_activity_provisional
1994,house,65.0,19.494910007164563,,2916.0390919076863,,19.494910007164563,1,2916.0390919076863,13107.96352703612,0.22246316797366314,legislative_activity_provisional
1994,house,67.0,39.11423587789788,,11317.550499280009,,39.11423587789788,1,11317.550499280009,11317.550499280009,1.0,legislative_activity_provisional
1994,house,68.0,36.88024776338404,,4830.627680702877,,36.88024776338404,1,4830.627680702877,9333.66176799856,0.5175490392490107,legislative_activity_provisional
1994,house,69.0,33.99132312704368,,6686.835691993507,,33.99132312704368,1,6686.835691993507,6686.835691993507,1.0,legislative_activity_provisional
1994,house,70.0,57.944648215041965,,6643.0547034598,,57.944648215041965,1,6643.0547034598,6643.054703459801,0.9999999999999999,legislative_activity_provisional
1994,house,71.0,52.86975483226881,,11923.481927710844,,52.86975483226881,1,11923.481927710844,11923.481927710844,1.0,legislative_activity_provisional
1994,house,72.0,48.00272417835021,,11360.401811129263,,48.00272417835021,1,11360.401811129263,11360.401811129263,1.0,legislative_activity_provisional
1994,house,73.0,-59.148860744455064,,15793.269088612684,,-59.148860744455064,1,15793.269088612684,15793.269088612682,1.0000000000000002,legislative_activity_provisional
1994,house,74.0,-67.99240936211643,,14046.536901487509,,-67.99240936211643,1,14046.536901487509,14046.536901487509,1.0,legislative_activity_provisional
1994,house,75.0,-58.63859111467155,,14439.388758702713,,-58.63859111467155,1,14439.388758702713,14439.388758702711,1.0000000000000002,legislative_activity_provisional
1994,house,76.0,22.520871220409592,,8547.270832988925,,22.520871220409592,1,8547.270832988925,8547.270832988925,1.0,legislative_activity_provisional
1994,house,77.0,50.26525357231237,,6581.531236573808,,50.26525357231237,1,6581.531236573808,6581.531236573808,1.0,legislative_activity_provisional
1994,house,78.0,56.34207038661634,,7065.729231500327,,56.34207038661634,1,7065.729231500327,7065.729231500327,1.0,legislative_activity_provisional
1994,house,79.0,-1.6154729893046482,,11356.106298192715,,-1.6154729893046482,1,11356.106298192715,11356.106298192715,1.0,legislative_activity_provisional
1994,house,80.0,14.716269054369862,,8832.521305043501,,14.716269054369862,1,8832.521305043501,8832.521305043503,0.9999999999999998,legislative_activity_provisional
1994,house,81.0,26.476951239806958,,12018.0,,26.476951239806958,1,12018.0,12018.0,1.0,legislative_activity_provisional
1994,house,82.0,48.29272526073264,,9449.345372922913,,48.29272526073264,1,9449.345372922913,9449.345372922913,1.0,legislative_activity_provisional
1994,house,83.0,52.27797035879856,,6264.413417774282,,52.27797035879856,1,6264.413417774282,6264.413417774281,1.0000000000000002,legislative_activity_provisional
1994,house,84.0,-21.907525954417657,,9650.00796518725,,-21.907525954417657,1,9650.00796518725,9650.00796518725,1.0,legislative_activity_provisional
1994,house,85.0,-16.918802326907628,,6625.847525554527,,-16.918802326907628,1,6625.847525554527,6625.847525554526,1.0000000000000002,legislative_activity_provisional
1994,house,86.0,-50.233935496690286,,9754.196219874533,,-50.233935496690286,1,9754.196219874533,9754.196219874533,1.0,legislative_activity_provisional
1994,house,87.0,-57.43211217049625,,11722.88282349272,,-57.43211217049625,1,11722.88282349272,11722.882823492722,0.9999999999999999,legislative_activity_provisional
1994,house,88.0,-57.49720628188571,,12546.570915831027,,-57.49720628188571,1,12546.570915831027,12546.570915831027,1.0,legislative_activity_provisional
1994,house,89.0,-42.3264278647698,,11338.581475462837,,-42.3264278647698,1,11338.581475462837,11338.581475462837,1.0,legislative_activity_provisional
1994,house,90.0,-32.62025326508928,,10305.613808726484,,-32.62025326508928,1,10305.613808726484,10305.613808726484,1.0,legislative_activity_provisional
1994,house,91.0,-45.35576586049772,,11412.0,,-45.35576586049772,1,11412.0,11412.0,1.0,legislative_activity_provisional
1994,house,93.0,-55.516685804940245,,9930.483990428133,,-55.516685804940245,1,9930.483990428133,9930.483990428133,1.0,legislative_activity_provisional
1994,senate,1.0,6.237965105436188,,34941.652511391614,,6.237965105436188,1,34941.652511391614,34941.65251139161,1.0000000000000002,legislative_activity_provisional
1994,senate,2.0,-10.810154702502524,,38758.11535639159,,-10.810154702502524,1,38758.11535639159,38758.115356391594,0.9999999999999998,legislative_activity_provisional
1994,senate,3.0,-5.825969602886243,,26305.736611646127,,-5.825969602886243,1,26305.736611646127,33940.40522194739,0.7750566453059217,legislative_activity_provisional
1994,senate,4.0,-14.09679455240141,,17406.733685222363,,-14.09679455240141,1,17406.733685222363,34310.73368522236,0.5073261867530232,legislative_activity_provisional
1994,senate,5.0,-56.5644051918272,,18038.990649658273,,-56.5644051918272,1,18038.990649658273,33768.655372690344,0.5341933355228266,legislative_activity_provisional
1994,senate,6.0,16.74715294131889,,3529.8899496135896,,16.74715294131889,1,3529.8899496135896,27828.79405128892,0.12684307998068278,legislative_activity_provisional
1994,senate,7.0,14.693661119646455,,37070.930836696185,,14.693661119646455,1,37070.930836696185,37070.930836696185,1.0,legislative_activity_provisional
1994,senate,8.0,11.313612616354224,,17192.483510043734,,11.313612616354224,1,17192.483510043734,23311.340884085592,0.73751585528831,legislative_activity_provisional
1994,senate,10.0,15.684658159135866,,4407.732274259662,,15.684658159135866,1,4407.732274259662,28271.732274259663,0.1559059852258411,legislative_activity_provisional
1994,senate,11.0,8.615695755481486,,30691.130580289926,,8.615695755481486,1,30691.130580289926,30691.130580289926,1.0,legislative_activity_provisional
1994,senate,12.0,42.18497500845579,,26609.0,,42.18497500845579,1,26609.0,26609.0,1.0,legislative_activity_provisional
1994,senate,13.0,26.331433128382912,,23097.79995998361,,26.331433128382912,1,23097.79995998361,27051.753329529212,0.8538374455296568,legislative_activity_provisional
1994,senate,14.0,-30.915625653007226,,39191.56682712229,,-30.915625653007226,1,39191.56682712229,39191.56682712229,1.0,legislative_activity_provisional
1994,senate,15.0,-62.2497393810473,,40410.58621541502,,-62.2497393810473,1,40410.58621541502,40410.586215415016,1.0000000000000002,legislative_activity_provisional
1994,senate,16.0,-72.78270534241486,,51102.75634497949,,-72.78270534241486,1,51102.75634497949,51102.75634497949,1.0,legislative_activity_provisional
1994,senate,17.0,-43.52797787531022,,36898.8639833161,,-43.52797787531022,1,36898.8639833161,36898.86398331609,1.0000000000000002,legislative_activity_provisional
1994,senate,18.0,40.130896033063785,,28308.670676382353,,40.130896033063785,1,28308.670676382353,28308.670676382353,1.0,legislative_activity_provisional
1994,senate,19.0,50.353041099399114,,28612.49638206132,,50.353041099399114,1,28612.49638206132,28612.49638206132,1.0,legislative_activity_provisional
1994,senate,20.0,43.52207908609527,,27650.108695652176,,43.52207908609527,1,27650.108695652176,27650.108695652176,1.0,legislative_activity_provisional
1994,senate,21.0,-19.63353365864238,,28420.877649337788,,-19.63353365864238,1,28420.877649337788,33584.64021432912,0.8462463039044802,legislative_activity_provisional
1994,senate,22.0,0.2954177734640172,,6231.367441103291,,0.2954177734640172,1,6231.367441103291,33431.1783646333,0.18639389174793275,legislative_activity_provisional
1994,senate,23.0,37.17606315262481,,23132.852624761552,,37.17606315262481,1,23132.852624761552,27947.26603985198,0.8277322222422323,legislative_activity_provisional
1994,senate,24.0,52.06520542378372,,29808.104327253463,,52.06520542378372,1,29808.104327253463,29808.104327253463,1.0,legislative_activity_provisional
1994,senate,25.0,-61.80254597857162,,44085.53383610979,,-61.80254597857162,1,44085.53383610979,44085.5338361098,0.9999999999999999,legislative_activity_provisional
1994,senate,26.0,41.29071139820472,,22249.966861557,,41.29071139820472,1,22249.966861557,22249.966861557,1.0,legislative_activity_provisional
1994,senate,27.0,13.760287534750518,,31382.102014830605,,13.760287534750518,1,31382.102014830605,31382.1020148306,1.0000000000000002,legislative_activity_provisional
1994,senate,28.0,20.71456425937371,,26816.438563475862,,20.71456425937371,1,26816.438563475862,26816.43856347586,1.0000000000000002,legislative_activity_provisional
1994,senate,29.0,-45.16824873633319,,26395.882290866546,,-45.16824873633319,1,26395.882290866546,26395.882290866542,1.0000000000000002,legislative_activity_provisional
1994,senate,30.0,-44.90999749370935,,34180.590938210844,,-44.90999749370935,1,34180.590938210844,34180.590938210844,1.0,legislative_activity_provisional
