person_id,canonical_candidate_id,year,chamber,district,canonical_party,previous_year,previous_party,switch_evidence
ALPERSON-ADAMS,AL-1998-senate-31-R-ADAMS,1998,senate,31,R,1994.0,D,cross_cycle_sos_identity
ALPERSON-ROGERS,AL-1994-house-52-D-ROGERS,1994,house,52,D,1994.0,R,cross_cycle_sos_identity
ALPERSON-SANDERFORD,AL-1998-house-20-R-SANDERFORD,1998,house,20,R,1994.0,D,cross_cycle_sos_identity
ALPERSON-SANDERS,AL-1998-senate-26-R-SANDERS,1998,senate,26,R,1994.0,D,cross_cycle_sos_identity
ALPERSON-SMITH,AL-1994-senate-10-R-SMITH,1994,senate,10,R,1994.0,D,cross_cycle_sos_identity
ALPERSON-SMITH,AL-1998-senate-10-R-SMITH,1998,senate,10,R,1998.0,D,cross_cycle_sos_identity
ALPERSON-THOMAS,AL-1994-house-69-D-THOMAS,1994,house,69,D,1994.0,R,cross_cycle_sos_identity
ALPERSON-THOMAS,AL-1998-senate-12-D-THOMAS,1998,senate,12,D,1998.0,R,cross_cycle_sos_identity
ALPERSON-TOM-BUTLER,AL-2018-senate-2-R-TOM-BUTLER,2018,senate,2,R,2010.0,D,cross_cycle_sos_identity
ALPERSON-TURNER,AL-1998-house-102-R-TURNER,1998,house,102,R,1994.0,D,cross_cycle_sos_identity
ALPERSON-WAGGONER,AL-1998-senate-16-R-WAGGONER,1998,senate,16,R,1994.0,D,cross_cycle_sos_identity
ALPERSON-WILLIAMS,AL-1994-house-93-D-WILLIAMS,1994,house,93,D,1994.0,R,cross_cycle_sos_identity
ALPERSON-WILLIAMS,AL-1998-senate-24-R-WILLIAMS,1998,senate,24,R,1994.0,D,cross_cycle_sos_identity
ALPERSON-PARKER,AL-1998-house-63-R-PARKER,1998,house,63,R,1994.0,D,cross_cycle_sos_identity
ALPERSON-MORTON,AL-1998-house-55-R-MORTON,1998,house,55,R,1994.0,D,cross_cycle_sos_identity
ALPERSON-NATHANIEL-LEDBETTER,AL-2018-house-24-R-NATHANIEL-LEDBETTER,2018,house,24,R,2010.0,D,cross_cycle_sos_identity
ALPERSON-MARTIN,AL-1994-house-40-D-MARTIN,1994,house,40,D,1994.0,R,cross_cycle_sos_identity
ALPERSON-ALLEN,AL-1998-house-62-R-ALLEN,1998,house,62,R,1994.0,D,cross_cycle_sos_identity
ALPERSON-ANDERSON,AL-1994-senate-25-D-ANDERSON,1994,senate,25,D,1994.0,R,cross_cycle_sos_identity
ALPERSON-COPELAND,AL-2014-house-40-D-COPELAND,2014,house,40,D,1994.0,R,cross_cycle_sos_identity
ALPERSON-DANIEL-H-BOMAN,AL-2014-house-16-D-DANIEL-H-BOMAN,2014,house,16,D,2010.0,R,cross_cycle_sos_identity
ALPERSON-HARPER,AL-1994-house-105-D-HARPER,1994,house,105,D,1994.0,R,cross_cycle_sos_identity
ALPERSON-HANEY,AL-1998-house-10-R-HANEY,1998,house,10,R,1994.0,D,cross_cycle_sos_identity
ALPERSON-JAMES-M-JIMMY-MARTIN,AL-2014-house-42-R-JAMES-M-JIMMY-MARTIN,2014,house,42,R,2010.0,D,cross_cycle_sos_identity
ALPERSON-JIMMY-W-HOLLEY,AL-2010-senate-31-R-JIMMY-W-HOLLEY,2010,senate,31,R,2006.0,D,cross_cycle_sos_identity
ALPERSON-JOHNSON,AL-1998-house-17-R-JOHNSON,1998,house,17,R,1994.0,D,cross_cycle_sos_identity
ALPERSON-JOHNSTON,AL-1998-house-26-R-JOHNSTON,1998,house,26,R,1994.0,D,cross_cycle_sos_identity
ALPERSON-KNIGHT,AL-1994-house-77-D-KNIGHT,1994,house,77,D,1994.0,R,cross_cycle_sos_identity
ALPERSON-KNIGHT,AL-1998-house-81-R-KNIGHT,1998,house,81,R,1994.0,D,cross_cycle_sos_identity
ALPERSON-HILL,AL-1998-senate-11-R-HILL,1998,senate,11,R,1994.0,D,cross_cycle_sos_identity
ALPERSON-LESLEY-VANCE,,2014,house,80,R,2010.0,D,reviewed_incumbency_audit
ALPERSON-MIKE-MILLICAN,,2014,house,17,R,2010.0,D,reviewed_incumbency_audit
ALPERSON-STEVE-HURST,,2014,house,35,R,2010.0,D,reviewed_incumbency_audit
ALPERSON-ALAN-HARPER,,2014,house,61,R,2010.0,D,reviewed_incumbency_audit
ALPERSON-ALAN-C-BOOTHE,,2014,house,89,R,2010.0,D,reviewed_incumbency_audit
