result_id,source_file_id,year,chamber,district,county,candidate_name,normalized_name,party,votes,source_sheet
HLR-ED2DC5262ED07157A6E0,SRC-4CF437BDF3C43EB4AEB0,1986,senate,1,Colbert,Bobby Denton,BOBBY DENTON,D,12468.0,Sen.86gen.
HLR-D9A9F66E038DF884D462,SRC-4CF437BDF3C43EB4AEB0,1986,senate,1,Colbert,Bill G. Smith,WILLIAM G SMITH,D,18821.0,Sen.86gen.
HLR-9E718820FA3C19EF7F43,SRC-4CF437BDF3C43EB4AEB0,1986,senate,1,Lauderdale,Bobby Denton,BOBBY DENTON,D,10668.0,Sen.86gen.
HLR-1DD67E9A9353CD43D6A2,SRC-4CF437BDF3C43EB4AEB0,1986,senate,7,Madison,Bill G. Smith,WILLIAM G SMITH,D,18821.0,Sen.86gen.
HLR-16953E9E2297CE46F10F,SRC-4CF437BDF3C43EB4AEB0,1986,senate,7,Madison,Annie M. Wells,ANNIE M WELLS,R,11240.0,Sen.86gen.
HLR-9909D48121F339C78658,SRC-4CF437BDF3C43EB4AEB0,1986,senate,8,DeKalb,Lowell Barron,LOWELL BARRON,D,7294.0,Sen.86gen.
HLR-189A7A47C0EB7D970CEB,SRC-4CF437BDF3C43EB4AEB0,1986,senate,8,Jackson,Lowell Barron,LOWELL BARRON,D,6718.0,Sen.86gen.
HLR-F8AECCDD789F74205044,SRC-4CF437BDF3C43EB4AEB0,1986,senate,8,Madison,Lowell Barron,LOWELL BARRON,D,3570.0,Sen.86gen.
HLR-AC8D2646A2F8C6A9019C,SRC-4CF437BDF3C43EB4AEB0,1986,senate,2,Lauderdale,Jim Smith,JAMES SMITH,D,4822.0,Sen.86gen.
HLR-04C449FDE1B19BEF3CD9,SRC-4CF437BDF3C43EB4AEB0,1986,senate,2,Limestone,Jim Smith,JAMES SMITH,D,7823.0,Sen.86gen.
HLR-9C3A4B7ADD7577241019,SRC-4CF437BDF3C43EB4AEB0,1986,senate,2,Madison,Jim Smith,JAMES SMITH,D,7521.0,Sen.86gen.
HLR-2264A7453FEE7ECE110C,SRC-4CF437BDF3C43EB4AEB0,1986,senate,9,Blount,Loyd Coleman,LOYD COLEMAN,D,5730.0,Sen.86gen.
HLR-E389CB6B5D60AC3EC56E,SRC-4CF437BDF3C43EB4AEB0,1986,senate,9,DeKalb,Loyd Coleman,LOYD COLEMAN,D,2016.0,Sen.86gen.
HLR-017B77B979CF57B4F8EB,SRC-4CF437BDF3C43EB4AEB0,1986,senate,9,Marshall,Loyd Coleman,LOYD COLEMAN,D,7636.0,Sen.86gen.
