canonical_candidate_id,cycle,chamber,district,party,candidate,incumbent,prior_candidate_name,prior_party,match_method,match_confidence,review_status
AL-1998-house-1-D-STARKEY,1998,house,1,D,Starkey,1,"Starkey, Nelson Jr.",D,shor_pre_election_roster_district_or_unique_surname,high,supported
AL-1998-house-1-R-BEER,1998,house,1,R,Beer,0,,,shor_pre_election_roster_district_or_unique_surname,low,unknown
AL-1998-house-2-D-HAMILTON,1998,house,2,D,Hamilton,1,"Hamilton, James",D,shor_pre_election_roster_district_or_unique_surname,high,supported
AL-1998-house-2-R-TATUM,1998,house,2,R,Tatum,0,,,shor_pre_election_roster_district_or_unique_surname,low,unknown
AL-1998-house-3-D-BLACK,1998,house,3,D,Black,1,"Black, Marcel",D,shor_pre_election_roster_district_or_unique_surname,high,supported
AL-1998-house-3-R-SMALLWOOD,1998,house,3,R,Smallwood,0,,,shor_pre_election_roster_district_or_unique_surname,low,unknown
AL-1998-house-4-D-MANCUSO,1998,house,4,D,Mancuso,0,,,shor_pre_election_roster_district_or_unique_surname,low,unknown
AL-1998-house-4-R-PAPUCCI,1998,house,4,R,Papucci,1,Papucci,R,shor_pre_election_roster_district_or_unique_surname,high,supported
AL-1998-house-5-D-CARTER,1998,house,5,D,Carter,1,"Carter, Tommy",D,shor_pre_election_roster_district_or_unique_surname,high,supported
AL-1998-house-5-R-ANDREWS,1998,house,5,R,Andrews,0,,,shor_pre_election_roster_district_or_unique_surname,low,unknown
AL-1998-house-6-D-SCHMITZ,1998,house,6,D,Schmitz,0,,,shor_pre_election_roster_district_or_unique_surname,low,unknown
AL-1998-house-6-R-JORGENSEN,1998,house,6,R,Jorgensen,1,Jorgensen,R,shor_pre_election_roster_district_or_unique_surname,high,supported
AL-1998-house-8-D-DUKES,1998,house,8,D,Dukes,1,"Dukes, Bill",D,shor_pre_election_roster_district_or_unique_surname,high,supported
AL-1998-house-8-R-KEY,1998,house,8,R,Key,0,,,shor_pre_election_roster_district_or_unique_surname,low,unknown
AL-1998-house-9-D-GRANTLAND,1998,house,9,D,Grantland,0,,,shor_pre_election_roster_district_or_unique_surname,low,unknown
AL-1998-house-9-R-BALL,1998,house,9,R,Ball,0,,,shor_pre_election_roster_district_or_unique_surname,low,unknown
AL-1998-house-10-D-SMITH,1998,house,10,D,Smith,1,Smith,D,shor_pre_election_roster_district_or_unique_surname,medium,supported
AL-1998-house-10-R-HANEY,1998,house,10,R,Haney,1,"Haney, James",R,shor_pre_election_roster_district_or_unique_surname,high,supported
AL-1998-house-11-D-WHITE,1998,house,11,D,White,1,"White, Frank Paul",D,shor_pre_election_roster_district_or_unique_surname,medium,supported
AL-1998-house-11-R-ODEN,1998,house,11,R,Oden,0,,,shor_pre_election_roster_district_or_unique_surname,low,unknown
AL-1998-house-12-D-MORRISON,1998,house,12,D,Morrison,1,Morrison,D,shor_pre_election_roster_district_or_unique_surname,high,supported
AL-1998-house-12-R-HASTIMGS,1998,house,12,R,Hastimgs,0,,,shor_pre_election_roster_district_or_unique_surname,low,unknown
AL-1998-house-13-D-HOGAN,1998,house,13,D,Hogan,1,"Hogan, Thomas",D,shor_pre_election_roster_district_or_unique_surname,high,supported
AL-1998-house-13-R-BRANCH,1998,house,13,R,Branch,0,,,shor_pre_election_roster_district_or_unique_surname,low,unknown
