historical_candidate_id,incumbent_status,prior_year,prior_candidate_name,match_method,evidence_note
HC-7759AF65CA6624869627,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-EFCA7F7B8D3F7C1A8FEA,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-99D5D477397E529AFBC8,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-601F769574A7A39FD3B4,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-3AEE8DC475110BE90CC4,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-2CE7AB453946AB78F705,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-D2FFF16BF7AB774B991E,supported_prior_winner,1986.0,Tom Butler,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-3180942A3ACF40911502,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-F6F09F4288C0DC746D8D,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-C8C9D907FD3F75D1C485,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-54543BFC1ECC476C0B41,supported_prior_winner,1986.0,Paul Parker,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-73E27197CD50267071BC,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-5569530AD8500974C62F,supported_prior_winner,1986.0,Morris Brooks,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-E632F3005C9CFB5B816F,supported_prior_winner,1986.0,Tom Drake,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-D890F211488EAA30BC3C,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-86E781936C53F67D2661,supported_prior_winner,1986.0,W.C. Bill Bowling,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-4524857DAE26F21679F9,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-52D286B8C838A7441525,supported_prior_winner,1986.0,Thomas Hogan,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-AA40383482B08A7265BE,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-27A6E9DBC8D440B3CF52,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-679279D8942BB1502AF3,supported_prior_winner,1986.0,Allen Layson,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-AC324FFFD4C694B62679,supported_prior_winner,1986.0,Max Newman,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-E389191EBE021542E846,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-C862B927EABDBDBC5327,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-6DE59541CD0AA3CA6021,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-6CD284FC5CC25DD3013A,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-C0CD184BC39AE33B3659,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-B7AA4B644BA5DB127417,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-8F0F28BDEFFD2C89175F,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-F839C29BA1C2A3965B64,supported_prior_winner,1986.0,Dewayne Freeman,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-63D5007C716E9B3F6A1B,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-85D3CF8800E8DB915F8F,supported_prior_winner,1986.0,Albert Hall,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-356BAA3333645FCC0FB6,supported_prior_winner,1986.0,Ben Richardson,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-33A1E26FDF325D50AB98,supported_prior_winner,1986.0,Ralph Burke,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-ABF9C60450B4DF5B1478,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-AC8DEFA0C45AC93E84D3,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-3BB269316A121A98BD87,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-B9A9126F3A1B51C128FE,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-0AF09F800A43417D28FC,supported_prior_winner,1986.0,Bob Harvey,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-0DDE98037AB9F69E5C6B,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
