historical_candidate_id,year,chamber,district,party,candidate_name,normalized_name,votes,winner,counties_reported,source_name
HC-B949565A54688867FAA9,1986,house,1,D,"Nelson Starkey, Jr.",NELSON STARKEY,7764.0,0,1,Alabama SOS historical legislative archive
HC-3C35ECEE5157AFF6A79A,1986,house,1,D,Paul Parker,PAUL PARKER,8603.0,1,1,Alabama SOS historical legislative archive
HC-16A401FFE75F34CE2ADC,1986,house,1,R,Ken McFall,KEN MCFALL,3208.0,0,1,Alabama SOS historical legislative archive
HC-6BC0FECD068A55EFFB78,1986,house,2,D,Tom Coburn,THOMAS COBURN,7279.0,0,1,Alabama SOS historical legislative archive
HC-9E415BABBC6AA48FD365,1986,house,2,R,Morris Brooks,MORRIS BROOKS,8661.0,1,1,Alabama SOS historical legislative archive
HC-41D7ABD81111F09A0EDE,1986,house,3,D,Joe Goodwin,JOE GOODWIN,6985.0,1,2,Alabama SOS historical legislative archive
HC-F49D87877C6D68CF0AE6,1986,house,3,R,Troy Woodall,TROY WOODALL,4772.0,0,2,Alabama SOS historical legislative archive
HC-A232C050D1DC1486EBB3,1986,house,4,D,James H. Hamilton,JAMES H HAMILTON,6718.0,0,2,Alabama SOS historical legislative archive
HC-41134378C1EDD0D39758,1986,house,4,D,W.C. Bill Bowling,WC BILL BOWLING,8857.0,1,1,Alabama SOS historical legislative archive
HC-EB3245802AFA7AF2B630,1986,house,4,R,Lewis Bartmess,LEWIS BARTMESS,1944.0,0,2,Alabama SOS historical legislative archive
HC-6A592D05A42C8E3D218B,1986,house,6,D,Tom Butler,THOMAS BUTLER,7268.0,1,1,Alabama SOS historical legislative archive
HC-CFA38C8D1ACB1ADE2A9D,1986,house,7,D,Allen Layson,ALLEN LAYSON,8176.0,1,2,Alabama SOS historical legislative archive
HC-F4F66387A4C0DE4D86F4,1986,house,7,D,Ernest Dillard,ERNEST DILLARD,6945.0,0,2,Alabama SOS historical legislative archive
HC-69F99404F5B2B1CC0B6E,1986,house,8,D,Herman Marks,HERMAN MARKS,9052.0,1,1,Alabama SOS historical legislative archive
HC-D7291971098E8964DEE7,1986,house,8,R,Guy Devours,GUY DEVOURS,2586.0,0,1,Alabama SOS historical legislative archive
HC-F38DEE61ED1F6F9C8A35,1986,house,8,R,Richard Lee,RICHARD LEE,5204.0,0,1,Alabama SOS historical legislative archive
HC-C14700EF7F92978E5EBA,1986,house,9,D,Paul Parker,PAUL PARKER,8603.0,1,1,Alabama SOS historical legislative archive
HC-0283154566FF70C3322C,1986,house,10,D,David Driscoll,DAVID DRISCOLL,3366.0,0,1,Alabama SOS historical legislative archive
HC-7696AED571A54D08D99A,1986,house,10,R,Morris Brooks,MORRIS BROOKS,8661.0,1,1,Alabama SOS historical legislative archive
HC-6167CE60FC748F321B63,1986,house,11,D,Tom Drake,THOMAS DRAKE,7341.0,1,2,Alabama SOS historical legislative archive
HC-6FD426EF027F0A127116,1986,house,11,R,Troy Woodall,TROY WOODALL,4772.0,0,2,Alabama SOS historical legislative archive
HC-2DE6D13A55AD7A777D6E,1986,house,12,D,W.C. Bill Bowling,WC BILL BOWLING,8857.0,1,1,Alabama SOS historical legislative archive
HC-BEAFE906C56EEC4FCA05,1986,house,12,R,Glen L. Baker,GLEN L BAKER,6664.0,0,1,Alabama SOS historical legislative archive
HC-325E5D57683A8AA62180,1986,house,13,D,Thomas Hogan,THOMAS HOGAN,7286.0,1,1,Alabama SOS historical legislative archive
HC-50A135890A091623C047,1986,house,13,R,Dennis Campbell,DENNIS CAMPBELL,3190.0,0,1,Alabama SOS historical legislative archive
HC-C5B20544BBB0E81D72DA,1986,house,14,D,Ed Frazier,EDWARD FRAZIER,6389.0,1,2,Alabama SOS historical legislative archive
HC-948949D596070588744D,1986,house,14,R,Peggy Dunn,PEGGY DUNN,3555.0,0,2,Alabama SOS historical legislative archive
HC-7225ACB9FCB8C2FC3AA8,1986,house,15,D,Allen Layson,ALLEN LAYSON,8176.0,1,2,Alabama SOS historical legislative archive
HC-F82973E2A2C5446881F1,1986,house,15,R,Ernest Chappell,ERNEST CHAPPELL,2658.0,0,2,Alabama SOS historical legislative archive
HC-48E3335A96566894A898,1986,house,16,D,Max Newman,MAX NEWMAN,7668.0,1,3,Alabama SOS historical legislative archive
HC-AE39C1BA528F0443B11A,1986,house,16,R,Guy Devours,GUY DEVOURS,4142.0,0,3,Alabama SOS historical legislative archive
HC-8571FEF9AE809F32FD23,1986,house,17,D,Euclid Rains,EUCLID RAINS,5742.0,0,2,Alabama SOS historical legislative archive
HC-277CB30C4DF3379681F2,1986,house,17,D,Jack Lauderdale,JACK LAUDERDALE,6320.0,0,2,Alabama SOS historical legislative archive
HC-B2D35553EF6F277B14DD,1986,house,17,R,Steve Logan,STEVE LOGAN,7996.0,1,2,Alabama SOS historical legislative archive
HC-838C6982E6F0944BE163,1986,house,18,D,Charlie Britnell,CHARLIE BRITNELL,7274.0,1,2,Alabama SOS historical legislative archive
HC-E8D82357790914DC0341,1986,house,18,R,Tim Hays,TIM HAYS,5961.0,0,1,Alabama SOS historical legislative archive
HC-CB646D07C990F56DBDC4,1986,house,21,D,Dewayne Freeman,DEWAYNE FREEMAN,5087.0,1,1,Alabama SOS historical legislative archive
