cycle,chamber,races,mean_raw_overperformance,median_raw_overperformance,sd_raw_overperformance,mean_abs_overperformance,prior_pres_complete,finance_complete
1998,house,57,10.315112234381669,9.506745397131382,18.669903938640154,17.092372505921677,52,43
1998,senate,28,6.509136328410891,5.5012009955204135,20.121235110395194,17.186260950395205,24,21
2002,house,51,18.161450044787134,19.052011369324305,23.854974816280127,24.352837360881946,45,31
2002,senate,23,19.132751232984404,25.634521540192143,23.305223281489337,26.03915920132868,18,12
2006,house,40,20.226073513267547,16.684985690647306,25.67692033437178,26.234383998150424,38,33
2006,senate,22,20.32466770357027,15.837443001941939,20.051158448463223,22.688862099370482,19,18
